nhxjgnmleh,xjgswvhdvb,ylxjmtemfd,xokmsgidrl,vikphnzrqr,ykwxxamltd
DoG,-0.4845,0.086,qpxascqmaj,-806,CAt
DoG,dOG,vbfclonzxd,-0.2175,0.3315,123
-0.0585,dOg,0.347,0.2045,0.0885,dovwybtwsn
-888,ieqzdvqkwn,wwvteufmkk,260,wucacwnuyj,0.2705
cat,-26,885,-0.164,dOg,-737
xukuqotsoo,vmxieqzooa,-745,-466,poguialdoy,0.439
DOg,-0.1205,-958,wduaxtilip,-660,-184
xxmnlyvssm,cat,DOG,ecmmjxbeeh,197,0.046
DoG,0.236,ibnqowjjsg,-754,-0.2185,0.3345
-0.4175,-0.29,-699,bkzmfsijpv,-283,CAT
cat,Cat,-589,zepumuzzjd,-508,hmwnmmzthd
-0.4395,916,0.2655,caT,0.382,-808
-0.2675,knegnoivqp,lrongnwxjl,CAt,cAt,doG
dackkeiaqr,xpraugqirf,-671,0.0875,Cat,plfjgxnnvu
cAT,146,-163,-449,510,-809
-0.3855,Dog,Dog,-761,zgvxgceoyv,-173
0.106,758,jcnrcgqwok,-218,ymaryhfkwm,-0.3885
69,aevddeoysn,-0.1915,-184,-548,0.4855
-0.392,-441,CAT,hxmmsarxsu,CAt,CAt
cAt,0.0285,-962,290,-0.106,0.366
0.216,-515,-500,657,-0.244,lslfwterhg
caT,0.0775,236,-0.06,0.088,Dog
290,epcuygxpxx,553,576,0.104,0.172
0.1235,726,ncvderphdv,nvdeaekeva,319,yybwdykkmm
0.361,430,-458,844,-0.017,suxruykbki
511,0.3865,0.3015,0.479,sgwvewkfwn,DOg
dOg,gqvjhsnfdg,CAT,211,-509,dOG
0.251,pjonqwwfel,-0.012,-477,879,wnpjdcsmjk
uwjsowisri,-935,-0.3315,goqjvxrwaa,0.0315,bdmuddxfyv
-869,223,CAT,-90,0.3475,Dog
rltyajteab,cAT,lfynxqjpmq,buksnrrxwj,-516,-926
-0.25,DoG,0.4395,wcldpkwqmv,DoG,0.249
0.3685,dymntlwsvo,Cat,-0.2885,0.134,0.379
DOG,CAT,77,0.0915,schugfjyxz,rkrnnmwmay
-256,oyakrhmpsn,-0.333,wwaxrrsmob,593,-578
0.4765,553,cqvlqjwivp,463,-0.0515,-119
529,aeptjozhvg,-0.493,0.151,214,-0.4065
hnvbogkvri,-808,0.226,wfbvjfvkas,dOg,-495
lakepqzice,pezfsypxiz,-148,388,-0.484,tmrkruypiv
-0.2705,0.062,-186,doG,dOG,556
-0.3155,-164,0.0875,-908,240,DOG
-922,-0.0825,grczwmilfa,uycipmgllh,-0.0615,-730
bbhtjyfiap,ulrklgudwa,-847,362,fmgejnesgc,0.1725
