ckieurslqa,ovwkpuqunr,ykrxrcmvsb,olczztuqyd,mssvlycflb
rawuhuegaq,95,uzatarkdnw,nuhclskitq,707
-0.0175,DOg,-0.174,dOg,-0.2295
0.409,kzlhqetdxz,-97,brxqonoiwd,Cat
-0.0395,CaT,734,926,0.142
CAt,0.449,0,-260,ztmgmxsjxr
-227,hqjtrtddeb,0.329,0.3235,hsymipetjy
812,0.232,-22,gfrdzlwasv,702
-0.4095,Dog,vajihluehy,0.3265,caT
cAt,0.476,dOg,0.205,bnnyabpogd
nspemiwyty,-383,-996,-0.066,-0.3095
glquzumzxv,dog,0.1835,pjjuyuhmze,-0.213
-0.463,DOg,ytfldpjjtg,rbuuyzxoks,0.0675
cat,ilypiefrzu,rqpxtxaurf,962,0.4505
106,-911,hdrjustblw,-925,0.1065
0.38,0.0325,xxuztmmgcm,doG,0.0225
doG,0.1445,lnjebobjed,cAT,DoG
684,102,caT,-0.4405,784
-200,npfwzrmgep,0.2465,Dog,0.056
-0.3365,dOG,DOg,-0.0025,Dog
-0.3435,caT,Dog,0.433,ozogmdrcps
Cat,-0.278,rdjiopbzpo,-0.112,CaT
-424,dog,-0.4325,DOG,846
fwotcirgtu,tbkixkrkle,DOg,0.32,ydhoeojnem
850,dog,pezpiptgqn,-47,xdbbvdbidt
dpxliskchu,-923,-428,yopkvtvlnu,DOg
-0.273,0.304,110,-0.1935,101
0.214,-196,dOG,0.2935,0.324
-0.0455,-663,0.008,dOG,0.1735
0.273,dog,-566,750,-12
rishtmvaaw,pbaqyqqiuy,cAt,ndhpxebgjn,vsvckmsvol
0.2945,fhaifvphwc,0.3175,doG,0.4175
0.0245,0.3495,ggmtepnoug,ymmwdysmsp,xadjzjbejh
pvtyfhbbxv,-796,-668,767,sdlxbwgtox
0.207,-355,vsobusmqet,-719,0.417
cat,gigpjzfhau,mwvsgwcbhi,cAT,mtcnutdiqe
utguascycb,hxwongpyap,doG,qgjyseiwlp,mthdnbujmt
bxvywueris,qumizyynhz,cat,683,28
-0.1805,DOG,qdcfhpmilp,-238,0.3485
-511,0.374,0.4935,-0.16,swwbavtuqm
0.2375,cjyzictmnr,caT,0.065,853
woplklylql,497,0.337,0.371,0.457
svuvgtdtmi,cxlpbqfaul,-538,-0.411,-425
euwtxrckft,562,CaT,fwabuekfsy,0.3905
0.3395,cAt,617,doG,-0.013
knvjggyywo,moosgoigjr,mhhoaxzyar,355,alvgtqjsem
CAT,rggqvxmwzs,-0.063,10,nzbaydljgr
doG,huwucgymyy,768,hnyuqzubxn,0.411
cAT,-0.464,Cat,213,ujbrmuicnd
ljbgmihhcp,406,vznmmklxwf,azzzmbvjfe,Cat
-508,0.1635,CaT,hpyhnfzeni,-0.353
cAT,0.497,-0.354,-194,-0.4605
vwawaeefch,-0.5,CAT,-0.476,eerwyelqzk
440,-0.367,DoG,0.4425,0.317
bweiytrkpk,0.156,0.363,-690,botvnhfkyb
777,ypiqkfftey,-0.418,zgqbjzywvq,407
DoG,CAt,cAT,0.3615,-50
ewmkvkssnr,DOg,kzcqvaeszs,-509,-0.1965
doG,kgdhfxjdqd,cat,88,66
CAT,-0.021,emkovnfawk,Dog,590
0.4985,pxragomzyj,-247,cAT,-776
dOG,-0.067,207,qpqipqiqig,169
ydyyimsqup,681,-0.2015,0.4285,ahxslballp
uqdiufrqlf,dOG,-0.1045,236,DOg
-0.2175,cAT,-0.4745,-0.0345,-0.028
708,-0.1155,-169,-0.227,623
-797,apyjzyeqkn,-477,jloeeyxpoa,cAT
