pET,ekrwlrdadn,rzmzitlugp
dog,yarziayptm,cAt
0.4625,-0.2905,-0.259
CAT,CaT,-0.252
CAt,-0.0125,DOG
-595,imslifuifs,saxlhtvxyy
778,CaT,512
CAt,0.1285,-0.275
caT,fkjacfxkrh,-973
loigbgztra,-746,kfpznrvres
CAt,zrkkhsgcmr,612
DOG,-906,-930
Cat,CAt,rhnavhqfln
CaT,dog,-0.222
-0.418,0.4665,-0.153
CAT,0.03,0.431
DoG,-0.4735,-0.272
caT,0.275,-0.2825
CaT,sbrzrihfuq,ilsiklvanj
dfqjuxuhzl,bjtljofvqp,-23
DoG,DOG,-0.1415
ttyahgbafc,-0.1545,-0.031
DOG,-863,0.401
Cat,CaT,0.019
cat,Cat,869
cAt,xltxmopujw,914
caT,-10,-195
CaT,caT,0.168
ejfnrxrxot,rceqeromhl,-354
caT,szbjzqqhzv,Dog
cat,-23,zguljrjmaw
wuhltbnlku,yebtooefnr,cAt
dog,doG,71
cAT,hpvdhohxsh,CAt
cAt,-503,DoG
cAt,735,0.1085
DoG,-0.002,0.1975
CaT,-523,zdtknliaub
cat,551,ltuwypdbgm
cat,vmrpujllxu,-317
CAt,-0.466,Cat
dog,CAT,ktpomishvt
-594,CAt,cAT
DOG,lhzdnfochi,CAT
DOg,962,DoG
cAT,mryxocpzln,jbplfgqcgp
Dog,-0.205,-0.415
DOG,179,Dog
dOG,CaT,cat
DoG,0.2395,ewopodfvek
CAt,-351,dog
Cat,-307,0.1395
dOG,zbancwufbv,-0.4305
Dog,caT,-0.4215
caT,232,996
cat,-800,465
caT,lxahpkapmd,nrntspiuoh
dOG,885,rmzbzbpwry
DoG,DoG,-0.2395
ksszlgnwjx,0.1785,dOG
baavvicfyf,cAT,-0.4005
0.173,-0.3225,0.208
DOg,CAT,-0.473
doG,176,dOG
CAT,cat,dOG
Dog,0.4575,765
-401,gwooygrlvg,ysocmmzwvg
DOg,ohkbmvfupt,0.0235
-0.4505,bhyeufasie,-0.1685
caT,-860,-0.0435
cAt,-567,674
dOg,-395,omvhkscxxb
dOG,ndgeeiffiy,0.353
0.4055,xvrpuzacin,0.176
Dog,-634,-0.124
DoG,811,0.1325
CaT,-452,792
DoG,caT,vkiqjjlkqv
-771,CaT,-140
CaT,0.098,kawgndftch
dOG,379,811
DoG,caT,cbylduhlmo
0.264,kpicmbwgwt,610
-563,0.0195,luofnizhsk
CaT,qipzkdqzkn,Cat
Cat,tqnvaauwua,759
DoG,-814,0.284
DOg,0.374,dog
doG,owhanteiau,-0.475
-622,vywzjfaxpw,qyqisyeyvg
-549,-183,-0.5
doG,0.106,916
dOG,478,0.263
mascdcjeho,cAt,hxiziqnvfm
cAt,-892,rylolnueuk
dOG,0.168,caT
