razxsqmcjh,pvxjgcjecd,qlhyzkilwh,lunqnpopju,nhhlekmjpy
npyptgeicj,cAT,dog,-0.004,-0.0565
caT,-368,gdzyquaxkm,CAT,wgfrriintl
842,0.385,lszqzgpdxp,0.235,-0.119
cnnwbalonv,0.2185,0.447,ayftlweaxr,-0.3575
0.456,896,zrctaleiol,dog,212
-404,451,174,94,-148
0.1915,umdqsfrubk,473,lzfqrvkzcz,wkmbkfdfvp
-0.108,0.1795,663,-0.181,CAT
-408,rkmaqcgmxu,-0.267,cat,258
cAT,-619,-0.3565,hssgznrdvj,0.377
935,0.17,tuqimuurkb,-775,ebuzqimtuj
0.2675,0.3465,256,-0.0885,jejogendfw
jwkkmlvqyv,vqojqdevsu,dhjbqtploq,930,-0.154
-0.4995,0.2935,-405,-873,zeqfchsqez
sszididmbc,0.0555,fisuacomey,-467,725
tlmdgmyrgb,0.4825,aikpocphbx,kcmglncfvd,ewdnrskitm
-313,-0.2755,cAT,292,-430
-298,osaswtprhp,-365,-0.3875,0.468
813,CaT,cvbjjazkqj,eacqjvqgjt,wwsjetnzvs
kwbywygutx,kvzgyxgpuu,Dog,171,xtiiidzesg
351,-0.375,Cat,-859,-0.0575
-469,0.368,-534,CAT,0.2345
bejpvbxdew,knkucoowwv,0.209,-0.472,552
pgxmzbxmzh,-674,-157,DOG,0.4815
0.2395,qjzrmuccbe,DOG,896,-0.4555
