cxzvwqzmye,ryvanhhyyg,ujfftnzkpb,cdyghqvatd,vturplwynb,nyvoecehrv
cat,wuxvcyjeig,500,hbhajbmskd,kliscabupl,yrnblksgud
CAT,mnpdrimqwu,elaglnbkqb,-238,-0.0485,opwxxioeku
172,0.1145,0.314,-619,ebbepivrli,opstdfjqgi
-0.0745,DOg,bknderytes,huwfjwrhxn,-514,wjdrurcbqd
omcedmzrns,993,-182,doG,58,-68
-66,caT,-318,ljddbobdlu,hcicbhtrka,ixkdmkxtuq
315,cAt,0.1585,0.4125,gvzgtjeixa,sjwxieuwmo
-623,-290,-0.187,CaT,wkpmctfzrn,Cat
-368,-0.2305,DOg,CAT,wxitcpazff,787
-606,Cat,Dog,0.2585,dOG,-96
raugchiybb,ceyifyzaae,-414,doG,qfzqrxfqsd,dOg
ouobjmyxio,-0.423,0.0945,Dog,0.0425,jbtpgbylku
503,Cat,0.392,-143,367,dOg
rjmwqpquor,cAT,-206,ccxpaccssz,shbnrlsuwe,0.4585
szksaxjuqr,umnhbcfcvw,-0.08,CAt,zifypdpqty,362
atkbkhwpog,-439,dOg,-572,gcfabmvnbb,igyusabnqp
-0.459,kqhnukjfio,-0.4495,DOG,tdpmimtcau,-0.368
294,-0.1445,-226,gbnvmotefw,tdxuuluenf,999
DOg,CAt,380,DOG,xnegqipwca,-548
vlhyiukmkv,sxgtqfcryr,jcrxhtujpf,927,161,-985
fnvytvbaia,vxzsahjkto,-146,doG,0.361,0.4205
-0.257,-818,adahddrmdt,-0.2405,kxcsvfwoja,CAt
202,-0.0375,-785,0.2175,dog,dftohvfeug
-0.243,-0.3995,DoG,0.374,-371,0.0625
-831,DOG,hzhgskqoil,-0.3465,0.468,-0.023
cat,-0.045,-0.2125,0.4995,-0.1765,-0.0295
379,Dog,hcmbhqhjka,ymvzupjfjh,452,-692
cAt,zofyiupnsf,qcucolcoud,-268,-733,782
-686,114,-163,-0.143,cAT,-508
-0.334,byofqjxjhn,385,ppxxcqxhle,-709,CaT
Cat,191,-182,ektqpimuzn,0.423,-941
-0.4015,dqycmjyoty,-0.259,lqhggtpdsb,zxuoyheape,cAT
Dog,Cat,-0.497,cAt,-0.3935,nfyppeynap
dOG,751,-0.426,DoG,rsrzpwjtdq,-0.3295
rrzbmnpyib,-0.263,984,rkmgdeakwi,843,-979
xssgobxfcq,-90,-0.172,hatpgluxkj,zwxipkthyh,lbgohbowfl
DOg,kvjqtqoisl,-0.144,awezmlqkys,282,uhmauppank
494,-0.279,507,lpntkdzzpf,-0.1345,-387
-0.076,doG,dOG,0.4605,469,-633
alfnwxpebu,mfepeczgyn,nzozvobhpb,-23,-0.1905,ikpyfcvldl
DoG,0.4515,0.333,sncfvtrtnm,cvgnsbjfhw,dog
