mqqgproyyo,kecrcpikxg,mfftcyxpjj,aethyhyujl,xohkpnqmpk,hxlmjckboi
nynhhjccqe,-737,539,-168,-264,twxqqgpcvm
jrooevjcwi,izuuqacdjp,cjlfvtbrmr,DoG,-0.0555,-774
587,-0.0435,-689,-88,nwtuigtzex,0.052
-0.3215,428,CAt,0.2365,0.18,rvgctdrjnr
CAT,rmltegldhb,-0.0775,caT,205,0.0865
-849,zfozaqglir,CAt,qbvkyherqu,-8,0.003
-172,219,kmxitousmf,cAt,jducyajsnl,-0.1685
dog,317,ykexbezdac,xdgclduhdj,0.059,seqcadhchz
232,0.2175,-0.2565,-678,-0.4095,dOg
-0.4315,299,fimjluprlh,-0.271,983,0.483
0.0695,eneptsnxvk,-867,Dog,0.404,0.2265
keplnrxdpr,xdkmsakbhb,vonetjzwue,kafemzgjnf,tatcypcxyn,-631
Cat,967,0.369,ayogvxcing,-54,0.4315
vfagpcoeun,ohkxfzxaql,lmdouphhrw,969,685,doG
-0.349,CAT,-539,503,fzasahrhwu,rvlobboliu
qkmyzvecya,wdutkngvde,huabemzeqr,uckniokehy,-0.4345,-844
-570,hbtzsnornx,-0.24,dOG,445,0.1545
omlyzozdxy,-0.2005,0.1255,jatpvloscb,818,lgihqgzfry
cAt,-0.2555,rozqerkgpg,zpwmicvtju,-246,0.3295
-460,-696,caT,-508,623,-489
cAT,0.295,-206,vdthkgylkx,neanfiihax,DOG
0.157,-0.1055,0.417,rqyiwowied,0.3525,DOG
809,cAt,0.4495,-0.047,-975,972
-315,0.1685,-349,338,418,caT
286,cayewguadu,-0.1675,galnkawjcp,-301,-540
DOG,229,Cat,-729,-579,-591
dOG,rovstfdjdq,-0.2165,358,-0.244,dOG
vhffnfzfnq,276,dOg,0.416,-0.0445,245
-508,fbvegzjnmd,lbldrympib,-104,0.0875,0.0635
-598,-937,nytdobavin,0.449,CAT,-436
-402,Cat,-407,-367,smtllkrcjc,ygeileojqm
-0.2195,gkwnwoymjv,673,ubchkzlrck,wypitqcujn,0.4805
786,uqzhgxszwy,bfnbppopqc,-0.0655,-0.025,gfyiwlewyf
-124,-769,jsitobbdvr,-0.179,-0.031,cergeednsq
-963,bzthgkthfe,-93,dOg,840,0.0325
-0.016,kqfdisbgwu,-809,vyxhmjmtyr,0.418,twzyxbhwtn
zpjosgqohr,-526,DOg,0.0835,0.2905,-326
sbtxkodlnc,doG,vkxllptrig,0.325,-0.312,0.07
-0.48,cmrgvelqjc,arlhazyzuc,0.458,0.2325,-0.207
doG,ovklywqutl,abztbvfjoy,210,686,whskcsxcpl
-555,0.0775,dOg,jzawbzofbp,0.099,-0.1325
dOg,-0.4495,zuaklazcvm,eqzaemqckv,Dog,zdmzatdhxa
-216,muhogdngtq,cdvwnihton,-237,blffcnqhvm,xegsrlyonv
ndsrsiksoa,-553,caT,lugewfilhk,-286,0.359
DOg,qdqhbmbnnh,dOG,0.2545,-114,-832
-0.217,caT,0.0085,0.069,cbobfowrvx,-0.15
-517,-0.3285,fkgqtgdjix,sueszrvodc,-74,-547
xfiqsjstnx,458,DOG,-904,dOg,wdxwlikroh
-0.095,denfpfeuki,0.025,-0.316,697,jjnstlodvs
nkxjenzjos,-0.3475,106,plhsxkwygt,bosczswbfg,-72
0.375,-0.04,swhfstifcw,ctbruymbhy,dOg,CAt
cAt,117,uvgpgjyijc,651,ativmcsmsd,-0.297
cat,-0.485,-0.051,0.057,-197,DOG
218,indwkcirkk,yhumickogr,Dog,DOg,hlnrorfbdn
-10,0.259,-947,wtmstczhbu,451,-0.1365
tfelzabvow,854,iesqizucfo,dog,fyvnjrpqre,hdalwycnbr
-910,cat,0.047,0.2375,zfwidcrros,630
803,-266,647,435,161,-0.1665
0.1315,trepjscnrn,uytvoxujxb,zvzlrftvph,aeosnkvhmv,-186
0.0505,-98,tpgmfwbbrt,rqaotucsxm,jepoeglkgp,0.4555
