kjhsfycwbc,dpvigkwgnl,vyazuxyfhw,pEt,lknfywlelz,aykqbsjxjb
bxrpirdewo,0.1675,utefedhyxu,dOG,ckurdekxxh,157
-0.2875,129,DoG,cAT,0.1285,-0.276
fvsebabpzw,0.115,-0.027,-0.1715,cAT,-464
-0.4925,kjqikbfjmi,mdiopeqbol,dog,-270,-0.047
-699,lhxxqqyjlh,-526,CAT,flvvxjvixb,zeukpluxcj
-138,-958,709,CAt,324,784
jfvxhkicxm,-0.473,-0.189,-0.2305,ocvzxikxul,pmrfwtoyli
kddojdxthf,641,457,cat,796,DOG
haesiynvzx,907,265,dog,626,-0.073
793,contdbwdgc,0.421,CAt,-311,350
-793,ldlwuakuii,mqnjgrsgzt,-822,cAt,296
-0.0305,-0.37,-692,Dog,824,dOG
0.414,ndrgxtyqhr,47,doG,gkwcsadqye,0.146
596,ihsufsfnvz,-0.4355,CaT,0.111,ahyztgignw
CAt,0.411,0.007,cAt,-191,dOg
sdzjhdqqsi,-0.348,dlnukbrybd,kfjsgfooth,550,138
-0.295,-0.496,DoG,whxjwqzpxx,-0.104,wlkzokwlrb
sqjcbmmvtq,CAt,sonfeynihw,cAT,-0.3735,0.229
CAt,-662,0.3065,Dog,cAT,447
-0.365,0.352,-0.2085,caT,doG,cat
-0.2645,rapbfjctzl,371,DoG,mtjmftumnz,0.198
sqqchccmez,0.2885,gotlpcweky,-0.2595,0.024,-212
lykhkqrksb,0.1565,-0.4565,-606,cAT,494
0.045,uzbpzqboub,-0.1485,doG,-930,-129
