fdhlnbvpfn,aiyhrophdt,usivqjhcwe
-474,Dog,CaT
cddwvkhbbh,0.278,caT
CAt,wrredpscvh,cAt
patxczpelv,dOg,hymhtsmwia
gknwupxwbd,-763,981
-0.3855,xtvafgmbgw,0.0195
-0.0865,dyxzovlvwb,yntzbccmrw
0.3085,-440,-502
-184,dog,jlggctkbfx
-0.3465,837,509
282,304,ekngxowhyv
gfudsioqww,-309,-467
-0.056,rfobokhhhh,zojfrxatqc
DOG,462,DOg
haqfytppxc,0.3225,0.4915
-518,lnswnaefnh,0.4525
dog,hsumnlqqvm,752
-294,CAT,aiyguqzbxd
85,-0.2615,bsrfwveesd
aepthtljqu,0.4275,0.234
gfxmdaecwu,gwqmbgfsto,-0.278
Cat,cat,awwjuqfhzy
-0.4245,mcvxfyfnsz,-0.4125
erfugewbih,caT,cnhjreoztl
DOg,CAt,0.313
922,-0.14,-0.281
116,538,-961
-99,iktlgvvhtm,-0.276
0.1465,-539,wlqdhjumqt
cAt,xhfltwneay,-0.054
CaT,-0.363,dOg
-0.2785,DOg,hkgpdphzrf
krflwvqqri,wplcjqjltf,0.4945
ejvxbzqudm,cAt,-0.0205
wketxofpbv,waefopcdsx,-677
126,ouiqzlvdyu,-736
525,dOG,-809
hjtxtcvqpj,ucccqlitky,CaT
-0.0845,0.3545,CAt
qxhaicmqpq,ooaiiwwwfk,lniujewcis
-408,222,-0.27
baikarzuyd,0.2785,0.334
-0.335,-0.074,-0.293
mduutvioiy,tonppcvryt,-0.2155
-0.0425,-911,0.4255
630,jysrvxrbuv,0.18
-0.0635,lxdbapbnki,wkwteqvmja
doG,0.1035,dOg
-998,dog,-0.2505
-0.2635,cAt,990
700,btkudndtrb,doG
315,cAt,860
346,DOg,202
dxwosouvqy,qojhpffkjs,doG
qyeakoygxx,anslndqikc,-0.15
rsnrbdhwuy,jpdktqpudy,-432
caT,147,DoG
-0.25,-477,0.4685
gbgnitzxoz,-0.1305,-0.386
0.0875,605,-0.0415
0.338,721,0.2475
avjdxfgzyn,-475,-250
-946,wrzlejbckw,pitkydbuot
99,0.431,blrgbeyvkj
lqnfbhajfn,vwdxqhfbdk,dsyptwzlhb
gshtcpxuij,owziowlshx,dog
gkjmatrayw,-0.3535,-242
0.4135,-470,100
962,-0.3625,-0.209
CaT,0.2535,bcskvqzjer
739,tlisvgejlx,-368
CAt,CAt,cAt
-0.255,631,720
-312,gwwsbxtcnz,0.3475
