xrmqijsqbt,fqjyvelflf,PeT,dafzwjrtop,urlonvznzy,cykxtnalzq,atosycboxd
530,-336,CAT,-881,-783,htrbywvlfa,cAT
0.205,hrjmqovrbu,0.32,-0.4955,0.1035,CaT,0.213
0.278,-201,fuabqykmwy,-640,0.374,iuwpgevtwb,DOG
qxbdybgnqp,-152,CAT,nkeiadfwru,171,vbqlzigjwm,-270
-854,-687,CAT,caT,ebzsokjzuo,ecmisaquxh,doG
cAt,-467,cat,0.201,Cat,ryqcwuohlr,kztlcbtexl
-982,oycuqtleax,cAT,igyqdjspeb,-794,Cat,-254
-641,0.114,48,-0.334,rnvsioruaw,488,mvhhhsfwzs
471,ycstorokus,cAT,Cat,273,-744,zsxfmiphvv
-965,-393,doG,Cat,879,cAT,199
jolufofiry,133,Dog,zmwyjkkkdm,guytxmfjoh,-30,745
0.01,764,0.279,DOG,-677,dog,DOG
kjztbanlqi,Dog,caT,650,CAT,DoG,xewliesypb
0.271,ptihzaiort,Cat,caT,khmpehvzxm,0.295,0.4635
heleyzeglu,-824,CAt,ogfkmqwyzr,-0.304,-0.32,rjbrffixda
nfhtjchpxq,-0.1045,CaT,Cat,fvscmpkgcm,CAT,doG
-0.156,CAT,dog,hunpuvspir,0.259,jpuzwxidqp,byupjqsymv
Dog,-955,-0.371,wvzihrlgce,uyirdngbws,-309,1000
zopnpbmrnb,-0.3125,Dog,458,110,-248,-979
0.4605,0.2085,lhkiaxorfb,cAt,-351,739,gtjgkcfsao
ehbeabwvla,ovuamsbrqv,CaT,hjfrpprhfc,-0.2775,DOG,-0.461
659,0.1095,dOg,-871,777,798,itrtirhzxo
0.0065,-736,doG,175,arohuqynlr,0.3265,155
-0.236,lwjdvdmrvi,201,rcwcgzaido,jwmiizooxl,-0.4845,0.1785
dliizslkxn,-362,DOg,312,tfbqkwqlxf,zaffnenljr,-0.1585
-0.1855,507,DOG,-834,ituwixcsfo,doG,-0.2705
56,-0.1825,ssoidnmpll,0.367,789,-0.2425,-365
caT,509,CaT,0.2895,-943,0.0415,vbbkmcbrwf
yxulfrtjff,0.1425,dOg,-0.1555,-0.2595,dog,0.269
CaT,cAT,165,0.3125,CAt,uqdhazcejm,cAT
-0.024,wjoduqisjy,974,0.383,yrrdqffelg,jvlxgpltqk,191
-420,-737,dlbrpcxqyr,wrmxyasrvy,-733,rpwlyblits,651
CAT,bhgommrvzq,dOG,imkgmmtlxx,nptenhpafy,CAt,-330
-844,-841,0.2405,0.2075,vreycjbocw,-647,312
-849,DOG,CAt,956,dOG,0.2735,-996
qrnqyfgakk,0.4635,-257,-0.3125,649,-977,-0.457
0.4235,pmpflqdtoi,cat,0.4065,-933,skxcmyehzh,-0.016
-318,-726,DOG,957,824,wsfrlvdyuj,ormvexgpsx
-705,511,dOg,uwwdwuhjog,-589,ulttiuwqqt,-0.3775
0.1795,-0.3705,dOG,-0.0325,-0.0965,dog,-411
0.1095,-0.1835,457,cczzzjmfjv,-83,-0.097,-0.2705
DOG,701,CAt,-315,-0.2275,361,jrjhosdqwm
565,dOG,DoG,0.149,DoG,ukojajlpcu,doG
hgrjuecdyi,-0.249,Dog,zxtizzloti,-0.074,-0.187,-705
fxzomlnwyy,DOg,zvdzmfwiof,caT,-0.3635,983,108
hoiigzbhmg,-0.432,DOG,0.2685,CAT,0.135,-0.2785
0.314,ggbcykinmr,-930,-273,dykvragiyk,-487,evlhnxyvqx
0.0895,-0.1205,CAT,tapposogtb,-0.0905,-868,CAT
-621,687,DOG,0.4305,-345,dotebsiskm,DOG
0.044,huvnzlyoxx,-0.064,msprcvlsrd,CAt,ryidqgekvl,lhcnptwdkv
Dog,-0.119,DOG,gbqnlnufdj,-0.2495,cAt,-245
0.4975,-179,cAT,0.2285,caT,tltcdgoamf,0.1585
-692,jgnqmdjubj,DOG,0.3215,-0.3315,-462,19
gxuyeqypsu,0.1375,133,rscwodoejy,0.1665,-0.277,cat
