lsktdwkutk,akytsjqswy,vrrxbnxumz,xyfwbmluji,eparjmmuix,pet
dog,591,mpwlvpguqi,cAT,doG,CaT
-0.217,-0.0995,cat,xeaswmbfbg,jtezkitdbi,dOg
ukocjozhdj,DoG,-0.096,0.4675,glaeucbtna,Dog
Cat,-0.266,787,-589,0.0545,cAT
soabofsknz,167,lyxqgkyadh,-0.0115,ouiweejeiz,DOG
-979,-254,-556,CaT,DoG,Dog
0.2825,486,-0.1505,ihjilqicws,0.4085,-0.272
Dog,0.0055,0.13,-0.419,dOG,0.1985
325,-0.1085,-667,-0.0325,vknchiwbhf,dOG
ffmvgrcimf,xmxtpimtef,-525,504,0.1425,gqhaolgszi
0.093,-860,dog,zvmciqsgqs,fqizrlmfpe,DoG
-0.2205,nbngtutrhp,-796,-936,-851,DoG
-112,-0.1225,hslhpmnzol,97,0.1125,55
CaT,lnqmjdnlat,537,0.37,DOg,DoG
hampofuzmh,cat,-0.261,hwdyhfilqm,0.472,879
Cat,0.218,dOg,-296,xxtlhanwih,CAt
-837,-0.342,0.1845,-355,cwftyqeglf,0.0225
-637,328,ufmglecust,-235,-0.1765,-0.482
dOg,clcdwjjibt,CaT,uzrtarlsdw,cAT,CAt
-0.2105,dog,dog,-567,cAt,Dog
327,-989,95,-0.434,0.046,CAT
821,128,-96,-771,nbvenrcqxv,dOg
kzdgoqlotk,-0.2425,-755,-293,pvgthfypkn,cat
-88,931,ompxyfhiah,-820,yxsthnjirg,caT
-519,448,0.2625,knfeuqwjbe,zfyleqtzkz,DOG
410,-0.07,-637,0.493,-349,Cat
CAt,srjacwfqip,-0.3825,-0.4755,-0.25,caT
718,303,-0.2405,922,0.4395,CAT
pkqykryhue,emicefeira,-0.444,CAt,xtlgotpynq,0.2005
-210,zdssmjwmrs,rkjfdpwkyd,wmanvkfcqc,-469,0.2635
0.4365,milyurkffe,0.252,472,0.0965,Dog
-218,vvfnvyjfve,0.226,0.086,nbjmyxemvq,dOG
-0.259,-529,rsqvlcpumz,rwzcynonzf,351,681
Dog,674,-0.246,-498,735,CaT
nwvbpkbhwi,gnbupfidem,doG,0.2655,-616,-0.421
CAt,0.304,-395,qleqnvczeo,769,cAt
0.111,bkvvyfvbnq,bqkcfqwusg,kssefovdey,0.4515,411
0.231,ydqazwezzw,cAt,gyjsnsbsuv,umsagnnbok,Dog
tggsqorcyp,895,dOG,0.383,497,CAT
873,-0.085,Dog,tyyimlzctl,ejjucqwaxn,dOG
bhextigubv,-385,-150,qkdqfixgmy,-0.3045,DoG
CAt,-0.265,0.158,34,-0.0865,-0.2105
jidtlkmplz,0.1215,lcgyzasfek,0.4475,aqlioxrcih,pmfifentqp
-0.2795,-600,0.0345,0.472,doG,hrmvmmbybi
jufwidhlef,hoyyauqswl,nwkfhpwamt,-131,0.4135,Cat
Dog,-605,0.0815,xgwxityhaf,DOG,DoG
0.341,kkgpiuwizc,-0.163,-82,rwhschlgyd,dOG
771,210,907,735,-724,rttxiwbutt
Dog,gldsbmorfn,961,dog,Dog,iuhxjcicck
193,pkzgisaspu,sdyftwqzmu,-0.3915,Cat,mezdukiazb
xexuoovanu,renqupnyir,-903,-0.2435,mjoxaudloa,DoG
-0.4995,-0.1515,-0.1175,-90,-656,-513
0.122,0.3345,dOg,clpbpllvyy,Cat,cat
-37,0.2565,0.136,-936,-0.353,cat
iefbqvsgou,zxityixzml,ofvrxhfvwf,-514,CAt,cAT
DOg,728,0.2195,-336,lizaqabgaj,doG
kyoeafexne,631,458,617,796,dOG
igxdefrlyt,860,43,0.016,-320,pzovmxwrxy
-0.462,krtfqosbwg,xnqnekzeuo,17,203,325
0.1875,-826,caT,928,DOG,dog
-0.4735,-0.485,doG,CaT,907,DoG
ttoxufogie,Dog,fsdmtilrsl,ojntqqydku,98,-792
-0.305,CaT,585,oiesyarpnl,-380,CaT
jyjtokojkm,0.148,133,diczqcxzwr,0.0035,DoG
0.384,512,-465,-128,CAt,mniryaxeki
-217,yyoybeqlhu,ruxtitqpxw,-531,0.2885,-0.234
