aqbzduooag,odqfjbhbqk,pEt,mavqsidvxw,haqhaqyorr
-537,0.081,CaT,CAt,-0.471
yxrmrjibbx,463,DOG,CAT,gjwtbyibda
0.033,dOG,CaT,cAt,202
dOG,-0.476,-0.396,pfrbooaxgl,-0.0425
caT,0.2235,-0.1955,qjocuqmxxk,-155
DOg,CaT,CAt,0.4935,-0.0905
cifoiodcds,ljefvvkhlu,dOg,nsicubfins,409
0.4105,-578,0.0415,-231,-0.043
61,340,dOG,izwelpvcoy,-0.466
kquydhowfv,564,DoG,zipcpbmxhr,eqbxkjfafe
-0.1325,cpqqwveoht,caT,222,cblolvyify
-0.314,hwzmuppjvv,eqqhdpsevw,692,0.1965
0.004,dog,Cat,126,jyeyvivhbs
-964,dOg,CaT,0.484,-0.346
0.2135,0.461,aiarkxehka,-0.4595,ajupsfhkxh
448,qqehnphgxz,dOG,916,ecvfvdowmh
-885,mjtdagqqjw,DOG,-855,kbgvtkclpf
dOg,Dog,-829,-0.47,0.099
-575,vmrlrhlnao,gdupxduwpx,lnwenbvcmn,itsawkibdm
fnrrboluzg,ogqnmwzlhr,dOG,-73,-561
0.363,gbjkmaroec,caT,aufilywilb,Dog
blwibtwkjr,-0.2245,Dog,cat,qnwevzdtns
-451,quhmxsuati,-0.3815,-511,-0.049
0.157,0.341,DOG,cat,DOG
CAT,0.2745,doG,zmrdbamdjy,677
uukixvzyce,caT,cat,cAT,-0.295
dwicdjczbb,-554,CAt,-0.228,dog
srukfbvcjf,0.249,Dog,rylvequpui,-776
wdnaxjcxpu,dcfpqnqftj,DoG,-448,dampyttycm
-0.3125,-157,Dog,-0.4785,-0.2145
jplpjdfzni,-0.016,CAt,-916,CAt
DoG,qslhkzodkw,-967,0.494,391
-0.2295,479,Cat,-546,lghpbjsxxp
24,0.3815,foysmegxqz,-552,ddvliioekc
-0.011,nqrtfuenpk,-0.2,CAt,vtewpcwfvr
-0.245,-953,CAT,-0.228,530
758,dzkfbikqxl,dOg,-0.101,-0.1905
622,qufphevmdd,DOg,-576,-0.07
0.0805,cat,DOG,297,0.2465
-727,-975,CaT,oygqkdeism,DoG
CAT,ftztcvobum,cAT,mjkdvhxdbd,736
-231,DoG,Dog,dOg,-0.2375
392,-0.398,doG,-178,304
mlmkuunsba,0.0785,0.3515,0.037,xylmaomwdu
Cat,855,DoG,-732,gchotaoqqf
DOg,cbjuerwyqk,229,tvtfbmadwf,owkspprrfq
-0.1595,-972,Cat,-614,908
-0.243,dOg,cAt,ewolkilvgb,457
Dog,0.4575,doG,-0.159,0.1325
oxqsbahuxi,hijnajbdre,0.0585,dOg,-436
944,-0.379,DOg,mmikkhpyrf,cat
0.157,733,191,649,rjzzwwxowf
DOg,ajzpycybce,dog,rtkfmtvlnl,tejfyqnnct
doG,-91,DOg,0.2245,-0.174
CaT,-127,doG,oakmbydcmh,cekpxuwydp
0.2345,348,cat,-0.376,cshbdpupil
-654,jgfbvlkkko,-581,-977,CaT
0.4235,-0.321,CAt,814,-796
-0.275,CAt,CaT,-466,caT
0.358,0.391,dog,0.4245,iexpwwdxit
luuysqvmys,tvmnweneii,Dog,-0.4165,790
Dog,cjwhwlyxqm,-0.0495,-0.206,-592
nybkyfpvgx,dtsgdhbobg,dOG,-810,955
526,-0.332,-0.5,326,jwibjyrtqi
DoG,cAt,0.047,dOg,cat
278,45,Cat,-310,hzjguwjcpw
aljlthhptr,0.072,Dog,vsirauiioa,-0.2115
0.491,-0.2975,DOG,dog,DOg
-0.132,Dog,DoG,pikqrjqwua,hrfoxumoqs
-0.4865,751,CAT,DOg,-0.104
0.1605,kpgduyzfvs,-226,-0.0935,mpodkrxmbf
-0.1445,jtybrzweec,0.4295,cvxvhuctzj,837
bgozyxlfin,803,-0.0565,0.087,fzreartkfc
DoG,iqgznydeyr,pqceusincr,-210,cAT
437,DOG,dog,asqgcgojmb,0.3035
ylxzpwgkae,CAt,-365,0.0885,0.386
880,-0.2785,doG,-0.4645,erjnjhzjdy
-0.183,-700,cat,-519,295
dOg,-838,dOG,0.354,-219
0.1955,iiwwtbrjjh,CAt,DOg,-847
-0.082,gdydozocgi,CAT,isnuetsuuu,jjegwilioc
-0.3935,-0.3635,cat,83,-664
dddquxnjca,-0.261,440,0.287,-802
huxkrmmjce,-633,viranvwgpz,cAT,rktckihktx
pbpbhwwxng,-0.4785,cAT,151,0.0835
-0.3615,-0.1555,doG,dog,dhexjqtcxs
-421,jsbkevdfyr,Dog,0.091,401
524,-0.1525,dog,-294,jqvuwltpfl
tcfpoisjdw,dog,DoG,213,pfnpdcpocb
63,-0.263,dOG,0.4365,579
-30,0.438,qohrbrfdnw,Cat,-0.074
dpjrbcfkos,uyfmtagoiq,0.168,iizuwnmptg,132
njukmwfgsn,zeukunzmsq,caT,-918,808
cat,-685,DOg,0.4355,930
rnlbwnvedt,864,cat,DOG,ojxptefuuo
cAt,doG,411,0.1865,ehxaetdswr
-993,12,dOG,DoG,-15
caT,DOG,jfxfdbreyn,dOG,-74
-88,0.127,przndrcaqs,cAt,-0.057
