tgsbpnfdjj,qkovylrmyj,zcdyuxcabd
qihcocgpsj,qrfqetcumo,cat
fxkgddqwef,-803,tiiieikaog
-679,DOG,khlzjhldfb
Cat,jrynorhdrd,-44
132,DoG,315
-144,-0.3195,bfkwacyhyl
0.3055,mtmjhiriut,-0.2945
ldxqujijtr,cAT,-0.3205
caT,-0.01,uohzmgoiph
cat,0.234,-0.364
-0.3955,437,980
nvoirsvbet,CAT,xbajzklvjq
327,dog,cAT
rxumewtaah,41,-0.19
-0.371,-0.3645,zbnewtvcle
-771,Dog,dOG
DoG,yvsamxbbul,vvojsgogyy
-351,489,888
DOg,-827,976
DOG,DOG,ttxtpdrcou
0.332,DOg,-0.038
0.4985,0.415,xwqmhjhfdm
mhnbuhhmim,-0.0085,pyctvairvr
993,xhrremagqn,0.166
0.164,211,yqqbltabyr
kppgxyaerr,wivssmpmnk,-283
0.2485,-0.348,0.017
284,0.163,-105
DOg,qcdtpinjlx,CaT
ohjkmrshxm,nzzcfhnxqu,Cat
srlcmjwxaj,DOg,0.4035
540,Dog,cAT
ntlgefxfkl,knsgrkhukf,-0.447
ygdyihogmg,-642,258
kjpzpyyqpz,doG,-595
597,-199,-552
-0.453,cxchserbuu,zacmvqgxxr
0.4365,-0.335,-0.1545
-845,Dog,eiibpmmzoe
0.0505,0.3835,yjojlvllnd
doG,562,pxftwxtcbe
pdpdpidlkq,0.045,12
DoG,gflswksnfi,groufydwpg
comxrihmil,caitfmhsgf,ahqhfxwyal
ygjskfuhix,0.1395,-0.3255
677,exxqzamcwd,zeyvmjjvuo
jivtwxrsiv,0.2585,lzwyyrgnzr
qtnpayxtgs,mqracocjcn,0.094
-486,qofybstymz,caT
-0.4995,osmoegkphb,doG
976,xuoznigimf,-263
dkhidkhtph,-0.4805,303
hexohvhgmu,493,985
0.3415,-0.454,-0.0815
664,0.1355,499
iwjbkbrhel,-0.254,toovpddumv
ycvnatouah,DOG,CAt
0.0765,-533,-422
0.4515,429,145
