ulrvqbjobm,pet,sgjgxkstem,wquuidywej
cAT,ipxwmhvhpo,ehqpzlpcnb,-0.2615
669,DOG,rexrhlyyaz,-0.1705
-24,Dog,0.066,0.098
hgrvvxfwmn,nnkedaxrfx,fsuxtfkhcj,nrurlxyyto
dOg,caT,342,cAT
qwzypggedz,doG,-538,-547
xpucphblfq,pmkgyiywgi,218,733
vpmwwefxud,caT,nolgfbelbz,plazpmewsw
-0.454,DoG,551,biqdknliup
-0.3255,dnjfuexoei,wppctfvdxn,ntpcgzmfjs
242,Cat,pevygxtbgy,-441
591,nqjiqdyfay,0.475,DOg
-986,-0.1765,-0.126,465
dOG,caT,-0.0725,-0.206
554,CAT,unhtjfaxdj,-0.1965
cat,cAT,753,640
lrwdcpswus,CAt,976,157
yzrufkvdjw,hijruasfbl,dog,-247
mtordksbhr,doG,xoqejtyzfv,0.4895
Dog,cAT,DOg,ihkxcllpnr
-0.4625,caT,0.0055,-0.293
686,caT,-0.047,dog
0.042,cAT,yrrkbxkomx,-589
0.135,0.0065,ouzlotvbdl,117
-535,mwddbpvrrt,caT,dog
DoG,DoG,-0.4415,0.3115
tscnmstinn,Cat,181,DOG
0.444,CaT,0.3605,0.27
168,ympuyfdmbm,-855,-0.1605
-0.252,caT,dgjycdoxjs,0.054
ydafycdavt,dog,doG,DOg
0.0235,nnkcvfzmiu,akpbtdczeh,342
0.3245,dog,ywjimzkdtv,neqxbdaizd
iybbatbfzr,cAT,mjfcfjoinl,824
hyyzwyiogn,DOg,746,dog
hzgmdkrksy,dog,Dog,-0.386
-138,-643,-0.312,gglndkzouj
-0.238,cat,fmxzqvrbht,-0.386
-122,dog,0.021,914
-0.2505,cat,0.309,dzbthrfwug
-0.4275,600,510,0.198
-0.1565,Dog,oaxhkpjlqd,oqypruherw
-0.1975,doG,0.0435,awixfyglsw
gkmexxptse,-0.17,0.0625,-0.0525
cat,0.098,sfeqavgutu,-0.0575
urhnucpjpt,cAT,34,nbzeiwufup
gqxmmaydsg,-317,mpmhychsio,alrqhnmllt
-538,-398,-90,osxbqruzyn
povsmrtccv,CAT,cAT,rudpmcwtsk
Dog,cAT,914,wqrphuqgqf
-559,dOG,ytecysnvan,nqleocpqlz
-376,doG,107,-850
mhbbdzribb,DOG,579,CAt
fgadygqryn,Cat,12,-516
bvggnfvvqo,dOG,-961,-0.0355
0.1365,dOG,-0.4,doG
ycthqtfrse,dOG,dyvwyooneb,cAT
CAt,-434,0.2345,azwitaahkd
528,Cat,-792,0.2375
kywlpjrnat,CaT,rlcclnacqs,0.2655
-0.2675,caT,CaT,xhauqrecdn
-965,-971,690,-0.2675
cAt,CAT,pbwylilaae,niyfxgvtyc
doG,doG,-0.4345,-0.2305
tguwiouusq,CaT,0.1575,mcebxzkqqv
-394,CAT,luzrfifymz,889
0.018,izybtxlldn,DoG,-416
0.4705,cAt,-65,dhkoisjxqb
467,dOg,0.3335,562
-0.11,CaT,366,0.408
ujgqkymcsp,dOG,-0.324,312
0.0555,cat,ufcfxxwgnl,quvudplnhp
ttlgvcswso,cat,eidwgfrkng,zrtskwvkfc
430,-0.132,cuarjqneef,-780
doG,DOg,cynmjbbxiz,mwsxestluk
-645,-0.497,827,-0.2015
lhxtffvrdm,CAT,hgvrvnninp,qvhzbuncfr
0.114,-0.0015,bnmwgajmze,-0.348
DOg,cAt,ttidvbppsa,lccfexietm
Cat,Cat,-0.466,CAt
0.0095,Cat,0.2345,0.044
0.18,dOg,caclzallvn,esmpnkkboz
-0.412,DOG,vnnthhwtzk,803
-917,-0.1125,510,vlnhbohyvi
0.1,dOg,-118,-84
0.0995,974,0.3485,Dog
dOG,CAt,-329,-0.382
zlrvmqnihk,CaT,-0.1255,xcbhzgnxfw
yhukncomye,DoG,-128,CaT
