xtyyrapurh,tcplaopscf,tkimlajohl,hxfwwdsxtz,ucvgxdqjug,kftxlfuior
772,krllacmcee,dOG,-934,0.0595,622
-0.016,CAt,wveelfsqnk,642,cAT,-0.257
451,dOG,guvhciintn,nsvddxydde,-0.04,DoG
-0.2345,caT,-548,beynfgcibj,qxmzclgzen,250
0.2875,-835,-102,0.114,ylplpygbhm,682
576,-0.4595,-355,jwegzibavb,536,-244
581,-0.4015,xhyophutbs,-50,cAt,dOg
0.2225,-697,-0.4005,-824,uuaycmuvpb,cgqasldkjf
208,zejzfbmzgf,-0.3945,kgxngrlbwo,doG,Dog
401,DoG,nobrddumxc,0.052,CAt,dOG
-279,-375,0.321,-394,cAT,vpljqnnduz
0.4965,0.132,-0.2445,-930,nlhjweyikx,921
-163,126,0.1765,avaiztcfzx,-301,zqsjweuguc
-0.3085,167,-685,35,-771,-0.125
393,cAT,doG,42,doG,-493
809,oyvpyjwpwn,CAT,151,-0.324,prtetmdeau
swwdiwheri,428,-633,xdgjqlqwke,532,510
ymjfhfqhnt,lmcdnsijdk,-0.189,-874,-357,iopwsqakcb
DoG,0.2305,expzpryywi,971,vudhyvxowt,-0.2265
CAT,bidxtbfezh,-967,-0.4335,-524,xexnteuvns
cAt,ptutkhjylj,-0.106,cAT,Cat,Dog
21,-147,jboqbnwcpi,cat,epdsuupbmg,dtrlodbiwf
dOg,0.1585,cAT,-0.0535,CAt,Dog
525,mgthnqfoqn,ewbhddcmdw,ygvvbnunyf,ajgxxnyfje,-0.219
0.1885,-912,1000,hfmdecpswu,-0.0195,-0.171
eupnkmewnh,0.1275,dbyqhuppyq,kyfliajupx,0.1445,-50
-333,781,DOG,0.177,pgbezqlzvk,-0.2615
977,-742,648,-776,wtnuwsphvb,oxplqskfxi
aulqqdemgi,163,0.134,Dog,726,ywpzokzciy
-0.4115,0.094,CAt,-944,445,pswktvttlb
vjzhlzaaka,hnzhdgunyg,0.0675,-975,725,Dog
fkylfsgtvt,431,29,pjkvxwcncx,-0.0435,txruabutmx
gfhvbeadio,ywguzzarke,0.029,0.4155,772,-0.4595
cszxclrvmc,-0.457,533,dOg,-982,160
oavjcpauww,0.3525,806,-848,dwofejwxtf,0.3685
-675,vyrglznrey,caT,cAT,cat,cat
dOg,CaT,0.3875,dOg,-969,gsddhvvtbb
-0.091,0.479,0.012,dog,0.0895,rvuepmbztk
760,253,-191,cAt,urepccnicn,sclvuzoltu
hthtilnpzh,-328,0.0735,caT,jdokmvnerh,caT
0.2525,dzsdnimhth,0.142,0.281,tahugqclsj,-0.1665
-583,cuanxmqntc,CAT,qhevgvcgpu,0.208,215
667,-0.0825,-0.224,-0.441,CaT,-734
-0.1845,95,-0.45,730,pjfjsqcfsa,0.1975
0.185,-629,217,169,-0.414,-0.386
0.1335,-0.0185,829,-0.1705,CAt,DOg
399,epokpxvmpl,dwtmxriupe,slabctudue,-0.338,avrempbgwa
pjcghnubls,-0.3345,rpcktnddjr,-0.4265,anzlzwpcjn,dOG
476,-235,tazvxmycfu,bdmzialttq,0.029,Dog
0.416,-0.454,-580,bplolairoi,583,249
DOg,DOg,pldbgvxkqj,DOG,0.3995,wtvrhsgiax
-0.218,278,-0.1825,-225,dog,CaT
-47,0.4405,yfskwtqmgo,Dog,CAt,0.296
rxrrpkxysh,fgqbvjuatk,608,0.033,dOG,23
xnafugrsrm,cat,qvwmyrngcu,0.496,pbpjxswouy,46
dog,uhraaqxjgh,-73,0.14,lbsecyjoud,236
337,669,-0.352,490,-480,33
caT,hdsrplomxv,-530,CAT,DOG,elwhknlayc
602,-642,jibzmshtmp,hkctoncvnp,-538,-288
-0.433,867,erpalxqqow,xwoxldpjte,kcrxzrqypy,-559
0.3175,ntotmuxxbm,kbrryiwlpa,Dog,CAt,cat
doG,cAT,-183,686,-0.216,422
caT,bpklswckdr,57,emmnlppdke,Dog,-0.259
dOG,-36,DoG,beczhawigf,CAT,-0.2885
tgjlgbcnxm,-772,0.145,0.1365,0.083,zhzldkzqcs
kcgmfjyipg,0.17,-473,0.254,twbbpkuwik,xhutoqbhek
391,460,-120,-0.048,ddkgpjvrjt,-694
0.3845,-736,161,0.3735,duryuvqnoh,-310
dOG,dOg,591,-193,0.431,hmarzjorzk
-104,DoG,931,pimourgdly,Dog,0.0815
-834,691,jrnyjugdfi,dog,pjbfaumokb,dog
0.202,-0.0955,uoqhxgasst,qbfgqhdfst,DOG,910
rbswfmhbpi,0.329,oxvbxbvyka,dog,pfnnqpiqqs,-0.061
crhrfmwpyz,0.1665,-58,caT,-0.119,doG
-0.3775,cat,0.0505,0.4905,zrfttfnvaq,dog
0.2285,-0.028,huhaorizik,CaT,DOg,-0.174
caT,xunyequrox,caT,cAt,-0.28,DoG
0.2105,172,167,623,CaT,clcpfanfia
331,-0.199,-0.165,0.0815,0.223,-990
kjyzhgzzeu,-658,dog,384,-0.377,-0.409
doG,0.4475,202,mrftzevnbs,caT,608
634,qptvmumstp,spcmbemifp,opgdjycrwj,doG,zeounxodiw
DOG,cAT,655,qruwecyves,733,CaT
21,npmrxbzzuj,qianpxlinl,0.1,ndvwpposhq,0.2365
-492,444,cat,548,bkrctmqfhg,DOg
0.337,ijwbtsqhhb,cat,-0.198,vzsvceguzn,734
0.4235,DOG,-0.114,-0.358,vfbzpfxedp,230
239,-587,dOG,DOg,-485,aztjsmtzpj
wzaawxdovz,bcuybyivrv,dOG,0.495,dswlgycabq,-489
ypdbfdgkpi,cAt,emkcsbgkwk,DoG,dcmexvfhvu,DOG
0.3185,-0.4015,388,khpzcjpvwc,-0.395,ffrpdwiimk
pyvwklzkeq,59,wiaukpevqw,Dog,fgspxlogoz,588
dOG,qneivzolrc,580,-84,lppbjbzegv,-0.366
cat,0.111,-0.191,-0.216,iwbzsqokzx,-0.1035
749,CAT,nmcdmxrnli,dcwvkpkcwc,bupmhlkvrs,0.3335
910,dog,-75,564,75,-521
-0.325,jtyvqvljec,-0.464,dog,naecppzdqt,yzbtuvijfh
