omdszouemx,njsmgdgevl,pzxecxfkjv,yvceyxqfsu,zljtroifcu,tyxzbbbfeo
caT,-0.454,caT,-0.1415,0.429,0.1525
zsqsxvcmup,CAt,rkocgehbgh,cAT,846,CaT
0.1155,268,CAT,0.2065,mwgyxmmuwp,-0.0495
czadggokqt,kzgwxeuhfm,DOG,dOg,cAt,cAt
ircpwyhtwl,dog,133,DOG,CAt,uqeaoyatzq
dog,qjebrrvxeg,utbcpfmbna,dotzfnqkbt,-338,-914
0.0405,geldsomjqt,0.448,0.0395,184,doG
209,zwhvqrpsbq,emyfimevim,tuvydktcvw,cAt,CaT
0.002,xopebrqswo,-12,-0.4195,zgosunlvbq,fqalcsncek
641,698,-0.279,-0.175,0.1745,dog
Dog,bjifyovdny,kxlskiyywy,igukxttyvn,-554,Cat
0.092,-940,vzurkxdyry,-0.124,-613,0.36
0.183,laqfcaekli,ctlfjnblau,caT,dOG,ttfztylplf
-154,xofvrlmzgu,-0.4385,-0.4985,-967,rtrazouooo
161,-0.43,384,213,wpchjpiqcy,zmtcujxguh
edgdboppzz,-0.2915,-0.132,usmurzrgwp,ijuwimpvoa,eklzydacwe
-653,cAT,197,567,-651,-985
qkioieleuv,apstyxsjta,0.338,tcynfiggku,822,szfntmfdhb
0.4655,0.204,tmsruchmqj,-927,vmcppwtebt,901
-543,0.3915,-0.4425,-883,-862,952
-0.0445,fbswiioece,0.4055,Dog,caT,0.352
ccsydaaobg,47,0.3805,qdhkkwusjy,uzyytuuiep,xglhltpuko
lbawnaargg,0.451,dOG,589,-555,0.4825
465,820,bxnanavfts,DOg,tjykbkgrxh,nztreasmuw
-638,sudmihyowq,dOg,68,237,dOG
-0.04,0.382,-179,DOg,zcpvpsmlhj,-961
hmnwwrqsuh,fvjzfaxroh,fjtftuuwpb,qyfhmkirbs,DoG,uwxppecpsk
419,itjxrkihdr,DoG,-55,0.4785,-779
ccgzshuics,-257,0.0815,0.0225,457,-279
-232,kxyaniszhy,0.386,xzmzjxjpqk,dOg,759
0.23,uvrudgeyll,947,DOg,-96,868
957,zkpkxslwak,pucbwhqzso,563,qzhvbsbqsy,0.3665
-0.228,CaT,-418,0.014,caT,-627
kpjuudwaje,bttesxtjtq,nubjizqgbt,heoszowufe,scrzppohwx,0.371
qoasfdxnsr,-0.444,dsjwhczafs,cAt,doG,DOG
Dog,DOg,383,-3,-0.443,aqhjobmlkv
-0.391,jijtuukvjy,CaT,525,462,doG
174,-0.47,0.305,549,697,0.076
obswvlfyts,0.4355,vaisfnyuzc,DoG,-0.305,3
-0.031,CaT,rcppgpkrhe,-210,CAt,248
95,moksklsqfv,0.2325,giieqrfecs,0.343,-645
lsxruccnjq,209,577,-0.1,ujkwakjasr,0.1295
pvyfgyjpes,-454,CAT,-365,-837,0.07
yeccawnuer,CAt,543,drxoqeqljc,doG,318
dog,qitvjculna,-0.43,CAt,oksqfnuuhh,554
187,-368,DOg,zjdswoszoo,6,yohwqupcfx
bgsyogxgwg,-654,0.2195,-962,mvvdclkvfg,-997
rtzjhbugwu,pnxftctkez,-706,ftjraaviej,ukilknrjmw,-61
DoG,0.476,owxavgbwxp,dog,175,0.181
doG,apwijnjuaz,yijlvpqpww,844,yzsxzswzvx,cAt
xsdpgjsavr,-879,-0.283,kscazxowms,0.3755,cat
DoG,0.2745,pguttbuqco,0.0015,690,doG
cAT,cheucfzsss,zwdraupzrc,mwljhrbrjz,132,-0.2245
0.4335,-0.2855,767,sxarrezpgr,CAt,0.1015
-507,320,-0.283,332,-673,aqdovwmvqv
