sjsutumvyf,owwbcsvtwv,efsrsxysgw,tjihhtkxie
-505,oelnmrfzqr,CAt,tpqprwnpuf
304,101,-0.435,fmazrghuda
-981,mgnhpdctmd,jzntipvasi,-762
-316,881,DOG,442
-802,0.402,rjkifhbhpg,0.0705
fwnymjlfdx,78,255,dudmebcggc
-0.0685,eqssvqzwcv,0.131,pveszysqta
fczmgeqljh,0.1115,619,usrqyiesla
50,CAt,axziufqdss,923
-220,780,fmdkunmxbo,bmitgskaey
cAt,-0.0795,0.206,-0.174
osyywuoeev,caT,483,250
915,224,uvdhmlkaco,540
ygpukvuysm,caT,0.4535,CAt
uamymtyhfy,cAT,0.425,caT
-0.1355,0.2855,CaT,-816
-747,Dog,0.2895,itnkxfcnak
424,orrilegbqg,-0.4365,pvbpvmxdus
-519,CAt,zfrhbfeoyo,mwrlpzvaxv
-0.228,grswzwigsq,cat,niaythhqtr
CAt,304,-0.3,0.05
bpcktsystn,fqiiosxpwv,0.429,DOg
