sgoeripwxz,xyfolnslcv,qwnlzbmfcn,hixpuecoxv
-650,855,0.0615,-0.1835
jjprnsdupl,CAt,223,tcfjjmpxbk
0.1175,0.076,nkcummmoaj,msdqdgxupl
irdyhiapko,jkcgdnqmbj,acnkdqpdlv,dOG
-345,ncafdvaxzh,461,vsvwqywfhd
CAt,685,Dog,nycphwdvvd
128,0.1565,-0.3185,CaT
-0.263,tvevrprupm,biecelaujw,-0.472
xobcfhquee,djmxabxmvz,njgayjnjpx,pwqajabpeb
looatpljzr,0.2795,-508,720
cat,dOg,648,CAt
-0.2105,-215,cat,dOg
DoG,DOg,-549,lmjqlokqee
dOg,fsnxphucmc,CAt,-0.3465
twzxuobify,bgexgybmnx,-324,0.182
-641,DOG,-59,-303
0.237,yocygwpgkv,flwprxybkd,0.4015
-748,-0.282,855,640
831,yyqfrezkks,DoG,-0.2615
goydkjcymm,889,163,doG
799,DoG,cat,emhywsqjbk
-811,-18,Dog,-0.481
-424,337,DoG,0.481
Cat,0.42,0.456,659
0.156,184,-756,103
-683,wcrpttihxh,xumvjircbq,qbufwmfuhc
jmijsqbfps,648,0.4805,-840
0.3915,CAt,-0.388,-960
-0.2135,215,dOg,0.095
270,784,-0.3145,mnmovkuvhg
0.332,nryamwjkof,-0.49,qnuocwvoax
0.425,-665,CAT,0.2375
492,-756,-941,-513
0.3315,-0.0745,pdvkmttdfm,-339
870,-218,mwtkfpzkcy,DOg
heofbrwnxi,-945,-935,0.4225
897,-0.0685,368,873
cdnmwrwjaj,DoG,cqpgomsspp,536
0.4035,0.021,esdvcchlei,CAt
daefjcqjrf,392,0.204,-0.382
0.276,-0.0745,atrkbzsoph,ceohvvscyn
0.2455,jqivgvnsal,-654,488
575,cAt,-0.291,vwgfqrjoal
gosjplwufz,dOG,vyocxgyjsq,0.364
