ggxwivunir,wpzjtbdbkj,nsfbcelfin,iirbxhdbwr,wokoiydwrg
ydmvksetif,-0.4295,0.365,0.3005,-0.3985
-323,-106,dog,0.242,cxxojkpwip
CaT,0.0415,722,dbntmpzyxg,ksryhvibhx
vkmioucfph,-0.2005,frywfnemvg,ofqxzukmun,-0.2385
307,434,DoG,697,-369
Dog,Cat,cAT,fdmxgjtwnb,-0.345
-254,-0.1425,0.3435,-0.3725,cAT
284,dOg,905,acjrbaqmsw,foukvawvrc
csimcxchin,0.36,-581,952,-309
-0.2925,sqnhxsabhm,-452,751,0.2425
DoG,202,cat,qwfzlpunyj,rykzneznag
106,988,546,-0.0885,-0.391
-0.429,sunxqyzaeb,vvwdpebcvs,-828,pbnfurzssk
vmqrvvgwfo,-0.0705,0.344,-693,mlaohwugzc
DoG,267,cAt,0.4805,-872
-538,-0.0675,cat,0.441,-0.128
0.4965,boyiymonoq,-610,CAT,551
vjdkfrhxry,-0.455,0.053,pvemxmbohv,0.264
svibmukaet,0.1755,dog,294,0.429
0.0815,upwvbzlsew,-352,-0.1085,848
newscueszf,DOG,DOg,dOG,doG
dOg,qbkagtkdgy,lsfzzphozq,fnjxdpojef,938
caT,dog,430,CAt,380
mbqphiolri,doG,-0.4195,0.4155,292
dingmanmxp,dog,dog,doG,zoqzsisooj
-0.2445,265,-396,Dog,-0.2245
icxypwvzrc,hmsugcycnt,nbssryjyih,skkpyopdvz,lvjbazizdq
DOG,dOg,-0.2855,-691,-825
0.087,-0.444,753,-0.229,yqaijgdddw
caT,dog,-899,dhdyrqnixs,0.4215
utwdexxvxn,30,-0.2825,-0.292,CAt
jrvcfakkaa,hhhkflwhvu,-991,Cat,pktbdepvlb
-786,dOG,0.072,182,cAt
0.164,olvxcqfshf,626,-0.436,748
CAt,cAT,-0.075,caT,-0.4145
vnipryeuor,-0.142,5,caT,0.267
893,cAt,-0.0655,-793,0.031
-391,-797,-0.284,prwgvvbmau,-578
0.017,0.1045,-945,dOG,178
-0.096,-909,-0.4935,732,lsnzgivaki
tvrtnwvevp,dog,-407,uqjkhpusyo,cAT
-0.2785,Cat,jgaputoquf,640,nvkbnteduf
-0.295,0.352,661,hnsrwskonc,-661
-0.428,-0.462,618,cat,yjnasqcuxk
963,-0.2785,0.129,lfyhuclost,670
-17,-690,-0.009,dOg,CaT
-125,-0.1205,0.2965,991,0.1755
wlgtytmfhk,-462,-0.302,cucztxvgmm,rvabguhwsl
396,-0.1235,0.1595,-0.444,0.222
brdegqngjg,0.3325,ajltmjeqkg,-722,doG
cAT,vgterrhlzs,doG,0.18,lcuksglkla
tcdtbekdxu,0.065,DOg,0.2445,DoG
cAT,doG,0.2645,-388,Dog
wkysemsyxw,186,0.184,114,810
qgtbblekcj,dxvzplepeg,advfpzxopo,wnxqilastk,0.085
doG,cAT,630,urnssidiuz,-0.4885
DOG,-83,atzutkfavi,DoG,-0.325
0.1735,ycvwkqmwvl,191,831,copuqtkpso
0.3975,0.094,cAt,pieqkpnqvv,0.3855
zhjzzqndri,impuwavymr,akxwyyptbh,694,-262
cat,jzlyvhnipc,-0.0015,htbauoflba,CAT
-646,iwfumxaeeo,153,-0.3455,-0.154
DOG,bbudnmcyhz,368,DOg,-438
879,0.059,-0.212,-0.2235,-75
169,izkjlakqjz,1,xspxdnmluv,cAt
305,-0.1035,CaT,0.4625,Cat
ytqtxqchuk,0.0945,-254,0.35,-631
424,-301,CAt,-510,532
-782,yfgnehlogz,705,bmsscynyxd,cat
0.2765,-188,0.366,-0.182,doG
