plrahxrlnm,jbwhajfyup,keppdngxrd,vhditickxt,wofvhaotqt,pahzviqwtz
-53,377,849,-637,mnflsmivgh,wzfbwcublo
DOg,-0.4335,fnagwydcxo,nuypkqxeja,pggjgqrqky,0.283
-618,yrxmxishit,-0.46,CAt,fyvabylwor,aygvplvxfs
773,ibmkognejj,-447,DOg,-0.4965,spxtgwppsn
0.488,hbtcyidukz,ozzcnqatcm,417,172,505
0.472,0.134,wjhmzyubwy,-363,0.314,0.4025
-846,0.3925,-0.333,981,-0.3235,dOg
108,ghhfucocmc,mblqmvkivx,0.3145,jqxgkstdwt,342
935,Dog,uchqopfqbi,0.2065,-331,Dog
lzrcpdfjrx,dOG,Dog,caT,226,cat
cAt,-0.15,hgwauvpelb,cat,aslelaqpap,meczkwxaoj
-411,Dog,-0.0555,Dog,815,-888
-0.17,575,hgsrycnxcy,-657,CAT,dOG
-614,-0.166,0.2255,593,askvcpqhip,0.1065
440,loifcoxgkx,wtffjfkbxl,wqpfktzvga,-642,-0.06
0.4995,txxlsirnmh,CAt,-0.2065,0.008,zkbvvlvepo
455,-0.385,sbfgvzdxhs,897,csprujulsc,-738
ybrnbellty,uoogttgetp,DOG,zomohyppht,CAT,cwrefsyqfw
DoG,dOg,CAt,0.421,dog,Cat
-0.412,-0.1655,-0.0985,-597,sedwpjxyek,460
0.252,oeejehoxol,cpuojvovnt,bbhbqqziqr,-0.0845,-923
-0.4015,-913,-771,324,CAT,0.491
-0.07,-191,73,dOg,-933,DOG
-904,0.4675,0.186,-262,qiligarknt,-0.073
dOg,-0.371,0.012,mujrgpdhlj,346,0.4025
-427,-0.3685,0.2035,CaT,-575,-0.464
949,uxjaercmyj,cAt,-0.433,-0.1185,0.026
-932,-0.0805,fwbpsrsbog,tloenuxgip,DOG,-0.368
0.2425,wzglwioydw,iyynswvmpj,dog,hyxjjzocer,hzteaxvbgh
lxoackhkfa,-383,hoxhdfmgyl,-575,lunkvhbcdi,979
jtejfkxovk,ieasbbjfrk,gnbbzxqmuj,-0.0975,Cat,cAT
dOg,0.0745,-0.137,389,0.385,cat
-465,cat,riktxonsbt,dhmjdcqpbw,0.379,kitsnjggmk
fmntswhkfj,caT,jzexbvrhlx,nowsfggevd,-0.4985,735
-735,dOg,ismbptgayk,-843,DOG,-0.4285
-103,pqnajmymha,skmonmzyzm,-0.2615,0.417,cat
doG,wrfpjdtjxn,CaT,doG,hnwwkcvzfv,874
sigoxgasyt,-967,ovukorjqpl,0.0495,eybgqufgac,tqxwfmthfd
0.302,fdvzppcjcp,267,357,-0.2015,-0.056
nwisoxrkfr,922,vepwtvqvnh,0.0855,544,dog
725,711,0.2735,ajlskdrinx,-0.1975,yoksryycig
zewtokglfo,-959,fmnquqybai,rwtpagagvu,unuemfakws,-0.23
-70,62,-494,Cat,leztkijkun,988
