yuudrxspaj,wdbjfituhe,peT,niehtjjbjz,ugirrtxtqp,aiowptkams
dlhpnclhag,-120,903,614,ygdttvqoep,doG
-297,abuvqzytek,cAT,-569,dhcljrluox,0.404
zzfydhpcpq,doquylspni,0.047,xgbgeuhfer,zladelawih,CAt
fdpvqsatpo,caT,-0.208,Dog,tnhrhojrem,CaT
46,-0.045,-0.2445,85,olsuvqvexi,340
spfeceovbj,577,DOG,jeglvrdkhe,0.197,doG
qhcuozemev,-201,doG,0.0325,-371,-184
yqasihzuyk,-433,CaT,690,-0.2715,atamsqzqqm
0.306,DOg,CaT,cAt,qsrudytnmz,vpokdpmtuo
-0.496,pfhtqitfxl,dOG,-0.262,0.014,0.4745
-0.292,0.4195,dOg,0.2105,dog,-204
-0.0385,dog,cAT,gejhpkmfqa,-0.0415,22
742,pynvramjbs,DoG,DoG,cvxprorjnx,251
ewiatlddbl,wkkrrtsrmd,CAt,-0.317,-0.3075,-0.009
-291,541,kdtyxktzgw,507,0.1135,-628
CaT,827,doG,0.4375,okfaiqsoce,DOg
-342,zownqcqoxd,DOG,jrbhpmjsws,-0.0425,Cat
qtujhtubuy,CAT,-0.1295,463,0.376,-0.474
-154,cat,-201,-587,DoG,0.3905
cAT,CaT,CAt,bdjxgdtyvp,DOg,0.0515
xnwafyggxb,-79,DOG,cAt,CAt,-0.016
567,rylbnlqihs,cat,80,fsbunvrngk,681
0.4695,0.01,doG,-130,dgadegteut,raxmypwrix
-26,-0.082,dOg,qriwvkqmux,382,-123
stgicvbtvj,0.073,cAt,awjpypcpoq,408,0.156
azxbsuhzxp,fwzhhtfugp,Cat,glzzhvlwwf,-0.4165,fvxirjltvx
0.3895,CAT,dog,-0.1805,-61,hkielbgimb
-0.2245,0.1725,dog,eycuwhmyia,0.3365,107
glqlvjwitf,0.321,-0.312,320,579,366
-0.4065,0.0955,-890,dog,miyboitiml,dOG
DOg,-0.431,uqiedafeud,-0.302,0.274,376
326,txvjemgent,CAt,DoG,0.185,431
dOg,0.454,-0.112,0.495,0.345,0.116
0.3715,CAT,dOg,-765,-422,0.1895
0.2315,-0.4875,cat,287,wzdzruxmok,-0.2525
-527,bakhfjgmpd,cAT,-0.46,82,-0.058
cckbaihico,hudvjgtmnc,caT,kivdilcbwz,DOg,DoG
-173,-0.0785,dOG,-0.1585,-0.213,-0.129
CAt,0.177,Cat,0.4895,-123,DOg
vituzhkhvf,0.1945,DOG,dyqeculoaw,znjhcuhrts,-28
0.4235,-0.016,lmyeepydki,0.3945,eczpgwvdov,DoG
CAT,stjpmxvdaz,cAT,-924,dog,0.2635
DOg,glivcrjdoc,-360,246,-0.399,lhzrhmrlbm
-188,708,CAT,DOg,itduzudunb,-0.3505
dOG,-680,-794,epffaskyab,sxcpwbqsuv,0.031
qjfncdqqhb,152,CaT,0.47,rscenpmryp,-0.402
799,gevjqobqbj,0.033,-0.0275,phpchxhuhn,-0.086
fphznqhzeq,0.14,DOG,-0.338,-301,-0.3805
sidltqkydb,DoG,caT,DOg,CaT,ycihsykmuk
Dog,wanfqhjjid,Cat,0.316,DoG,yrfgvcfvxd
233,778,doG,-277,-0.4935,348
0.1495,csdnqjeduh,wcmmwkcric,462,jprqkbqkcq,sstjtrtqpg
nrcvxpdwwf,lbmehsmrun,Dog,tdequnxpll,434,Dog
219,-0.464,cAT,-0.4605,cat,552
gioomgnefd,xwmxldarlx,oyhmfoyvqo,-0.316,0.335,gkkersxipx
-0.129,0.246,DOg,DOG,joufpnndam,DOg
138,CAt,-661,-0.1105,ostbeniudg,caT
ybhwhphgja,dOG,olptapzefk,-0.178,-0.219,tweoqhctkr
0.342,-124,DOg,647,ugdvqbdppt,-96
bpaphlxhrf,cAT,Dog,cnvdqnvqmu,0.1995,csvethobhq
0.405,CaT,CAt,-0.3655,0.096,rabrnbhuol
-928,-758,DoG,DOG,469,993
-0.3505,385,vqxtjumwvu,hpdklidhqo,0.0585,-439
-0.4155,esizmolnhs,-402,licvsksouy,812,dOg
0.155,jhqwlnmygg,CAT,0.2135,bxivfbafuq,0.2145
-157,-980,0.0035,74,lmfluchsvv,qepujkzupi
597,822,pbumgvchcy,-920,ptqaaafoat,-0.3765
0.34,rgwlfyrwnj,CaT,489,572,654
923,0.164,DOG,cAT,DOg,-0.386
vngkximhyc,dqvqosetfu,CaT,-899,0.2,dOG
txewxdfgoc,-271,-815,55,865,wcoblncmpr
doG,-641,doG,kwxriimzss,933,tdrqiazipg
msrajdvcut,-98,doG,Cat,0.3825,liathxzxcp
0.4785,-0.4795,doG,372,xdkcflwhqn,-0.354
ygzfueuvva,128,577,-602,0.17,-0.2
-883,dOG,dog,DOG,-319,ymmsffdwqx
0.1645,ucrxjdavmr,lhqjnmmgwk,DoG,369,0.0155
0.163,-30,cAT,0.1075,caT,wsjivrgjlx
-741,89,dOG,417,0.1315,407
-0.473,woiwclebrk,-0.3055,udfhcrisvd,nphaszxsjv,CAt
0.419,CAt,caT,0.499,0.338,kcpgeiazqa
kvjyprjeeu,DOg,cAT,zfreazxudl,0.219,99
0.0435,359,xploovzror,bnuwjbytrl,-0.228,ixlsmozder
-9,CAt,Cat,329,0.2485,pymdvieaji
Cat,-215,caT,yjxrydawjw,cAt,-692
453,DoG,-377,Cat,dOG,363
-0.0965,dog,-676,0.3965,ozaryxiiya,CAT
-186,jydgikccvo,CAt,0.4205,jnkdpritrs,-347
-0.398,fccdxorisj,doG,bwzmmwmmgi,-269,Dog
zlwcdbjosi,CAT,898,idxoyfbhgy,0.4525,hmbcbjzins
oyinavywnj,shnnwiukmh,CaT,fesirbcyta,wnqajyvkop,0.068
cat,-728,-485,rbzaypoqqr,DOg,clmufbzsbp
