efctbjxbre,jhlwclabxu,zpngxnfydn
vtdzenwjut,565,soxmtdnwhq
CAT,zuqoiqhihq,CAt
-0.2895,0.1345,caT
CaT,CAT,jttlcxgcno
-0.1215,dOg,sslgvuxqwq
-68,-0.176,wjmaknkztc
586,0.173,72
ysjirrdker,cAT,hemdeczrqt
CAT,691,lioxdxefyf
-874,labuvuultl,ibjixusdqe
dog,0.406,xsmnphkten
yimsrqgoue,-0.433,-0.1515
Dog,0.1855,leduszkysn
0.0465,229,-0.314
0.131,-0.396,DOG
0.3985,-0.298,881
-137,-818,48
DOg,-25,-529
qonmdfllqg,dOG,173
0.0225,-0.168,-874
24,emzkemnrpl,DoG
sqvgqyfati,-847,-947
0.3995,rvjuvodbrk,caT
mtqudgzhow,0.2395,334
dog,doG,qgmszdyetz
saqfpakevu,0.15,xvaylhqtkp
32,rfsuxgudxb,kcbutegbas
-354,0.2235,cjnmvlfrek
CaT,ipcifdlexc,-0.0365
CAT,-270,-0.2875
0.248,-0.2525,0.38
-0.1725,ktmfcrrthi,dog
0.1555,-460,-733
0.154,0.0085,tchabadyhk
755,CAT,-0.0325
-785,780,DoG
CAT,Dog,CAt
gphycverut,tajkioytgc,cAt
dOg,144,0.4055
-0.0925,-0.065,838
qtqanyfpnp,cAT,dog
-0.012,-285,caT
0.3015,157,186
-986,glrmtrtcah,pqoexlesie
