mqehsxssdf,pbtjqshvxo,wylkqefiex,uhpeklhawq,ninfppojrw,erxdeepbfh,PET
dOg,0.3655,cat,DoG,shgkjtbvtx,CAt,DOG
615,cat,vfwqnyliwe,caT,nlmhffqhfg,0.2535,doG
-778,-0.0675,0.149,0.011,-0.4975,CAt,cAT
0.139,955,801,-0.119,dOG,dOg,-179
0.3205,rmjosoecrj,Dog,0.477,caT,-0.245,CaT
DOG,-827,cAT,xgnlgfnjjx,-161,cAt,CAT
-0.013,kgahinqgky,cpqidcvocw,DoG,-556,0.473,197
0.3775,-138,rihrxmenpk,mwflhhdgvd,631,-154,526
-0.213,0.1735,-0.281,130,579,ejirablfws,-0.2015
-0.228,doG,lmocjyogov,-780,0.198,lpftjxneyk,Cat
-0.1195,0.1145,srhrrbyhzg,400,590,341,186
bipeyvdtll,0.455,-189,0.4635,geopzqxrbb,rngsefiaps,caT
-0.276,dog,twvayybcfh,0.2315,0.383,0.187,wiqflfmfow
-0.3345,662,-0.1975,fyllsshkqf,doG,xmnyvddwkj,dOG
-0.399,dnyurkpvir,71,286,392,-63,DOG
569,lqljnvkmbh,251,723,-856,103,DOg
snmqdxcxbj,-392,DOg,607,-0.372,DoG,DOg
htisipzkwt,-0.2245,cAt,-762,nsathhorwg,CAt,CAt
Dog,ogznqobzhx,392,-0.0205,uwwvhjbaql,iirlipayjw,367
-0.0605,-66,0.433,-0.174,0.014,49,CAT
cAT,duwtbtrhhk,0.4905,-949,-0.3515,0.16,0.447
-909,877,cat,0.2885,0.2795,-533,mohmkerpho
-0.0865,0.259,caT,rycebdfrwj,-28,rxkrateepi,-600
0.2175,dodojjoalt,-288,cat,-910,scryoqnapd,CAT
0.058,-0.17,-861,fceqalypma,-0.1775,-558,DOg
-0.226,mneulczwqo,-841,dog,-0.3465,-0.3955,-392
556,0.3265,wseivmthgt,mxmrvcniko,946,907,DOg
zwfqvurzbl,Cat,Cat,-0.4315,Dog,cAT,CAT
uwcgoaghdz,0.0325,igmrdfkrsq,aaofudhiwj,-0.2075,-0.094,cAT
387,fmcthcsxfa,-0.4235,0.328,627,pguqgemcxc,dOG
0.2685,CaT,dOG,ycenihtzdl,dog,-319,doG
542,0.0295,rjyffbrlyc,-0.2085,Dog,0.476,DoG
-213,-0.2375,doG,806,mxxmiwoyie,yzcetknrwv,DOG
oxsznbfgdt,-577,-845,CAT,-0.038,dog,dog
-818,iqlksxyswf,-0.396,0.478,635,cAt,cAt
-0.246,0.377,85,jmhhyopzzs,-41,-0.16,wiojgwqyav
648,klpwkqeptw,-0.439,wclmyvvzhg,dog,310,ethjbolqso
Dog,ahzhhnrbkd,953,edgdzqpzym,-0.428,kpybdegkrx,caT
Dog,fdunzibnif,-503,-0.4025,-0.2895,uacxvttwiq,dOg
ootfqqfzgp,doG,owbyansrrq,DOG,epytzexjkx,krhgswwsai,DOg
0.072,-72,0.3465,0.1095,yrmptbmomu,calasrgtki,0.1285
