swkcggtslj,xwgsvhppwh,ccydtdozaw
-0.0595,-0.495,0.4385
-324,DOG,ffkbspctuq
nntzvbkgkj,0.118,ructoqpgri
396,85,280
hxwxdgmwdf,-345,-0.099
0.1755,0.428,-0.088
drznxpobbg,yhslrmoscv,868
cAt,dfdhfcupon,jhhckvgztu
-343,323,scikfttgcn
-58,arqzvippxy,71
-0.3185,-907,-705
eartxluoru,cAt,cat
khlcorclhx,931,0.2915
784,ziwohtmaft,-0.048
-0.056,-0.1615,hakhzlrknl
-781,-924,-0.365
cAt,-601,Cat
-681,-0.037,cat
ucexiutrhz,-965,ibrpfihyyw
-0.1415,-0.4585,qaqqjsfmdn
-38,0.3675,0.272
953,-370,-740
0.2225,0.3925,dOG
nmmifjdbjs,-0.276,-0.0935
0.2245,tkkrnjyvvt,339
-0.391,32,-752
CaT,-0.249,-0.1845
-666,-802,CaT
0.2005,-0.2095,-0.004
-0.305,cat,DoG
0.2995,-537,333
-0.4575,dog,174
rmmzmcvcvu,smlivbdsgx,imsovifieg
aryoiejqvz,cat,kohwewsvuy
0.419,537,-0.0455
kwuhvupius,819,-0.2905
DoG,-0.227,CAt
0.0375,-0.176,xstaznblxk
vfrrzjqsyr,tugubsrqjd,0.0195
dOg,106,13
kxeobheglm,dOg,-504
46,0.284,-203
dsfhrbuopg,0.039,cAt
CAT,oihgqpgcyj,kllgnfhxnq
doG,nmchufrsrd,962
ulujznpyzx,dquvkhzzbh,-860
603,-31,-753
zuhfoyspsu,0.415,0.396
0.112,CAt,249
aapeakraeb,CAT,-165
-204,0.279,-277
uhuhixktrc,gdvdbgsdfq,-801
403,rwezzrotdq,-0.0215
cfyrkgewok,cuzgwzlchn,-0.4775
djiygllaqw,qngexkowbx,llokfguorw
lqmprfkqdh,272,-427
757,Cat,0.106
mangoiiaxf,0.4805,-438
162,-343,-380
edfkftvkkk,-0.112,cAt
Cat,dOg,-913
yodfnrqipf,426,-239
oxhmoesjss,-0.3685,-0.0555
673,0.4245,737
219,dOg,-0.39
-0.473,okfqirhoeg,bjmttrpyec
227,0.4155,10
-80,448,902
doG,ynmatbgocs,Dog
doG,-0.441,-854
-69,dog,ufhfcfsgbl
qbbdqwmuig,cAT,CaT
sbklkbhnzh,-0.232,127
votohugejs,-0.421,yffralxlui
0.4525,-0.3,cviytsxitd
-904,-348,DOG
CAT,mzesgwonvr,DOg
caT,0.4065,832
wcvsrjvqkc,puxcqdzjfn,cat
200,cAt,-558
Dog,0.4855,visslzaqar
60,-0.06,cyndiqrrqq
emtrfbhbjn,xfrvmccove,gszpgiuwsb
kfkmsvivoc,0.126,-0.2455
-911,-364,835
