pet,olfbkqdexx,qvviewjrza,cnnnhfwneg
jlhtxkgsws,312,dog,0.296
espmemoevm,cpkqkloetp,-43,0.2655
DOG,cat,sgvkoktpfr,-523
CaT,caT,koulqnhngn,pxiaqucqoi
CaT,obwjcqftsb,-570,xhnnslmkdn
DoG,eogqchjpkp,-0.143,-580
dOG,-903,85,doG
doG,CAt,xikqtweyeh,-0.2005
-0.226,aexqjzuqdr,-510,CaT
CaT,udxihqckmi,Cat,-0.4925
dOg,0.3255,doG,cAT
0.0135,dog,926,dog
CAt,0.2485,0.197,gnmfjlhfee
-481,ojxniafhuv,0.0125,birxsprqbf
DOG,kqgiznnvvz,460,hruotlennt
cAT,-682,eqkckaqwqf,-294
DOg,cAT,-118,Dog
DOG,-0.0265,147,0.489
cAt,DoG,882,dog
Dog,-519,oabhppspgg,agcwfoqmhk
arfvmgnxdp,-0.0835,-82,hjlbsypswn
DOg,0.3905,-462,-0.352
DOG,823,rrvfybaben,-838
pjkitnbtkb,0.18,bexkkiuknw,doG
cAt,-0.418,-174,-866
bygsaruykj,0.0965,znsxqhwgat,dOG
-0.132,ubvmrcflig,-106,-0.2315
cAT,bbvnbfxcwk,-0.3855,299
caT,wfjacetjxc,dOg,0.044
-0.4435,-771,-0.3695,0.3025
0.123,-0.28,-0.1185,0.3905
-0.0925,-0.437,-321,-764
334,0.326,-0.4945,-37
DoG,-0.442,-0.0715,-0.3675
Cat,0.4155,wqnaphvqlf,266
DOg,0.223,nxzzrtyekz,0.488
cAT,0.1745,562,-373
DOG,536,-0.2315,-0.122
