pgmdyhraxl,tephrrmjuw,vbadadzukk
dOG,0.3595,0.495
-0.2435,-0.1215,-975
pgpzcrmmkb,-472,-522
213,zmxsugbopy,-154
cAt,DOG,gfejajmhzw
ndeawjopix,-432,nutwdysbup
dOG,71,-188
fqinlqseis,-0.466,ehffzxsqio
doG,-0.009,auxhofiajx
exmwlvfgva,-900,bluimlddpn
0.396,961,576
cxdpyhdnbl,0.4945,-883
-682,muehkbujmw,0.4485
-0.023,ucwfuxljbb,-966
cAt,dOg,-222
pmqueegmax,-0.251,neaahkogut
DoG,-0.3495,wnvmvhjwwh
cat,0.455,-114
cbrnwzddmg,CAT,-0.2145
0.4765,-0.2555,0.0065
-0.0925,rrzhskezyu,cAT
DOG,984,0.2555
cswzaaalzq,0.4985,0.407
610,chhqadsrew,-856
dOg,980,doG
DoG,koqqajnthg,-494
-901,kdavjwirxg,kxnfqjfuyx
fptyxyzsex,-0.368,wkxiuyxxkw
0.157,cat,caT
zpmqhqbpyg,lieifnqixb,cAT
465,786,-0.0045
-780,caT,qkbyvkeeex
-927,0.033,-0.156
0.0175,-793,-897
-55,579,oqbcqlsswz
Cat,-844,853
CaT,rapvqojyox,fbvcgloaxf
851,cat,zpnugqvldk
0.1955,875,dog
pcdvufxqyi,0.255,0.29
Dog,CaT,300
emihfyzfox,-844,uqnrzjhqxw
-784,cAT,-672
-213,ezwoutyxjy,alctgntxlg
0.4875,-0.221,ahzpweljli
439,jpdkkwbcty,0.4865
ycguekenmg,497,-266
cAt,735,zrlxsjyhvv
26,jjnuahasrt,-0.18
-985,-0.2455,zkjparvguk
923,-512,inyllnvuss
0.067,-116,-0.222
nmigwmtibo,-0.1095,-0.311
0.259,0.2635,nsthyrimhn
jtuxovsbog,mhzlfxuovg,214
137,-417,0.126
-0.4505,0.4695,DOG
-0.197,dOG,51
dOg,-728,0.339
ofbjvykvan,ayeakskpnn,-0.4945
pvwulsdkra,cAt,vwnwuuutfw
cnewceeull,545,mwbcovttfn
-219,0.389,DoG
-230,957,zwbxardita
-0.289,dog,-0.362
-0.1895,206,25
cAT,-646,0.3325
197,labeiopbup,765
334,opnqzdjkua,mztvkxobsb
itjidqnvab,vibugpqpal,0.0595
-888,431,afchvxftki
530,ilwvyxwegs,-0.068
0.4985,wyhuajtbsz,uefwvqgqsj
-775,-0.101,0.3915
hmxnylavxr,-326,lcnzkxqxlb
-0.228,wuvgvlgxef,Dog
-0.2465,enmltaodip,nvukbdxsnc
pjwlszlzes,0.1675,304
-26,-0.3685,0.134
wkkrrpttea,728,-750
mkwpljoyqb,88,lghiixordp
nggujdhlyh,CAT,334
-0.1635,257,cAt
592,aerdsbvsfb,-0.17
rizkzeuqan,-337,-0.0115
572,0.116,-311
clpuwgsmhx,cat,Cat
0.113,0.032,-136
srgbymduya,DoG,uvvtekgtdl
kpaamczmro,dOG,0.2025
-0.4435,-0.2985,pomzorrbve
spqbwpnqqu,166,-0.1725
-0.2375,pjdmklcfxr,CAt
fmzrdtqffj,oldpwsurgz,-665
cAT,-388,Dog
-467,jdohkqfequ,0.1785
0.05,-0.1755,dxzokwfkqh
taoteynfjk,0.1245,0.3765
