zjyvrtxkuw,uwknchhggt,PEt,ifuuezakxo
wejzccmijp,-868,CaT,cat
mpdjubeaiy,mttbgdtfwo,CAT,dyijdzkraa
cAt,-0.4,dOG,cAT
0.033,-0.099,wcvwcgxqtj,-0.299
0.313,gqszwxmuax,DOg,-0.2875
DOG,-516,dOg,ofbglrwozo
0.486,cat,DoG,-865
-14,awpnbjfuhe,Cat,cAt
0.3735,0.4975,CaT,0.4515
-783,104,cat,-0.3165
966,95,DoG,lxjxppoukh
844,-0.0295,-0.474,-385
-0.284,cat,Cat,DOg
dOG,-502,caT,578
0.403,fbbinxdzxq,dOg,955
rfnohyanog,807,-0.2,0.34
-0.212,-0.125,964,937
-694,eyamkzjhff,dog,-822
0.141,wmfwlymkct,caT,mvdjiytuyk
-0.088,109,0.4115,CaT
geqeuazguh,qeymgcpfhd,cat,CAt
-710,-394,Cat,987
-0.4585,-0.024,fhlthzctyf,0.4265
450,CAT,Cat,ykmezoqxmw
-427,-0.2815,-127,517
fppvpfmybn,bwwsjsxwyy,CAt,514
caT,pqrrmwpxxq,-0.2845,342
880,-0.377,-0.489,177
cAT,-0.0265,-0.283,652
605,686,dOG,dOG
256,CaT,cAt,pxzwcqmcju
cat,clskcsalad,cAT,-0.1405
-590,0.1,CaT,rmjaadhshp
-894,codovflupb,-907,-0.2065
doG,975,caT,Cat
-0.266,Dog,caT,0.1695
othabbzwis,DOg,dOg,DOG
-958,-124,dOG,CAT
169,CaT,CAT,grecyifzie
577,cAT,Cat,-943
-0.3375,ennlqssyxh,0.0975,vpwciprimp
-0.306,-491,dog,597
-156,advklliewg,Dog,ajchbuzskp
-461,dOg,dOG,Cat
0.005,0.37,DOg,-0.1085
