jlmtidummi,kybeyzgflk,fajcqitbgj,jaocyypwxd
741,hlmmnwfkwo,pcweecbxtj,clyjnzqwgu
0.066,830,fgvaadaanl,CAT
-0.031,vxakusqbqf,kqiflezyma,azngmswuky
meoiznfyvp,DOg,dgifsudvts,dog
-338,fpjppntjkj,-513,0.1625
vzaptebgro,CAt,0.1235,-0.3515
bifnzwdkgd,-0.021,0.1795,-0.195
ygzkeoorin,nokuusyjrg,xtzoihfrdr,-463
rkavbzfkqv,DoG,kcutsppwet,-0.0215
917,lwqsjzpxdr,0.272,nmhwgphhhv
mdshmtnlnf,xvdczjnxiy,-0.3085,qnkjmtxive
-315,yvaecogpzu,hxcbtkctwm,-0.415
CAt,-861,0.0125,0.0685
-0.12,xxeuwhveaw,xwjomynrtc,0.4825
-34,-679,714,-0.2815
-0.1025,kuacfulbse,-326,986
-902,949,xkstbsxmyk,0.0845
uagxsxdlrc,dqfmubefap,-651,-0.276
ollztnggqy,wbllhsiufd,wyxlhslgue,CAT
157,ggoexhqecd,fbsrftnntl,kxxqvqyjwh
702,wxwbjsyjtc,136,0.4995
jvpgvlcreb,0.3715,0.369,-0.3835
755,hncrkggrnx,-0.208,DoG
-524,znuejhmcwp,boockpjsei,xaxzkxykck
ghrjswbdpd,0.148,-109,kwtxfzduht
qgdlvjgvwp,lgsleapktp,366,0.472
-0.0065,togwwmsrii,-878,avpgqvhlqi
-0.1315,dOg,dOg,DOG
DOg,-0.436,DOg,-17
dOG,0.1045,aoogfjasqi,235
0.1285,doG,0.214,hmuaffguku
881,-837,-189,414
bnhwaaahvl,-0.2425,cAT,0.356
-455,966,-0.1595,-710
0.116,-0.4305,94,doG
fpdpmovxoa,-160,-0.386,cAT
doG,Dog,-600,-0.199
DOg,ojbxujxtkg,-0.3005,dOg
dog,-521,0.3885,klrzwgtvmb
pjuiljdtrw,-0.442,dOG,-41
-182,dOG,-0.3705,63
qkxcxyjqti,rhrjekivdm,-0.0425,CAt
ihaljnvoow,dog,-0.4075,-0.377
0.4305,-641,oagsdmaagj,vpspirjubt
doG,dOg,-0.28,-0.095
cAT,dOG,0.1625,xxwsmwdfny
0.133,-0.118,caT,cAt
109,CAT,klglnduumj,557
-840,0.328,173,heicvtxgqm
CaT,DOg,Cat,dOG
CaT,kdwjrfrhek,cAt,rvcrwywzai
161,-0.1795,0.4535,hdltswpnkv
Cat,0.4665,DoG,-602
-0.382,-94,wmmavqgmzz,-714
-415,cat,0.049,-855
0.378,458,-0.3645,cat
vipgolewdl,iuseqeylav,ybfyzgddhd,-0.4165
CAt,-572,ntosrrtpkj,-0.3635
-0.2335,-583,0.1595,vbeapkqgxy
CAT,oonzrosybb,gmgxkhbivm,0.3575
