hhjgdjcweu,nakvxmtyca,cefibfrsww,zxgbvmyvep,xlyywuqoxn
-0.3085,cat,csbsthpmlz,0.265,0.497
-452,813,-0.2825,0.297,0.1035
-645,Dog,0.186,CAT,123
-390,66,-882,pktnjvbupu,-281
-0.2775,750,znoynpvedk,mrdhxpueam,530
cAt,Cat,tqsjyrjiag,jopnexamjw,-49
0.109,975,0.225,cAt,0.44
rcczwbkkse,-0.373,nfghpbbwmb,ddwrevqfht,273
-0.453,feuezrmdcp,-837,-331,yhbqzeuelz
cat,-317,48,-0.311,-952
-465,-0.1765,-0.1905,-450,jbxtvkkarr
-0.403,atgbwrzywv,bltthpkepk,-0.281,tbmfbqnjyd
Cat,rhwsoaxbuy,183,Dog,962
yvyujgfcjy,DOG,-0.032,0.0005,-0.392
-0.3325,-0.0765,-582,Cat,-0.2365
asmzsvqevh,qhhsvqhiqw,748,nrshklmhbb,18
cotcyvwfzn,-0.4935,-288,spxwcffvqm,0.414
CAT,0.087,cgdyapwffb,cAt,qfhxmjygut
0.274,dOG,daieoommcp,-516,ivhtmvpqzy
uuudegczys,0.35,-165,0.0065,jbzhwwbnog
mxsxcslcvx,kvnkrokcbr,CaT,653,0.4085
cat,0.2965,rglblxkofa,-306,mwnmznwgkj
DoG,fqedybyxpl,-0.1705,qlobioeuna,697
60,-0.0625,Dog,357,ayzyoruwlq
-744,462,791,ywzcfddqhv,doG
0.066,rstqubxeyw,612,0.2875,xjogdbrkbp
301,0.296,0.266,CAT,820
axhopvpabv,782,604,Dog,0.1295
cAT,906,361,doG,-0.318
