dsgowdkbom,wsshtiuehu,qlxqvbxagu,qbhuwjowfp,shdeqdtofu,mudhnnqstg,amdjxwccnt
-0.2915,0.135,-0.238,caT,678,-553,lqtrxunzia
-226,Dog,wpadnyfdyw,512,dog,0.463,0.0215
0.2615,CaT,206,1,CaT,lykvwwcxys,-167
-15,wmxubahhiq,iymdjnmeqf,bfxrekjhen,-0.204,-663,0.3695
-480,235,0.2255,-0.2645,0.088,cAT,83
0.319,-198,702,-0.366,yubwetzipc,wmjexpddbu,bxzugrsikz
nomfdcviie,caT,395,dkxjypuchy,-0.418,nhogwjnmrt,rqssirqsnk
-0.2405,doG,0.453,pmdkoimshq,-0.259,awgeaikptz,doG
0.3485,-0.38,-712,-283,lnmlmsorjd,673,caT
-477,pioismbdsp,qrrjnmupqb,acbnzlrqhy,cddkpyqgjl,-141,485
bikhwxpwgn,mujibkfwpd,-0.2375,0.3785,DoG,777,241
dOG,841,cyeepzgvlq,-0.4415,dhtddpwhfm,313,kziakapltl
0.251,-540,164,DOG,lgwjeusbma,80,-0.212
caT,275,dbbzmuxyfp,dOG,233,fiswaqvxki,-307
lxnupqiivd,761,-636,ickxoekykc,dog,-0.4025,ccwvxigkfi
hjrvaxacgm,-0.015,cAT,DOG,-0.2675,zhwsbmsaoi,dOG
0.3655,owxwbflxea,hhxlfrdlqw,jraeeiejnl,23,ubxioupmnm,cahfpzmomv
ndocbztygk,-0.447,491,-0.326,0.289,lncnminsbu,-0.232
-0.1985,-0.303,Dog,CAt,rljjlqifkl,uvjpfgzgfm,-631
492,-162,cat,cat,-875,-569,dOg
-0.1915,209,cadaatpoim,0.3895,-0.146,cat,933
-0.276,0.5,CaT,-0.3185,-607,-0.0885,-491
lzugyjfcam,oysukzkyhx,0.388,tidnuitwhc,dwmqnocrfn,0.054,cAt
DOg,-106,0.199,wyiekhrczr,0.3205,0.045,-0.0805
0.42,-0.14,0.174,CAT,jleicjixcf,rylpwvrirv,0.4445
zkoafeasrc,-0.143,431,-0.2755,-415,dOG,DOG
wyebluoqqv,-911,-210,cxnypggkug,objqthyffz,-0.1845,-443
hxmqwoxjqi,jdncmnynmt,DOg,-760,DoG,atyyupigeb,jhxyosofqy
abjvvcgkcj,avadjiuwdr,-0.37,-0.488,dog,gpjlxfahms,0.3235
-0.378,dOG,0.185,fbindqufck,771,0.112,colqqhwdai
-0.021,cAT,CaT,558,0.4375,107,986
-0.337,0.0485,841,0.3335,-0.233,mgrhddrwag,xjyrlvvwga
opdzdpfpol,564,63,-336,417,366,slhbophvoh
-0.045,-0.1165,CaT,jcuqmuphdm,doG,137,468
xlazvtbgag,DOG,890,0.4295,-0.459,wmpqxfqfkv,iikrpviuiy
42,0.3615,caT,854,dog,cAT,498
gwmtgkrrpi,DOG,cAt,373,0.156,269,0.269
294,0.2775,51,ayciksttak,0.316,-21,fjmzmqbhxs
-684,-0.2205,141,CaT,dOg,CAT,jxokwhmwls
379,DOG,kfwlrfdyur,cAT,-958,0.1415,972
665,iinfuwzifg,-547,-944,-0.1105,0.056,jkcrwkject
gcctlyitdc,ocnvcdvmbg,321,jjfvpdvtxe,997,fvtmnovqpi,fcqiwbrvzn
xjpaakbhor,-0.417,0.3225,556,DOg,-877,-0.499
738,DOG,-588,-879,qmeqsazpvm,-578,-470
0.014,30,ggazbngmfm,-168,dOg,0.2675,-252
5,-856,0.485,wyiiarjypp,mvnfpjsjyy,CaT,266
lzzydpzpkv,0.007,42,0.2655,qqcgmsixgt,-0.387,0.159
ksuphdxczw,hexghpqypq,-0.242,nmnaonfiyt,cAt,-616,CAt
-0.3135,ncbviezrvm,0.335,0.104,0.0355,-739,-0.4785
-549,0.1525,-0.029,0.4595,-0.129,0.4185,0.383
0.4985,sefblxmsaa,-424,ymjbelfmjs,doG,-0.2615,eqngggqbbu
144,482,otlhpzogdt,581,-0.0035,865,449
rygewixpgq,-320,-0.2155,CaT,Cat,0.0835,gutqvvhmhd
277,rlaymmttls,0.462,wjmaxuypdj,CAT,-228,caT
-0.054,559,980,xegvbndemq,-420,-796,CAt
-0.1505,0.3,jstrhnyatj,DOG,cAt,0.1415,0.4365
csgbiaynjs,-0.1995,0.178,rchdgehmwx,CAt,-179,0.2605
589,-457,171,jmjmxdsbqe,-308,-562,-65
