chqfhmunmp,PET,acvvzovtcj,bgzjkgzuwj,sbdlbopbhx,nrikbjyckc
mysaeuskqo,cAT,dog,ngtwgtoqyv,0.0145,hfgbujegzl
-521,0.4745,-0.0415,-935,-0.478,DoG
lgsvjlchri,cAT,shybahlczy,0.314,0.303,caT
cAT,DOg,0.316,-687,0.0135,bdequhiahi
677,dOG,dOg,0.138,Dog,aluyrcwmyl
0.0705,0.3345,-602,wfabittmrs,dsqshhvcma,658
Dog,-131,0.463,177,vyrdwonhzv,txujpdcgcj
28,doG,10,ctjbuerjds,-767,rxsfoixihc
cahqmfnhwl,DOG,bjyzopxkxz,0.2365,ijkefosbah,0.3465
972,0.358,-60,hfulwrpjmj,196,ajurabeldt
xdciynictj,CAt,woomxintlj,-0.4185,Cat,175
DOg,cat,oahjlphabx,uvjzknpawj,-119,0.208
rnyiyqciuc,0.1685,0.185,cAT,clyglibdjm,-0.4515
-0.015,doG,dOG,cAt,qszfjfcexi,ytrgqeiwft
-517,-186,gqgapujhzt,-370,0.216,ntwpsfylpy
lwxscmpeig,Cat,-0.2065,-0.2665,-0.058,0.419
DOG,dOG,0.066,42,DOG,-695
DOG,Dog,810,-0.0795,pqdexminjw,hcwpfywdbd
DOg,caT,aqjdsdfijn,mviyvmdqlx,-997,-0.0935
dog,CAt,DOg,0.3895,0.339,0.4655
gbzzvyrzav,dOG,904,592,0.2895,536
328,DOg,824,Dog,uvkwcjtqhy,0.188
-0.449,cat,Dog,317,750,-406
193,DOG,CaT,lwrvlenqti,-0.161,0.04
-0.3835,CaT,-0.1415,0.1335,cat,0.179
-496,dog,-398,sdunsjrsrw,957,roqmfzenef
0.2445,-0.3715,yostvurpqn,kfzurorbdf,-0.3575,308
-342,19,xyapdjbvkh,0.406,DoG,-539
dOg,Cat,163,fmzzscaidn,-780,ootvtjzqoo
63,DOg,oxkuvpcawc,bxgvsbklbi,dwmpabcqlo,0.072
-580,dOG,bwmnhotbzg,0.0795,Dog,-671
dzedlhaome,cat,-819,-0.286,-419,dOG
CaT,DOg,-0.436,0.0975,dOg,0.2315
330,cat,-888,DOG,DoG,-588
-182,cAT,dvkmlgxpyf,CAT,511,ruzqdjbzul
-854,dOg,-733,pgazzezutt,-0.074,hyrwlkqrxd
0.431,cAT,lqtrgyhhcq,0.1995,-0.428,qmxtnotzpi
pqngvdeequ,348,dOg,-439,239,1
-0.0795,Dog,-897,yvaegixjfk,0.026,-379
313,fkuksxfssp,-952,0.0125,alzyjjbupo,Cat
cAt,CAT,400,-763,DoG,rquwljgrxi
-173,dOG,cat,DoG,-0.1595,dog
