angxwkyuwb,egnrnzsxym,iexrqwmgeo
odeamrkuwb,-0.065,0.0155
ucgxhxicov,-947,747
-926,-0.464,-0.417
cAT,-0.4635,-588
cjcxgitwbq,DOG,447
-0.1575,CaT,-0.088
-0.007,249,-0.4085
0.4535,nigoudnvth,-0.3475
dOg,101,chavyqbael
dspcmwtpjt,0.3195,dOG
-0.073,0.099,caT
-0.1085,Cat,CAt
-0.071,-517,cat
qdgazwfkxl,0.415,tpcquvyfsx
-970,gwzmbfrfbm,92
-0.114,mprawzafhx,-396
uavflbyujh,ttyepldqxx,Cat
0.0475,avmcmbixxy,0.41
yzrsznvfmi,doG,-0.254
doG,briyxiozxv,-137
CaT,CAT,-733
-771,364,gcmfkbldpj
Dog,-867,txpoucxusj
-183,qmutmgpxvk,oiqxzapqqy
tdvtbbgapn,-0.303,kzhgccfjiv
rihomchskf,ncphdfktum,DoG
-0.391,946,0.171
cat,-959,zdqyeiqiui
0.134,0.2155,899
bccxxuhowt,0.2465,cAt
cat,0.215,mlpltoiaje
-540,0.4825,-0.0335
-0.1855,-162,-0.4115
hwzquhocqb,dOg,-0.105
vbvhgyhqqv,-0.084,-521
nmnchgiauo,dog,-759
vnxhpwzusq,0.459,bbrtecijgq
-269,375,-527
-352,dOG,-0.4325
0.187,aancbmvycg,335
0.3455,cat,dOg
0.213,0.1365,dOg
tjqcsgwwua,rqcvkmtvpm,-0.3915
abvgfrpqui,112,dOg
0.1465,ddinqttfay,0.2655
qzwzpgleup,CaT,0.018
-0.3125,wzccnlvncc,-535
pwqtdbyusq,0.4095,-273
-0.154,DOg,-0.2815
-82,0.301,0.087
ocpjnpnvtt,-443,-579
0.293,cat,hzfuqodrst
-0.3915,-424,0.064
-0.455,-448,dOg
-0.1565,-322,654
