Pet,yluhdsqqhy,pzusgwgccb,ybaoqivqab,gfsvrpsgrk
CaT,lprqvaokdp,972,428,-0.2355
DOG,-0.1375,qmytkzttrw,-758,629
DOG,tqesreolit,rpqesvmcxf,khutqwbgxa,dOg
0.32,zmfzshpblq,-317,-0.445,phnefdrivt
DOG,dOg,0.2645,eexiszbzkj,bffqhnmzdy
jhfoornwfo,weythzxojc,oreqiuhcke,0.2605,0.0775
-665,0.116,gooilykidm,dmpuuiyrww,yknfvczfpj
dOg,-129,oafgnjxgoy,cAt,-0.0155
CAt,461,azysqefezq,DoG,cAt
dOg,-0.2125,593,aamxnsvjvc,Cat
dOG,726,dOG,-651,-0.387
cat,135,cAT,-0.3495,423
doG,CaT,797,651,0.1005
Cat,-512,fwhfnfnmor,-0.202,xiveyrmbjv
-504,-0.36,cat,nnnnfqcdyq,569
CAt,-0.49,-0.021,962,-432
-136,mtvmsfbjco,-950,-0.146,isawfcrcum
DoG,200,625,slxmmypgya,CAt
CAT,-0.3445,Cat,948,0.006
-0.1145,0.1975,0.3035,-0.452,848
CaT,0.0315,-0.0315,xjfvrrznnd,tjubjfuhqd
Cat,kfwrbeqjoa,93,-0.485,790
409,-688,kdszeliqbe,CAT,-0.2235
cAt,dOG,659,0.2325,cat
Dog,-242,0.047,xtnzbyqpnw,fytovdbebn
Cat,doG,cat,452,mrbxlfnuzf
Cat,wqovtjtkns,0.3695,udxbtzdbhb,0.0525
DOG,CAT,Dog,tkcmgvmlpu,-0.3665
doG,-0.205,0.443,0.333,CAT
-225,396,433,gvqqhhjqhw,gftuwpwuqq
968,wpwffocsrj,0.0765,-0.375,467
cAT,-0.2365,-608,Dog,-0.4105
cat,659,0.4935,jomyladmnc,doG
lcwblfbzdn,765,-112,0.1225,0.474
doG,cAt,vuqlcvkncp,caT,-0.1485
iwqnibermh,cAT,0.486,cygrbmsbvo,504
cat,750,CAt,339,-572
dog,-756,cat,0.201,owpeomfpwp
DoG,jrgbqrxkgx,347,0.388,jfnibryzmk
DOG,-855,-0.3485,-493,0.144
CaT,hsatxikdxv,-388,-0.4545,0.4645
DOG,-0.267,-0.307,qtnkqinctf,746
CaT,-822,arsxpwujkn,tkqxmzvbvi,caT
dog,-0.067,kdswryelzu,0.482,-0.059
ohypjtooue,-0.4875,xpbrlnfnwk,zddlvcrzkv,-0.1905
-0.1395,-36,tsfdmfhuzl,-0.4395,opoonigsnx
cat,0.0685,-689,0.1865,-56
aupswfwbfy,544,DoG,0.362,0.29
CaT,jjqmqsvhnm,-0.339,842,ktigaoflkl
0.4765,-0.1215,-96,DOG,318
doG,-0.236,677,mnfnhihbnd,0.1425
raqdfzcstd,587,0.2815,66,Cat
DOg,zohyklcdgj,kokfubkcce,45,-0.2675
DoG,-708,dog,cbusivpwdt,-747
doG,-649,-874,898,-0.0475
DoG,-0.2965,dog,rwzoqzwbkg,435
doG,opwjgfjugd,zbeshjlnab,jnshaymtah,-728
cat,955,-0.3255,448,sxbzbfkuif
cAt,ixlwmwtltv,279,doG,0.061
dog,587,-266,Dog,-234
aenwunfqbe,709,-639,0.188,mwnlhvhirk
DOG,bfocbjtchy,-283,fjxrksmixm,-0.182
honbocxwcf,cAT,caT,DoG,qapdlwmyxh
411,128,-0.1975,-0.111,0.0025
CaT,-0.1195,xmkzyctpol,ybbepjogtq,954
DOG,dhbfusymsd,0.1235,cAt,-955
Cat,213,-531,rdjiizguqv,yjbclfpixf
DoG,kvmsqqjxdz,751,euzmgcfuvv,882
dOg,0.473,121,-0.1415,DOg
-353,80,-358,nwlqquujgf,-0.0945
678,ethzkiderx,0.05,619,vurladxadp
dOg,819,-912,rmtluxxikt,dOg
vpfzlrgrpl,Cat,0.4775,0.136,-348
CaT,452,308,ffuakidqwy,CAT
0.2275,0.2875,870,881,acoconrmji
Cat,yohvdmmimr,0.109,dOG,-332
doG,106,635,-147,126
CAT,-130,-0.269,708,0.0515
DOg,pngghwekow,bcyzhbiodc,0.453,-0.268
dynqcqonus,968,-225,-496,cat
378,lwmejdaxue,fwbcgbylvy,CAt,-0.2005
-679,0.2495,0.1925,-608,0.467
CAT,0.0935,DOG,-778,0.378
0.155,-142,kvtgpyylcc,0.169,-0.256
Cat,0.163,0.4125,DoG,933
dog,Cat,0.166,-568,menkbitugd
-0.414,-0.4895,0.1735,-135,Dog
dOG,wrhuzrtdtc,-15,-147,0.45
Dog,ijtophqxfb,-0.1945,-0.4565,Dog
Cat,636,-87,bcfapuequl,0.0475
dOG,Cat,0.095,-112,jgqybcmnhv
0.169,-430,941,ehpipduyag,exngaotkmh
DOG,0.399,-0.0005,-579,-422
0.425,50,401,-0.244,386
Dog,-756,rabskgbhci,0.2575,-0.227
caT,-0.119,carvhvgopb,tptozjzqfz,cAT
cat,-540,-678,-896,pxllhiazha
dog,cat,0.08,-0.217,wrjcegotxn
CaT,0.4515,622,aytktiebbr,kedtuluusu
