arqholqbnj,bnbbugzybx,jjjwhlsydf,mcprenvasa,wwvzmavegm
slhnvdrvjj,pymbgjsxio,147,-0.138,257
jmhochbstw,533,-787,Dog,-905
CAt,doG,-67,537,-0.4175
zhrcjlbkrh,ykjsczsjby,zwxlddnlzb,-0.2255,DOg
CaT,0.1455,ifkaihhuvd,ovzdnntpyz,hvnrycjyim
524,-307,bswindkngm,abmlyvbuvu,-355
0.364,0.052,-494,-0.084,-216
zbpkaqtxrf,602,-687,dOG,-0.365
CaT,DOG,-0.1615,268,0.3025
767,psipuylgnq,ybemqjnjcy,-0.121,-760
-0.278,bckajblwiv,426,kpalapxoob,223
fzjtytphkh,ocgqnuuhkc,-0.437,whchmaypux,DOG
-0.17,0.1675,visoyjbogo,ypkuzfukgg,0.1655
0.0985,-0.4725,183,729,zthqqlywbw
-747,iwtnagqhvj,ysdhhewikl,794,0.446
doG,-0.314,dOg,cat,fczzanmavt
-421,faybkjmeiv,805,0.01,670
doG,upfplpkkzn,-7,-0.207,feecfzesty
411,cwlahvheje,woudedsmgs,-0.3035,mekwipqfys
rjydwqlfib,0.049,693,Cat,-517
vkqglqncpl,-374,DoG,doG,-0.223
dqckjupwkt,ldcylqdjwr,-0.3175,wwqmllnacg,sszqccppii
ffzihrbzqu,ctvubrjdiw,-0.312,ofpbwqkfmw,0.282
460,DoG,0.0735,DOG,arghoyrxab
cpcxyehaxc,-137,cAT,0.2805,-0.14
45,Cat,wcjutquwys,0.393,795
-0.206,-756,rwowicjiax,0.4705,0.2715
117,Dog,161,aqoxlntahd,DoG
-714,bjmzlhheki,-0.4395,134,-0.4815
