awdcylswtw,zvpioiunzs,pEt,qitieqxbei
tujoyygmfv,960,CaT,cAt
dog,-807,-0.129,-58
261,mnlvdaflbe,Cat,-55
jvdjfeuphr,0.134,CAT,0.1445
jkycsmkhkv,0.3335,CAT,cAt
dwbivxzojp,caT,-0.1185,kmqfehllul
pigzvfqytm,vokwfcllgj,0.208,755
-0.044,-0.1395,-887,0.228
-0.41,dog,DoG,0.063
-540,knyrpcakoj,yczunznmxy,naubdvvzug
0.0555,0.134,dog,uixxhsvogl
-418,85,cAt,985
-0.283,ajhdrjzyvm,cAT,-0.0065
dog,-614,doG,agjkjeigxq
ifztiarlco,CAT,-244,-0.205
DOg,qrigyappso,-374,0.0695
llbehmnuhj,370,DOG,931
-591,xveutluoen,Cat,cAT
554,-0.369,-427,-108
-0.013,izispmbrem,-0.3035,-886
0.034,811,dOg,yclpgepwdh
hsutonevko,0.0295,DOG,171
rigwroipoc,-0.004,CAT,-982
nvmoriliyj,-956,doG,-0.1335
dog,edkgmczyvm,Cat,-937
-343,-0.253,DoG,dOG
-42,Dog,cAt,ioxjuylcpt
CaT,CaT,CAt,ysujkubize
-0.3505,-0.404,Dog,-0.332
-82,-803,DOG,582
ngqslrehbl,Dog,vzsvsojyrj,Dog
vjlnidxcig,-135,-0.3245,hjaiazljei
dOg,0.106,cAT,0.4705
Cat,jkkiojepei,CaT,288
-810,0.2915,dOG,noduorrhmh
-0.1095,0.233,CAt,wwsdlrhrbg
-0.4495,186,DOG,hgdnfibcfe
0.058,mljcutmtcd,uzyfmxzrea,-16
