PEt,qxpbofrubt,kdypzzhoxl,jhxanpsnhk,cijcxvawui,cvkkoiirrw,siijnktogy
tjopefwrnu,-0.041,aevtzusxfx,xffzkgznzs,urkjtfuqos,-30,-0.296
CAt,cAT,caT,frzpdwyeiq,caT,jqtlqqqwlz,-0.0755
dOg,-782,lgsiunzaor,0.097,dOG,irgknwuyes,cat
cat,0.1555,opmwybfcpg,760,Cat,0.4005,804
caT,-0.101,0.3835,-0.2195,wnbugmnvxq,swlnrmdykn,0.4485
DOG,-0.225,206,0.0935,0.039,CAt,-0.3195
CaT,DoG,vlbfjmvhuu,xbgjkmmygu,cat,blrafjdyng,-0.4995
Cat,-0.062,874,-0.312,DOg,0.093,125
CaT,753,doG,ivqtowipjt,351,zucnqjdhks,0.164
dOG,296,cAt,0.4425,0.0795,CAt,lpfwwmjpzw
cAt,754,103,bxpyzbmqpy,cAt,frfijhnfkb,rlbkadkkod
cat,374,-0.483,dOg,0.363,cAT,wmchrwqwip
24,-681,-998,0.094,cat,-0.2685,239
dOg,jjsycufcgx,0.249,74,pszghhscaf,cAt,qrvunpitly
362,-0.368,cAT,avlenkkhcu,0.305,794,dihcfbufot
cat,-475,0.285,dOg,iaxoxnlmcg,-441,-0.1715
DoG,0.0475,98,-936,-989,CAT,0.006
zmizwxawxn,417,caT,-0.198,873,27,-158
-499,-454,kuoetnvinx,0.069,cat,386,xduydqxohd
Cat,-0.3105,prqfrasncc,-213,-615,ynwnlhrigq,-0.016
Cat,709,-66,htzkkxevnm,clzcsipibh,ujwogvtnjs,-962
mjdvewyooy,-696,DOg,24,Cat,-978,-977
CAT,0.2745,-998,-0.137,0.334,nmawnbqgiu,-0.455
-920,zxsqnrovqa,yvdpalemua,0.339,mmbtjyvvge,-0.314,dmqxnybjqm
DoG,-120,Cat,0.199,seinbqcspm,-117,qiqebmnrie
wfiwamhmbo,saejezcjsv,236,-927,-0.356,196,0.3375
0.243,avczmfifqt,0.3165,hsflkgqcbs,-0.3395,vgmmothcnu,-0.267
dog,0.1995,dog,-0.185,sfaeffijia,wkhihxzpda,-0.216
dog,-0.182,-0.0605,247,bcafhfwsrt,nyioouufoi,dog
0.0485,DOg,-0.0135,fsihbhemkm,0.1335,595,cat
DOG,-414,kokprldwqu,172,kpapzfqozs,-309,-506
CAT,Cat,doG,0.4565,575,0.035,-0.025
doG,-0.306,tfvpymzuyr,972,0.19,-0.4275,-0.378
jskhycfmzc,963,gsyiljgjvc,-972,bxygveelcp,rnizywducc,qatgxxjthf
dOG,-725,-73,ldtzfotieb,awetkcwlda,DOg,555
-947,cAt,ayeffmedqb,-0.1085,0.368,dOg,cat
DOG,snjkonbgoy,52,-214,wldkzgskcz,367,-1000
dOG,0.1505,-0.2875,806,-0.3665,0.2685,vlacsxfoek
-40,-342,-0.023,Dog,-0.331,CAt,cAt
Dog,llzrthakij,qfyufhayxc,zzketdinqy,621,-0.222,ylmmfoyhme
dOG,jucdpqwtci,0.1125,0.4375,-759,-0.44,-0.169
DoG,CAt,-0.136,0.364,-925,0.212,0.1905
cAt,doG,495,hcsndztnse,-984,doG,-0.045
DOG,287,rxqazykxcq,-0.309,0.241,cat,-0.223
cAT,CaT,-0.33,dog,-538,-77,hvdziffghn
dog,0.4225,-0.047,-408,0.22,CAt,-485
doG,cAt,CAt,-0.2605,-545,dog,366
cAT,0.48,wrxvsdqsuk,qpnobejdvv,dog,-0.2525,-166
Dog,655,-201,0.076,205,caT,xhvznawpff
336,xpzsowspeh,dOg,0.1715,fegecjwlvx,-641,gkenzfxbvs
DoG,inikpkkodd,634,-939,pfjkvwuatv,-0.1785,DOG
-0.0125,dog,-472,-0.3405,kfseuarrbt,dOG,0.113
0.3665,ltxxsolfxg,dog,-455,CAt,0.279,gmlsbxgzjb
dOG,Dog,cAt,gstkkmpean,DoG,491,0.4515
dOG,krjnjeuavw,-988,-0.2145,lgrpddmzys,srmgxnisks,-0.41
Dog,-412,pcrbuwqwox,dOg,-91,611,acencemfba
CaT,jtsiuksfks,-444,644,-34,52,819
-809,dchawwjrjx,0.0335,0.103,-598,Cat,Cat
cAT,xqubvieamj,kdptcmzxuv,0.2965,0.25,136,-634
cAT,-0.05,CAt,618,-0.2685,rllyzhtegw,419
dOg,-0.2015,-196,daparjtnib,-768,-0.227,duuwmlwwgk
Dog,cAt,dOg,rjsxkemdkm,-0.4545,cat,0.254
-122,-371,0.0025,-853,-0.423,ifwbvnmbyq,dOG
edhxkhsvnw,xubgvukfbp,-859,59,xxuwoabofw,DOg,537
cat,-0.4785,-227,-469,306,0.2525,xugvptncsv
cAt,elgshkvqnm,tbrxgccinj,dOg,670,twoxkcaoqu,gahdsngxmk
caT,-803,945,bbnmugnxph,htnpgnxyto,DOg,nfsoxbssqw
caT,-0.12,lvwolvxqcq,-452,dOG,0.0935,746
doG,jymvxwmpvr,795,CaT,-0.378,cat,hdtoisoxru
doG,-532,-786,-0.1705,39,867,pogcbdubem
