xclguhrioy,ehvgwrybxd,cuapvqihad,hsyvogulrw
439,taibxjcpnl,-740,-148
0.0825,vmjsklovnw,983,caT
mgxmbtkdyr,ymfvwpcxed,doG,-988
fawclyqvti,rmjrgzaeub,-0.4575,786
-0.072,640,-0.0075,-0.2535
fklalwsurj,671,babipjdjwo,-95
-723,DOG,0.188,-0.193
565,-159,scyvodnzei,toedzykdwd
-124,gggzwyzsgx,wiizmvhmkl,332
0.048,oenilsezyt,510,-0.1595
-407,386,dOg,iokumzlnhm
CaT,65,-236,0.3295
-768,-0.051,dog,-0.349
ojxjeisohm,Dog,561,cat
24,tahofbjrfd,0.201,-369
suwvcleelu,0.104,dkcroslamu,-86
CAT,572,ohvpsquidh,534
doG,252,enxnndaptw,137
-115,-711,epiobdgxvi,421
zjaruivdsk,-0.298,caT,0.042
kkwpwrwfod,wbotgappvx,560,-0.1875
-560,fkdvfwdglz,0.158,dtsdlknaib
64,-0.325,myskuwvqtg,598
-225,-870,nvdkytcodg,DOg
0.472,12,tnggxrjida,-806
qqidwverks,0.4655,0.4725,biwqmgxnkz
742,iprfnqhvxj,0.222,-402
298,-679,zewayrxlik,-0.094
0.3335,0.0725,-459,tnolrawcwr
-148,-519,0.221,Dog
-0.4015,-0.3265,0.147,0.3765
dog,-0.216,-754,-882
-768,0.1365,-93,qnytzksmuo
-0.0155,djkzgsxzai,kdftfqzzmn,520
-0.1315,zbkutrhnav,0.14,lhiymtigjf
-0.2365,0.2985,-0.2495,CaT
dOg,ukhtmdrzio,doG,gftkfeaava
afiuwnsxth,DOg,CAt,-297
760,-951,-0.347,0.3595
-0.2255,cAt,-949,DoG
CAT,0.1795,0.0855,-353
czzeabqnuh,-0.2845,cat,-0.314
dog,zgvocewtjs,thqbxsjhkh,ecjqrlhtuj
-587,0.1275,dOg,-989
0.297,-0.4585,-0.1285,320
CaT,kpcnmyanbu,0.044,414
dog,lsgsdzebbs,-763,DoG
doG,0.372,kakzzxmywp,doG
652,0.315,DOg,CAT
mbxjcfxwyj,475,0.303,-708
xlxqmilkwb,-0.17,-519,tvyfyyycyd
-0.186,dbrrvycaci,-870,raybpnkizk
-0.38,CAt,-943,0.116
0.3055,0.283,wlwtbwbdlh,0.224
758,671,cAT,-0.168
yfyoxlnktv,Dog,dog,cgsmnulhlz
DoG,0.1095,dieizqbvop,lyfqrwlady
bucldwqoxg,0.0835,-0.367,fvcctqsflh
doG,doG,799,-956
-0.3005,Cat,exivdeuksf,vgprynghfn
-0.456,0.3945,-0.424,0.103
cat,0.435,-573,qdqygzqvie
DOg,784,dOG,-0.024
368,sdwlndovbq,hbbclyjbzf,749
dOg,368,0.1635,DOg
592,cat,-0.264,abkxlbiejq
dOG,892,lstpwdfimu,-0.2555
cAt,dOG,681,-341
DoG,0.2285,197,xtxyeuncnq
cat,oobfppzzpo,smqnmuwhhw,yjzkcowain
ixpugodzyh,DoG,0.3305,543
242,-87,-0.0225,755
0.3125,Cat,bswpyjqeqq,729
nivzlkozqz,lolwlkpxyq,eocuxvgudi,aqemufjwaw
boqxnqhgag,-0.338,CaT,lqalphvjne
ujghcojyun,sodifwlefg,-962,-52
fyxjqwlgsi,DOG,0.08,DOg
0.187,dog,fbtyannwah,0.3915
Dog,mqdotmgiqq,amlwdyskai,yedqfdppsw
-795,826,yopihxypud,0.397
doG,0.1105,0.051,gxdblxbpjd
DOg,-61,oftrcoogiz,478
548,177,0.1465,-462
