irxhkosqyj,ltchgwvgbo,dlttbfzyuh,qjvxhsusoo
-0.4695,odgopeldrr,nmongcgrns,DOG
fwnhnftsoz,kzuumdbdpj,ysfvhftduo,lgttpgakho
-571,-0.401,doG,htgnvdoodu
-0.358,-78,-221,140
-910,0.4345,muqzhzfrsz,jevacmllbi
-0.3205,-0.201,DoG,0.4175
991,0.0465,asnwkokpzi,-0.101
kbawgekxsk,CAT,-197,-0.3405
381,kwzqrgbhbz,227,uaruzacnxw
611,0.4465,pznklpvjhk,-196
-266,CAt,kjluifxumq,589
293,mjledjfich,folucrskuj,fxqpphclyq
gigilynsnf,DOg,993,-0.275
zimgnohniw,lhxvwqdfak,-0.423,Cat
CaT,kzweudfugo,-0.467,15
-0.235,wnwmmvccim,-0.1905,tbejixdsbo
0.077,edwjknznul,348,0.104
yqfavvobhn,puhtfxxltn,-459,-956
CAT,831,mvgwqqwnbz,475
-580,-284,vtrbhbdegw,aaauwiexir
808,-477,uhhgfcfppm,prjcdpmbna
-64,-0.1335,sxnvdmeotb,dOG
DoG,jmfkkxlptz,0.417,202
gnmpykfsak,DOG,762,-0.413
-113,0.18,0.37,aanzbwigqw
sjhkhajcht,fvzsnidshe,ufsbtlmetb,0.149
-0.1185,-110,dOg,-202
-678,742,-0.43,0.445
909,fepefasyvr,burhbhnmmt,orduozrcsk
-260,242,yjkriekamw,-173
doG,Cat,doG,-0.443
-50,cAT,DOG,489
-156,-0.457,18,-0.327
bvbybbwyod,77,yuqqlhrqhu,0.036
302,472,-0.3355,gwwzbtacjo
zxatdtstxa,tviutulhsz,-0.151,0.442
gfzjtcnrtv,DOG,xqsnzzyntv,-0.4335
-0.4985,0.368,craeskizsz,-0.3575
nwonqipquz,0.2195,259,cAt
-768,-0.3,DoG,cAt
dog,554,-158,rhmbyzyvcl
0.0355,0.023,0.2815,-463
dizhtibgds,doG,uqfobqjfzy,araeexfdao
-870,amxadepbmf,-605,zropmaxniu
xtqgjrxykd,0.428,dog,DoG
0.464,-0.482,caT,0.0565
0.4775,xdfrfeptcf,582,cajuqipjzq
0.481,pywgintcvb,89,-0.4195
-425,cAT,0.0065,yapaoocgef
-0.4935,wpogbewffs,-810,149
-0.2105,-874,-439,DoG
701,827,nbvapolpzp,afjryatgas
-242,0.032,gywwezmilb,197
avykhajapu,jeohyduqkr,367,DOg
0.2195,gbtiznxler,ufignjtcfb,55
0.152,0.4715,-380,0.377
-528,ntvucbfxcd,bflkjkzbxy,-243
putmiaeujo,yyfwtuzaqr,0.201,glsjpmyubn
-789,0.2055,jdgudcxcud,0.429
-973,-0.48,625,-0.354
-950,-707,-0.038,btlbzrhlac
-0.309,0.27,-0.251,-155
azjbtifhhp,dog,caT,-0.425
847,DoG,DOg,-268
0.0185,-0.0345,saplpnfsww,264
723,tenucoanfi,dOg,-837
778,cAT,-0.114,-904
-0.433,0.206,eixoyxqczn,-0.456
nwjhlatxio,qxyhkohkbm,Cat,efgobdpodx
chbfwodpin,-0.3975,0.221,dOG
0.357,320,-933,-0.3325
-306,-812,51,-0.351
0.186,bnhzyuyfto,DoG,808
ynrrvftdfx,0.3585,0.0825,doG
0.0455,-287,nvkokbuteu,elsxhkyxkd
dog,Cat,-0.3925,961
CAt,kctvvzytws,-0.191,-798
-0.122,gqboovqlsd,DoG,-0.47
CAt,CAt,0.2775,0.399
-555,doG,kccqbhivmx,Cat
tpnrdujreo,qzcohwtpel,-700,0.337
-709,595,-13,cat
-299,0.143,-0.1965,472
-0.073,Dog,-0.483,290
-0.319,0.4325,iqmyqhlixo,xweiyvjoeu
ealsgsvwvg,0.1105,CAt,seattkneja
696,-592,DoG,Cat
CAt,-75,ljilgqduev,0.4015
dbduutjiju,uozlwqvrxg,-5,-760
