ursvybkapp,pohsrisdnr,qlkosowfgp,pEt
125,161,hiuzghtrac,Dog
404,vvelgoehxf,-465,caT
dqyvwbrean,xocbvnfpme,CAt,dOG
DOG,-21,0.486,Dog
DOg,bnaihxonto,-488,pklidjhzyr
rlwjiethap,eslahmyahx,dOg,CAT
400,-0.185,-793,Cat
0.1175,0.175,lhihhkkbyr,DOg
cAT,0.048,792,jnjrhymcty
-902,630,gnoxnnwynr,DoG
lefificmyo,-682,0.4425,dog
tkgqkexuld,921,977,caT
-0.1705,sgrkahdzvb,uchshmmzrh,CaT
Cat,oxogzzqwjp,wezkbgscqk,caT
DOG,-0.187,0.017,CAt
-195,doG,-494,dOG
0.146,dOg,0.023,464
-0.3065,953,676,CAT
uxxoekoktm,-523,272,cat
DOg,rieclknfkl,70,cAT
-0.2865,0.366,cAT,DOg
-887,730,-0.0835,doG
-0.412,-0.392,cAt,cAT
fgbrhgbbjs,242,DoG,dOg
0.268,-971,-0.4235,-0.3965
-0.269,-0.2375,sgjtdvvyyx,-635
784,kadrphfpeh,672,cat
-396,bxwonhcysm,caT,Dog
-546,-0.1505,109,doG
-870,371,lroqrkpruw,mdzbuihiyp
qingubldmv,-0.18,-16,Cat
wmdzdvtkmk,-0.177,yvicpjtbzy,cat
-0.098,ytyhmlqfug,CAt,bawekzbwvk
-0.0555,580,dOG,CAT
hnavwwetsq,sctlokafzu,-986,CAt
-136,uzrushfihw,0.284,cAT
jeqpothcda,0.163,DOG,cAt
jmnzedjwrg,976,fnhudgdjwp,dOg
73,CAT,jeloclgvmc,-23
0.455,0.0455,vskecbmsyk,-63
-175,-882,740,dOG
38,vnvnyjdufd,DoG,dog
-216,619,-0.0805,caT
-126,-0.114,-0.175,Dog
DOg,ypdlqnmzvp,-0.3705,0.497
-328,0.183,452,cAT
-253,hjuekqmqxc,0.471,-0.3385
-0.1415,dog,0.0585,13
0.335,0.3025,466,CAt
-101,CAt,-551,CaT
-0.064,dOg,cAt,DOg
Dog,271,zgarjlvvxm,CAt
pmiogsketj,-0.3365,pgdtifppvl,cAT
CAT,xvndnezhek,cAT,DoG
-639,cAt,cAT,doG
592,tfbjnnyesg,0.4965,DOG
lingilpvnc,446,436,cAT
DOg,-0.0085,-665,doG
