fqbsflpxtc,mtytbxhkrk,nolcnwhtuw,mcrnhghhka,gdcwunxfqr,rvqsqumtxz
fgwjgmxvnh,nxorsvdsga,emrpibhoww,CaT,vuxurwwdeq,-0.22
-993,-0.1895,0.2495,ufzkyfwnka,432,CAT
hwyytmpgwp,242,0.244,pubeodqgkj,553,xkvvwnvwaa
157,-0.2185,-623,770,577,mgbhmykgfi
0.1565,imijtteonb,429,-116,DOG,bkwjrdkkpu
Cat,665,-0.4185,rsrfmteduc,-0.1495,-15
0.072,cAt,rodkdhnxei,535,-562,-922
nekaxscwxk,0.3125,-543,rrqecrhxex,-462,-885
965,rjkfclpkiv,zpmisafizv,yoqslehrdv,0.333,-260
goizxvtblx,dOG,0.4475,-0.048,moalfdkove,-554
vjhmmyrcua,oefshdpllm,0.001,0.0605,bactnqahga,-187
-823,emqoqeqfmv,-463,vmrexeoshe,0.3375,dOg
brbxysdgwo,cAt,0.1895,-660,0.2175,0.305
0.2275,0.433,-117,0.051,0.285,doG
-498,0.21,145,-322,kibqibbvit,ygdlkczdlt
yswvkidwzx,-0.067,doG,0.401,-0.4615,zfpwspqkmb
-0.3395,598,xhqkasbnsm,Dog,0.195,dOG
-594,cAt,cAt,DOg,-737,-0.3265
caT,CaT,mrbrkabfmx,0.415,0.1875,0.1785
cAt,0.126,0.032,0.116,Cat,CAT
-393,-21,-616,0.1095,cbhqftpcto,Dog
jebirbwdso,ndwfhirxyh,762,-433,0.3685,0.1845
avfdcgiafq,928,xjjkbikhib,mciscaitws,-253,-0.4885
-0.159,-0.356,-491,605,vhawxkaxbw,-0.4895
0.446,37,0.04,nxpdnpgiye,-440,nqxckljtue
-0.3965,fahxhmitky,-0.3645,-65,cAT,rjzwnlpduu
CaT,glvamyniwa,caT,CaT,pfvjxhinno,qytvtrrpve
DoG,rqgbiydoek,-298,0.4925,fnvhphulvt,0.0965
706,cwqkdmxxhn,0.459,woyalfznqu,iacjmxgcuq,-483
186,xfwfsudekp,-0.0355,-0.102,-699,81
-424,-0.1245,0.2245,dOg,cAt,atedihxxrx
643,DOG,-764,161,-0.3515,685
416,DoG,0.277,-0.1085,jyvqfyiltc,818
Cat,ticsskxarq,0.391,fymselcvoq,0.1415,DoG
yxtneakhfx,251,-767,948,304,CaT
iehprmluey,-0.4485,-0.0755,0.2365,CAt,-0.2565
wrfkwbjinl,855,859,-395,317,-859
-820,xcembzobfv,-0.2695,gbjmelspsd,ozdbvkvyae,-0.111
0.0165,158,DOg,mtrcdhpcdc,376,-0.469
0.2185,doG,whxtkwdvax,-0.029,537,DOG
-0.404,-0.1665,ekwzhdjnbe,msziciterh,waznwezvue,cAT
0.3625,qibtaxphmh,kulwyilsyn,dOG,-0.29,234
-962,znvmqqkevo,0.343,-0.2675,-843,czhpgeeqzj
-0.05,fegdiapbge,-0.397,-317,-55,0.4715
pszgolqmqw,Cat,601,0.122,0.307,cAt
paupjlxzhq,ydcxdkeoeb,bcfghfxfrs,-0.439,cAT,0.175
0.192,763,-122,258,-582,CAT
gzmhewnsga,ueqsbwwkow,118,-0.2255,-198,0.348
Cat,-185,ndsgtcxkeu,dOG,480,0.4685
391,-629,cmifyzixkf,asucushsnu,dog,984
ucfabimluz,0.2455,-813,-670,bzanqchvxu,0.4165
-343,61,0.4,DOg,ucsqghxpgj,csvbrazcou
odysjrgaxb,-0.4455,828,-0.463,lqorhqwtfs,0.1115
rhenplqqgn,-0.2835,254,saodazccfv,Cat,doG
tlzqhhoaoi,-0.109,doG,DOG,DoG,-368
-421,0.3695,esaiutwuhf,404,yyqcbreglr,0.347
-0.423,caT,-0.3935,DoG,sntbjtrurg,gxxuizbdnz
cAT,-320,jjerkrgvxv,CaT,0.4665,0.0905
Cat,qxtufkkwqj,oxhtwztqjd,amhnjgykrf,DoG,168
vuuluthnse,101,rxkwuvvmrs,dog,0.182,Cat
zhhbjhglyx,zofjmwqkye,-0.098,953,dOG,-0.4015
-0.174,CAt,CaT,-896,DOg,cAT
-0.294,rzfdsdugdi,cevraxbyup,-0.16,qfscvqghao,-0.4115
-580,CAt,mfhvzogjvq,Dog,wkckkcrnaj,dvnlisqfsl
zwbixmidbk,qpjfzbkymm,efdpczotyd,-0.2875,-919,353
lcawanrfdf,-0.28,CAt,-738,cAT,478
acwrlddezx,672,0.4585,gzjpcyiqug,-920,641
0.218,ojaxvhjmyd,tywufvlobf,825,ihapjlbtan,-0.293
0.272,0.3985,-537,-371,dOG,-0.3675
doG,cynvoausin,CAt,853,-363,-648
846,0.264,dOG,0.12,-368,cAt
lupxlhyzwu,mtchpceyiw,-0.0275,CAT,ymyyujntof,cat
