glhziqlwun,syzrdcekwv,wtsplbeicq,zplzkcgqub,yauzgzpbuk
jouabovskj,-0.2825,ybyarvchum,-0.172,0.399
jdzwmqcicc,0.2125,0.1785,cAt,DOg
-0.0365,dOg,262,-0.1315,yohgddsmaw
756,-0.0205,0.238,724,126
189,0.4725,mkblcjxpzj,0.172,-779
0.0955,DoG,0.189,izqnxtfhzr,rkiyiqlcgt
izcyrxfztr,373,-194,eerdcvokfm,-0.0505
caT,CAt,315,nakyzpdoqb,Dog
0.342,160,-608,ldjoefijjb,kkmjwnhszt
khsuejjaib,-940,161,DoG,698
ppqctppixo,wnmdxbmjak,qtilxtmwnx,doG,-122
dofilzqbhw,-441,0.105,362,sxhplmmzub
342,194,794,-0.0385,cat
psxvzeiosi,0.184,dtqmuvtxjf,hvzhpbatlh,gcxkjzgbqy
-0.004,bwxxyxuodd,-0.386,-0.1255,gsjoxtltae
dvvpjncugf,0.0675,mwsivxtuic,-0.362,97
840,cAT,solmbzetpe,dog,731
hpvspzllih,-352,Dog,794,-0.2615
qxjwgdgswc,dOG,-0.35,-26,dOG
ofwiikyoac,-0.336,109,647,-77
-0.4915,jgfzwnbiqx,DOg,-0.107,-0.3915
cAT,xyxwihzzxa,lwozujfhoz,doG,0.4315
npcrbujbyi,0.108,-0.3235,dvhxmtnxgv,291
hkypnvxedz,-790,0.459,CaT,0.0025
0.4145,merhnickoq,-244,cekrfjfxpd,-174
0.1585,xdggfsgigo,693,612,xcbkecdmju
-757,0.36,lpmdpuhume,-0.058,0.2145
-167,558,jlhnmbmnzn,312,dOg
uxdoycehwp,978,dOG,caT,0.0455
-0.2495,0.404,-0.491,-568,-0.1485
xupksxqmzx,Dog,-0.2685,-462,heokqrvhah
xqlmasxuia,dog,815,CaT,0.156
-97,cAt,oaphzorujv,zwbusekxmf,0.112
0.3055,-244,-0.4845,220,-23
paavolawkm,Cat,hivwkjsail,0.0815,ysqwgeidgg
0.39,-748,ctxxpezwbc,48,-0.109
cat,-0.0715,dog,oooqrfdake,-917
706,-0.3625,uzpsxruxof,-769,-0.4485
gybghqvtog,cat,tickpmwbqc,ripszzeyxy,0.2655
dOG,oasruqtmav,DOG,849,CaT
