gsvmmszmbu,qmaoomzqeh,bjqxsrupyc,ispycyugmx
cjewgmmxqm,-0.169,-0.3915,-0.0315
navqygyggc,-968,ipvwfqmxgh,-974
uuvdztanox,-456,wymlicyjag,yczidhihuf
ubolsefati,pnhosqesmr,-0.066,-166
-0.4255,-0.0415,caT,0.1815
stxrsotqnk,uvjevmdgkd,cAt,cat
DoG,vxhtdefzqf,-252,0.419
doG,DOg,176,-0.04
73,-665,-942,dog
0.3145,-0.215,cAT,fmvqloqsmg
-356,kmjyctgdve,Cat,nxppcrqmlp
dog,-0.047,dOG,yckobpffxz
-0.448,acuorbamho,-0.0335,cAt
-45,-6,gxnsayixlr,rsgzdglist
-334,dOG,-0.1095,cAt
10,-0.2315,sznusbdxju,dadsoyqpmh
jlxjxnltyu,vttzmrhxdp,Cat,yvrpftnizw
-0.051,-0.007,-0.347,0.362
vmrtcpacai,Cat,CAT,-0.3795
odciatxgdx,969,pfnxqfzqyd,-235
-878,cAt,-543,cAt
cbasrowjtp,lkcdoycdus,-260,ddbzqqjebr
-0.39,CAt,dOG,-331
-530,922,CAT,-173
cat,-174,-0.095,inayqagkey
0.1795,285,ehfhwbwrjg,mevsimiotj
652,-621,cat,xqhzwkmret
doG,DOG,-0.2735,oolsmnkkef
-989,cAt,-0.1965,0.157
fyryvqrjhd,-517,kihfjftchp,-0.4995
0.3715,0.375,cAT,-0.1465
0.121,mobhyxulkl,0.164,DOg
cAt,wwrmsymdfa,dOG,-0.076
Cat,-0.186,xwqftclfck,-0.272
dOg,kxunwkdfdt,0.377,DOG
DoG,xhxyrqsmym,270,435
0.377,414,Dog,719
DoG,0.3465,CaT,-505
DoG,kddyjfccdd,-0.3855,djvjnygzrr
cAT,771,CAt,0.1855
fcltuewmpw,724,Cat,-938
-0.081,cAT,-649,Cat
DOG,dOG,468,0.415
0.1005,CAt,-0.3505,cAT
djsuvawkma,cxcthumvyw,doG,nmbpopyigm
0.3965,514,aprrrwqxkt,612
631,-0.258,DOg,-0.045
0.1155,0.4675,nbacwnpjid,qsaaxyeqca
svdxprmlrb,ogmwnojkqu,-698,-476
0.374,ocqfixafkg,-0.2785,-0.297
-784,126,CAT,-383
991,-0.2605,0.401,CAT
mjtvltzdra,-908,0.218,-0.2575
uhzphvnjxl,255,wvipqpzfvh,0.332
-0.114,wthndakowi,0.3885,929
yijjpqthoa,wqlvqejctd,-0.1655,-166
0.3305,Cat,-343,dog
ncmavwhzlr,0.405,dgdscyjzeo,956
ysjicfuwoy,rlsfxoehcn,878,-392
