nvszxtqnwg,hspoqnwriv,jyuemzjnbs
0.1595,-514,0.412
CAT,-746,olktguclxi
306,-0.0425,nzvnypwwku
CAt,CAT,-730
0.3225,-0.1215,jriszzowxv
caT,dcofrdelol,0.4545
0.3855,-0.372,773
16,357,cAt
0.208,-608,341
-192,-278,frvoirsfsy
0.3835,pjnlxymawa,0.034
doG,560,-0.0065
610,CAT,0.3515
326,qsfgqqpuqb,ryfxzutqks
kykqfrzvla,CAT,ebrxrqdalq
394,-0.092,uwphazuizc
phhwzgsahs,rkjnhydjur,0.476
464,hohxjoskyn,dOG
-718,Dog,-0.304
824,-281,dukrhpjkhr
-93,0.458,-0.1975
-845,ovocxrxgyo,945
0.383,qexsiothar,-0.4365
-866,-0.007,DoG
852,DOg,Dog
-0.3735,jlbbflzumk,0.172
-33,-748,-0.3425
164,660,ukofimzwvw
avyghhnond,vnpjbmertg,0.298
dog,432,doG
434,-37,DOG
-0.3225,-0.2625,nripshkmwx
qulflzwfcj,-0.1905,dqcsnswnek
0.4965,0.1975,853
388,-510,DoG
rjwnqxsbzx,971,250
-690,-67,-590
786,0.4335,0.3295
ellaeexqls,0.359,pgtynynbuy
Cat,0,-989
-782,-0.413,-0.4185
-624,0.202,495
dOg,0.311,0.2405
mnsprqxtok,dOG,dOg
zursvwbbvb,dOG,982
caT,brvuzghqbi,629
451,483,teqhleetld
ssbfrfnmko,caT,hekrsjdkln
-0.3685,-0.3755,0.327
571,0.079,vfyanhvxjh
-301,CAt,CAT
xlmapbyzdp,808,Dog
0.399,-0.0075,282
dOg,439,-464
-638,kmxsjofywp,-0.4155
dog,-0.1645,ephrgscdcu
-0.392,sgwpkvqqme,pvhokveagl
0.0125,962,dOg
-299,-0.105,-0.2105
-19,-908,0.1595
-0.138,0.297,eyayismmmr
0.34,0.322,-192
