pEt,rzzdouexkh,tyrroibggi
cAt,910,enwrsgsepf
cAT,DoG,onorhipczq
caT,-535,-196
cat,kkipwbncka,-0.235
cAt,kbxxwtftae,-860
Cat,cjczrhgljk,Cat
tgseomorpa,0.157,enihrgazew
CAT,0.1365,189
CAt,-218,-0.4485
CaT,gbicvtoviv,135
CAT,-976,0.004
dOG,anqaighpdx,nhblazgsly
caT,102,emlfkucoaj
sknydjhnzx,dog,-76
CaT,uicozixhrg,doG
dOg,-615,-0.2305
690,pdwuyoksmc,647
774,dOG,cAT
-0.2105,dOG,bgptiitrlb
Dog,toqcijzlkg,xmwytchawk
cAt,cat,-0.363
-830,0.0615,540
dOG,-0.0505,Dog
CAT,gqazqbsbcj,-240
CAT,frcwvjylzg,-217
dOg,28,209
acylrckrvx,561,583
cat,kzyprlhely,-874
cat,-362,jlbsreipny
cAT,-432,DOG
cAt,0.119,DOG
cAT,0.449,zlbxdnifux
0.414,285,0.011
caT,kbuxjbeoyy,55
DOg,0.2425,-0.43
-319,zwqiyeucxx,iskeecpexz
doG,-916,nenbkqfkod
Dog,804,rxnslzhquv
cAt,sonloyejkb,0.456
dog,-0.47,0.313
caT,CaT,kobltqowgy
Cat,0.3355,440
459,425,0.1835
Cat,245,650
cAT,0.337,-141
CAt,cat,757
dog,ygfmyakive,vjszoogyus
dOG,-336,283
-0.108,yrzlbqmplu,-10
zeilnubevb,-0.044,mbjprnhump
uhnlzaghks,dOG,wevcgjyabw
DOg,mngnxnchoj,0.1625
cAT,-779,-0.0545
cat,ujauvfmuhp,-987
cAT,0.149,0.085
cAt,0.0735,696
dOG,649,vqntzlpbca
caT,dOG,-0.492
DOg,mshpsmijwn,-0.3775
umfouzkszu,cplfmtitsc,0.26
DOg,-301,-208
-0.3135,-0.4395,-0.451
tmvikmehnx,eyytcazwuz,ugnqutlkyw
Cat,hgrtmiwhss,cAt
cat,-43,CAt
ocpozfpnxk,-576,0.245
DOG,883,0.062
caT,vkxdpsdmiz,0.2785
xwvxcauqnq,0.26,DOG
dog,-0.21,0.249
kfmjoomfvt,DoG,dgrlcjhoik
822,-0.3005,kvixffijbs
