nzggzzpjwy,mjoxhorpvo,ozcvwfwpzt,pet
-0.092,-911,tcylmvpntl,Cat
391,Dog,byeuistzju,CaT
DOG,-543,0.2305,DOg
-0.288,csozinghqi,-0.0465,466
-0.4255,kmbvbntwts,-281,DOG
nyjzbehwdi,yptxxazwup,sznzpsyiwx,DoG
0.4285,-969,577,dOG
DoG,-0.4225,558,0.281
-976,wpjxdomwin,359,cat
-0.264,-863,0.0655,DoG
CaT,ozbuuqmsoi,-0.4115,CAT
hnbjudrllx,783,dOG,DOg
DOG,dOg,0.4185,CAT
855,nzpwubtnjb,331,DOG
0.295,-892,773,DoG
538,CAT,caT,CAt
mbnupuehgv,pcwnorttti,146,dog
-862,knyksgcipq,njhlvudppl,cAT
CAT,dog,877,DOg
CAT,ayvkgftvyn,pmfasybmnw,unmailngme
139,-554,ciynplhsur,cat
cAt,-0.3845,-642,cat
kmdrvwvedc,qxeqbrpkpw,caT,DOg
dqbryvapbk,plvgfkijzo,-0.009,DoG
0.303,-0.041,-0.2705,dOG
0.4525,768,432,cat
-226,-662,zfiaiszjxr,CaT
0.194,-0.0465,0.2425,CAT
