PeT,jkakevsxvg,imnfjjkcau,rrdaeykfpr
-217,DoG,xymswgxcyi,-84
dOG,-460,cAT,-0.0495
-0.2975,656,wzmdytslnz,swcgjoqjdp
dOg,cat,0.144,0.1395
dOG,937,0.483,Cat
CaT,vaeogievzh,416,-0.33
DOg,sxqkzsdzfq,-88,hwluuevvmy
dOG,114,0.112,mmoebomjpk
-0.1125,0.0935,gqniiwrakz,DoG
cAt,-0.11,Cat,dOG
cAT,0.3375,dOg,cAT
cAT,855,-0.009,emecubqhzb
gzvloaeexb,tmptvyvhbk,aflnhvacxo,0.366
cAT,svtbggcatq,hxhxqembne,0.2155
DoG,cat,-228,0.0255
dOG,0.1455,dog,CAT
dog,doG,-382,qchxomtnue
cAt,0.2285,-256,-816
0.12,ftvqljfmmy,qvkbqmrbvd,562
caT,fwnhzejtms,nyludeqvhl,doG
caT,0.2745,-0.4425,-345
kzxpghqyqq,vzvybznmny,dgcefuzvkh,0.2655
CAt,bjzblxccoa,-676,-0.0685
CAT,jmfttqnakq,-971,DOg
CAT,-788,-0.2,-684
dOg,-0.2375,-0.1945,-791
cAT,cAt,-0.036,0.143
cAT,-935,0.37,0.2535
CAt,550,cAt,0.471
DOG,-0.2705,0.4495,802
-847,CaT,0.185,wyozhkbzbr
dog,-0.419,dog,iicwbunjox
CaT,gzdrkayjul,Dog,928
caT,CAT,24,0.1505
DOg,ubnglbttqk,744,daugpolzwr
DOG,cyxqnhjdcs,-0.1435,CAt
DoG,szinkpejhg,crumwpqddv,-0.0385
oeuzcxselb,travegfvxw,0.2105,cAT
caT,0.3925,0.4885,dog
-181,0.2635,caT,lvalmgjgsh
caT,0.418,-0.481,dOg
dog,Cat,-291,zbspzeskrf
CAT,uqoxykjsjx,CaT,-683
cAt,-0.008,0.027,89
cat,zdrrjttblm,691,CAt
cAT,0.483,rscbisjnxb,0.2195
-0.2495,DoG,qdnoxnnitn,-476
987,cAT,tnzxxxnqih,saskvavbwo
CAt,89,131,fwoteakooz
dog,-475,-0.145,CAt
236,0.325,osjghciejh,DOg
vrbptjnuxz,0.4525,0.3985,-959
CaT,cbksiwcsqp,-793,800
caT,hjodbbyyyi,CaT,doG
DOg,bvrqyugmaa,1,mjwdldvomo
Cat,36,edtlgogxep,-0.206
-0.014,-0.1115,0.405,sswnoohjvn
doG,dog,363,0.162
dOG,828,-914,-0.3455
cAt,mxtblanhfp,wwkltkozws,644
Cat,cAT,dycnjhqyat,720
DOG,-0.181,bukuccfmqq,0.0625
DOG,0.0465,-0.4595,346
dog,CAT,-18,Cat
DoG,-0.4425,doG,-743
DoG,nnjodqqtnx,glrqqlrqjn,CAt
208,-0.3895,-0.204,umhlasotsa
dOg,-398,kvgazokqlu,-0.482
948,-510,CAt,oizmebaitp
cat,CAt,dog,-552
doG,caT,xacahlwtdr,-301
Cat,chgmmgnreu,tzrzateljk,379
0.17,39,aggxquglqg,-621
DOg,-532,0.286,uwtfaubcra
cat,Cat,Dog,bqqwuakhgb
dOg,ybapvchcai,200,neppbxdncm
cAt,DoG,Cat,0.1885
-0.347,lpahbzyjaz,szkscxvydw,keaslfdejp
0.05,78,tlgrsqbdyn,cat
cAT,jcuhsehbpi,CAt,-527
