zixadsnexw,ankpfpyugt,oprpifyafg,sxjkfwzzrf,jwauyneoys
0.375,0.4265,68,849,bfrxanrpze
0.4575,aryihyssgb,-438,89,-394
0.4435,eezpnisdci,loqzjxcctd,-564,0.0725
CaT,-0.2245,-0.413,-589,0.381
0.0855,yojiluixuq,cpwecbpayq,ocxfbcwsba,-923
jupwpzdirz,-18,dOG,DOG,DoG
xmlgjfusfu,-0.3395,bgxwgokczm,-494,ttipifgvrg
CAt,dktswhnbln,114,dOG,0.3725
32,CAt,967,419,822
-0.4185,jyoesqymfb,-908,0.0245,0.1715
-100,jdlizvazfl,thkmvjublm,-157,piiqgzpils
qcnhppsrdj,lfhuxyquzt,cAt,ikwfqcxmop,srwpfkxnwb
0.3825,-0.242,cgbpladdyv,-332,DOG
gccodtflaq,667,vpxpgquozr,CAt,-884
0.2425,-0.3825,0.4975,nwnxidgamj,zvfswmpumo
501,459,Cat,-0.0215,-612
238,djafkvomvc,dahizjsulz,jqjiokplut,-0.0145
-782,-0.3235,dOg,-916,0.3005
uewllmanyu,-811,-0.359,vnqyqdepqk,216
-0.219,CaT,dog,cat,0.4135
rglxspsxkz,0.1395,ofodzeadal,yncizzjtkg,390
