Pet,oupwhapsdw,gkmuaqctfz,nzzpfeqgye,uuocfyypry,ovdpyclicd,kuvltdrpml
CAt,-490,cAt,976,308,-376,-380
dOG,DOG,lksjudghlv,-0.025,0.184,0.4225,-136
dOG,-0.4835,162,Dog,cAt,0.209,xtyjzzkoxc
CaT,cAT,362,Dog,nqdvsmfkct,-0.0315,cxnecclqit
axdidzskre,-0.209,-458,0.392,0.278,90,-82
CaT,-128,81,hatspzwgdm,758,0.3245,jzvtregyvw
DoG,0.4105,ohthgdaamu,hwxlbxqicv,engyebtgxc,-0.4025,-0.135
DOG,szjhfbnkya,823,hxshtllmfs,0.255,ufhhgpghls,-390
Dog,xnkjtxxmfj,-741,809,-0.104,puaatlojwq,kxaolfgrza
doG,-459,-0.4995,0.0335,-825,-908,dzijhzktde
Cat,CAt,426,464,uawicasbsx,-0.254,doG
cAt,fgnjnftgpu,bwoyjqumgt,482,-88,29,dhuufsvwpd
