attdaxkywc,ibomcvaxti,ducersispz,gcwkypbegb
ucxczgoxgi,-0.2345,513,cAT
DOG,dofogtqeca,-427,poywsozuok
cAT,0.0275,-843,-0.165
CAT,-0.4295,bdwylwnyhb,524
pngbdebudr,-695,-0.205,nfyooqbnil
-0.148,-158,437,722
-421,cat,0.2155,mydmlhajgv
136,cAT,zjmydabmzr,0.0545
Cat,203,adsoqzttfo,0.413
-755,Dog,rnjezzqifk,qkzgtjztrp
cAt,mjrdyqjmlt,-0.025,DoG
DOg,-754,kkzhliblgp,unegayzzel
141,0.4885,lucuwrbezo,162
0.2115,caT,-0.251,pvmroklose
0.1905,0.4485,-442,qcumrlswsl
237,DOg,ekajleokej,846
69,rbwxdbapsj,qspboxpbqg,djvzslmarq
dOG,Cat,-404,sbwyrozxsq
ioqjlkafsl,0.138,0.3525,venvafpnmg
jpwnzlqebn,-362,-0.243,jvpgeuzcrc
3,hcysdbayyo,CAt,0.102
0.3365,-0.435,-835,iyinijkwon
436,wmywvzicnb,-951,50
0.0635,vpeavhfpvp,cAT,fnihknvjeu
doG,grjeblsced,396,pqybeevmwz
wasdvbapuj,669,pmvpoxdszj,0.241
-471,0.1615,-0.448,-0.3315
ymisdblvnb,vqnflaizez,738,ckbytasadd
-696,910,876,dOG
-0.1765,-782,hxkqpmoaem,0.116
-110,0.2055,-47,qrquzvbsvt
-765,-818,-435,rvtrucuygh
464,0.4325,-0.0865,-447
