ivpisclqbg,qltkqjreht,xcypgujnak,peT,pbjkklnmmn,qgjuajfxbq
dOG,315,qkafzwcidy,dOg,684,366
831,bjecoyyghm,DoG,DoG,53,-16
uwvdldswhn,CaT,geptnkfxyv,Dog,-163,dOG
ctzfpbsiwu,xtwrwawggd,dOG,cAT,-0.212,acmelsdgrq
-199,cAT,-0.3385,Cat,-0.2705,472
nvzueitoxu,gaegpxqaaj,-0.2285,cat,-98,0.0695
0.327,arzrpnhgso,285,hgxlzeajer,texyjqorfy,0.2695
ioagxrwooa,-0.1675,dOG,DOg,-0.4615,mtqwwxjmjx
doG,eduiqwsokw,rnwrxhdzxe,DOG,ulootpnbpk,585
dOG,jkurmbwzsx,jpaheryadg,cAt,-0.3795,CAt
vylmzorfrm,0.4395,0.3665,Cat,dOg,dzcjeubrfx
-0.194,aayaqlyofm,umxxvdqtlo,0.1375,CAT,1
-151,CAT,0.46,-0.2935,-0.3745,-643
ifggosdtxg,-396,pzloiugmvo,Cat,caxqvxkjbv,CAT
DoG,zniamxhtur,ivmflbhwyj,cAT,-0.475,-379
DoG,gibrtshfjv,0.2095,tpibvdxsft,-0.2015,923
855,-407,kigyhlmfvb,-0.1695,-562,DOg
-0.159,760,rjngcguzsu,DOG,0.056,366
dOg,ngibvlamjs,0.461,-909,vtjletvfvw,-211
0.089,-0.239,0.163,rlarbayefv,caT,-977
hzasrrahrz,0.1745,-0.2055,caT,hmpqfrkchu,izedygrepo
