mxfgouepru,pet,qpodistpwh,lrpphngyif
quogcgfenm,DoG,uuywvdkwoo,tuuivdaxwf
nnodmoxwnz,cAT,0.0085,0.491
bkxluhbbbl,Cat,-0.1205,-0.266
0.4065,dog,caT,CAT
0.1675,Cat,-0.4705,pmwgfeqpwm
446,CAt,0.4325,56
123,dOG,-0.4995,Cat
fciallgdbg,DOg,CAT,398
bxzbminafh,CaT,jklvdtzyrd,0.397
vdwqssfqpc,dOG,0.1615,csyqkdwanb
begequeshv,823,-125,999
qxxvhusesc,DoG,eizraehtzy,-688
cAt,Cat,orvhrykncg,-524
19,752,ssmlazfegy,yfnzqkkvdz
zlkmntxmzg,0.0395,0.3385,DOg
igzlktetpu,Dog,0.089,-0.2575
CAT,-644,622,ezkqyjkerj
-0.343,Dog,DOg,-935
cAt,DOG,-0.3595,dOg
0.287,cAT,662,192
cAT,CAt,0.3125,654
-0.4155,Cat,-0.05,-0.492
-804,Dog,edymmgloyd,475
-888,cat,-316,bcbaikqehu
0.2735,CAT,yscankbrgs,0.213
jvumerjfda,doG,-0.247,-0.171
-69,Dog,CAT,jqajigvolq
0.158,groyqlghgv,doG,CAT
kehqtoyxuy,CAt,-0.3805,-0.2325
0.3665,0.017,dOg,0.2815
0.2885,mnrktpjngh,-0.23,dOg
mmrgffsakq,DoG,22,evsdkecomz
-425,Cat,yozdogfkpc,dOg
0.377,doG,-495,pxkknvqpjc
-0.4665,caT,opihttmryx,DOg
0.069,Dog,kdkldomhkr,gibwgzgwsh
DoG,doG,mmllzzwgum,oetnfzapqk
0.454,doG,hxvosvczvg,-0.2945
0.331,CAt,vqztrarjjt,ydnmvmnmzv
-0.3005,doG,dfqlflchyi,88
zacjpifejd,CAT,-0.0325,605
CAt,0.0225,0.4415,733
Dog,DoG,rhalhwteat,nzpllhglhn
0.1875,Cat,-120,Cat
-0.236,doG,0.4455,xfejpvgunm
705,cAT,585,-0.3445
-0.308,caT,-0.3805,DoG
pdnxdzbhak,cAt,-0.1685,0.3675
prwoiylcec,Cat,Cat,-99
-0.4215,364,-0.1185,67
-869,-0.1695,dxbvnykamh,0.233
DOG,CaT,cAT,-438
Cat,Dog,-836,ufietexaic
CAt,vpuywzzvtd,ucqdgcddob,zglhtcnbdm
zothduajpl,cAt,-0.1225,uybecyiali
-0.2465,Dog,zblibbuqjp,-604
pqdxywqrlg,pzfjhhnmbs,-159,-141
0.0805,cclyuuhtco,pltcfyqvrr,ajzqnyntha
0.454,-784,cat,CaT
973,CAt,ofwlwrgfbe,DoG
0.3235,CaT,54,asdksndulf
-0.2955,dOG,anclkvxacx,823
nbwlgjxygm,CAT,caT,-82
0.0625,CaT,cat,0.146
cAt,-0.096,-0.3015,cAT
0.249,cat,-928,kygwypkvzw
dog,Dog,-299,711
231,cAt,DOG,Cat
-269,Dog,-0.446,-574
426,DOG,-0.068,259
-0.495,243,450,CaT
falebeyymn,doG,cAt,fepqttnjui
-0.406,DOG,0.4085,672
lgensanssc,doG,0.1365,bgoltdjhlh
-0.041,dOG,0.115,auuxwqjsqb
0.1635,cAt,631,cmfqibvyub
-244,cAT,-55,538
-0.046,cAT,0.008,-0.3425
0.363,DoG,rpasntaiii,fxmuechjcs
hyumbuuiwe,cAT,788,0.47
-0.283,162,caT,-884
-448,cAT,cat,lhlbpfktoh
DoG,Cat,ezryyxkgiy,caT
cat,-0.441,-486,534
phrbxhrhei,poplauqlct,cwaaymwjxa,ppmmevdtwg
-0.162,qgwibqsyso,107,CAt
0.1865,caT,670,hmffckpbev
0.186,Dog,bqbmyeisis,895
-0.243,dog,926,Dog
CAt,DoG,0.096,-153
-837,CaT,0.187,-0.3955
-0.0645,cat,yowgckgvwa,Cat
