zuvkommreg,PET,uaclcoyuwi,jyvvggluot,sgiuaczmes,vbudccpyok,jdlkchxdoc
0.038,dOG,CAT,opmcjmntuw,dOg,0.497,198
0.2905,caT,kmjxkedxnx,mvuzixxopy,DOG,187,qzdbndnbkk
313,caT,-433,fhryzfkxaa,-229,imtdczbpqg,-0.4225
CaT,0.452,dOG,934,0.1255,-0.4615,-0.4405
-0.084,735,168,0.066,doG,doG,0.478
cAt,cat,98,757,ikcvonwenm,-0.38,0.166
-114,cAt,0.027,401,0.214,0.2475,-316
-0.451,ffozywywxm,cAT,-158,0.2975,0.104,0.1815
878,doG,0.351,-0.071,DoG,pxsqdihofj,cAt
0.4385,946,dalzhifilh,utklbeyrrf,ztbxgdovrp,-0.2125,-681
ygdgsadtll,DoG,-319,875,lfswadhwaz,qnfjhxidkc,bcnyqzohlh
caT,doG,-497,-0.1515,Cat,CAT,0.1545
sbehqphlwl,CAT,ejwfyzsmjv,CAT,0.1385,sirmgpolsw,CaT
pjpyviycoz,CaT,-731,-0.2315,175,-0.285,-0.041
CaT,0.0175,-0.1385,ctxdhxrdrf,CAt,-717,0.3685
0.068,DOg,blkwytsudf,0.208,-0.371,lmnnsydmpx,-690
0.02,cAt,-0.4725,bksriojfsg,-0.493,295,cAT
cAT,CAt,0.0465,fnguboyhzu,971,kvcjjhbqba,dOg
vpxgpvvoxn,DoG,cAt,-303,dog,-688,0.1245
viwpmlaqbw,cat,DOG,0.072,-0.285,nkjlexnwyf,-611
-0.3735,DOg,0.3645,DoG,-0.3685,ividrkixnr,0.2325
-130,-422,DOg,kbzhaeikle,DOg,rkcghiyuze,-0.304
0.0175,-818,0.0415,-0.006,tuauucuvjt,-0.1535,-0.1825
630,dOg,fkfbyiiutx,-0.0395,0.1445,ksfdrlsnjh,0.037
dOG,0.365,zabtzhmccq,phewtymzfz,-0.2885,ccgaxlhbgz,-0.176
-0.2715,DOG,-597,CaT,qxxhsckjfj,dOg,-625
DoG,cAt,cAt,-960,271,0.3165,0.4935
413,CAt,esfztadeld,yhzomasigt,958,-0.37,-712
esprvmzxef,DoG,Dog,DOg,sywakiwlwl,0.053,965
CAT,tmacleqvjd,bovofmujib,-0.3215,dOG,-0.0885,-374
-0.2455,0.476,DOg,0.154,ythsepqinq,-0.3175,hdbfkfdceq
-0.4015,CAT,Cat,235,-0.3835,cat,caT
doG,ypjdetyffp,-0.4115,-0.351,-130,hyqfundlix,-0.129
wgdumqetxm,dpdnweszec,0.342,iquymgkduo,0.2295,658,-570
dog,dOG,-126,caT,0.395,-309,-717
Cat,wazrbbptfl,-865,-0.1275,rcgsgwiwri,-0.046,geqzvtxnsa
0.4825,dog,pipaxyxdka,ykibilkhrg,nxqjexdyyi,-226,-950
-0.108,dOG,0.218,-0.2275,-0.367,ipgubpzpwh,-0.323
kupemyjnsr,dOg,DOg,398,CAt,mwzsexywjx,smjdmsjnat
0.446,dOg,-676,0.3955,dOg,cAT,-337
-0.244,CAt,856,ltlemshwrz,-0.4755,sfalzwgcvs,bnjgvlmjgh
DOG,DOg,-0.013,8,-0.0735,wwqzvpormo,mntmuhzqth
fnxuhyroje,CaT,DoG,-0.1045,-0.1705,iynmopbrto,-478
doG,Cat,-727,tjnogwkztr,kqhkjulsve,-368,603
776,CAt,DOG,667,591,CAT,uourpyugru
dOG,dog,-252,-378,gjmpycuogk,nmvzzkcdbv,-947
-0.4595,DOG,590,-449,mstvzxaozr,-0.1065,-0.046
