gekiylwdvh,gisrcjcgyt,ndgnfvimde,biurhguudg,rdilcvahqa,pEt,gihacnthtm
492,292,385,dtbvqnyvld,0.204,DOG,CAT
cmgjncelci,-260,0.3475,mumkkgcybz,0.0375,Cat,0.043
83,Cat,msvyaanjcr,-0.3135,-779,CAT,gkpkloqgvg
DOg,0.128,CAt,363,-349,CAT,DoG
dOG,817,fdctiqcnup,-331,-0.2515,dog,-0.371
-624,0.052,0.278,601,DOg,cat,gaiparrkqh
0.2455,0.06,ippernkjlc,-493,owlrvwewim,Cat,-655
38,CAt,hegiwwdlpo,0.365,ifawdulgbi,rkekcpdtdj,-0.3655
0.379,-480,123,zljeghtfuj,dnqaegvabh,680,-0.4745
bamiqlzxyl,67,ozucidccxk,-377,-595,CAt,altfzzrsbt
-0.1025,-0.4635,-0.1095,DOG,CAt,-413,cAt
243,0.053,dOg,caT,-0.144,DOg,cAt
0.0825,cAt,-785,974,nkpdgqgbut,cAT,-0.324
0.4645,0.015,kovxxqcgre,caT,744,814,dog
203,0.467,cAt,fhiaotedkf,0.424,ftfuqsqnqx,qiuxtlgdxy
goxikutefv,DOG,0.0765,gcueseiykm,hnsupsyyxn,doG,caT
DOg,-456,-611,rdbrkzqtnq,kldvavyjkm,Cat,dixszmepdq
abtsxbyzae,-436,utlmcxpeod,460,Cat,154,tlwmxdktru
tprcsmezcr,ekaagoitgv,329,-410,wtsgtteamk,cAT,-0.1975
tmburmhjec,0.476,pwwrutqntw,-0.263,0.1575,dOg,dog
cAt,-0.2225,0.055,-697,-0.31,dOG,rdvyzujywe
-889,pvegrfupuj,-0.2125,436,298,CAt,-0.314
0.1885,0.2865,CAt,DOG,doG,cat,0.373
0.4735,0.05,-751,DOG,-0.0065,cAt,-0.319
