fnjwieixmz,utywqvefpk,cihqodyikc,ysuulmukif,oahonqiqvm
0.4835,-0.4525,nbmuvggzaq,0.1185,0.0845
cAT,0.3295,636,-0.3965,500
-0.487,DOg,650,0.391,-711
-0.404,DoG,-0.0985,0.2055,753
-0.043,emdokuoeuh,980,lkvjcwrslz,pkinzxfwxx
idnajcsawu,cAt,orxbnrlzgp,dog,isediwxaru
0.219,0.016,CAT,-0.065,0.2795
0.158,0.325,CAT,175,ekkggufzox
jmoycpnevu,0.3715,974,yasffmcpep,llitalonmh
0.3145,zwfgsimpmz,57,qqykdiwzhq,gfrzidfpgd
368,-0.089,jfspcjgwlx,-0.432,-554
gtrguwxmxv,-0.2515,doG,-370,ytjiocuura
bqbpgwvqfy,DOG,-842,bijbypliel,196
dOg,zudakgaibt,0.0945,0.0765,-988
CaT,20,0.3665,457,0.112
dOg,-0.403,742,0.396,0.112
rhtpkdguio,-703,ihywtkdrpa,ziojabmbog,hvuyiiulpo
327,DOg,-0.385,tmfjzvypqe,CaT
-0.2555,794,dog,-0.179,dOG
kerqmsobka,vvfhmtqyif,ekyculmzui,874,Cat
0.394,DOG,DOg,-986,-0.3585
