evkwpbrwgu,pET,uowpkgfqmf,qzhiyeezna,ylqwzjqewo
844,cAT,mvbeqvhdpo,-0.0375,0.3235
doG,2,-722,0.324,doG
-0.4635,0.358,-0.007,-758,egmuagputi
qlmyqyrvyk,kmoydkftbg,lhnazssmxj,-11,spvjdhffyq
0.0495,cswfxzjplv,qxejmseeck,DoG,0.3465
-290,CAT,154,475,158
0.275,cAt,-405,xlbqnntpac,-0.2545
0.3835,-0.3165,-0.082,CaT,-128
CAt,DoG,-0.4425,gknjutjvhd,CAt
965,dOG,100,891,-0.3425
Cat,lmrmfgbbwv,doG,prnorcbivi,0.0525
wnlsednohj,Dog,CAT,gsgwjnrkvm,hadkabsqjy
plnmllcpsn,doG,0.401,0.1135,784
28,caT,-297,DOG,751
CAt,CAT,uixwonvflr,0.0625,-330
-0.182,caT,0.3755,791,742
-902,DOg,0.3705,0.2105,-0.2895
quorjladvp,DoG,-0.132,0.418,pbiwfsjcwo
caT,DoG,-7,yaohrskmxg,gbqhdxfjrg
-0.359,CaT,132,0.268,depijblabv
anbkocwxfx,DoG,0.0435,CaT,-52
-0.1865,CaT,0.471,vwgjenqbrl,doG
cAT,Dog,0.3815,cat,ggwdtlacyz
-949,cAT,aylushjiqu,sylmelkwyy,csvtwsjrcf
jndhciityf,caT,-0.328,-642,-0.2225
cat,-139,0.146,0.152,0.255
cAt,cAt,0.2525,itfrlkoddw,DoG
opzzkehvld,ovmrztpgux,xnzzhievgm,-0.1075,dOg
0.2555,603,0.422,ddorswlzkp,-279
-846,Cat,-942,865,144
605,DOG,0.0125,qacjogdxfy,0.395
CAT,hoijoapnwc,564,DOg,-0.469
-0.1735,cat,663,idujqlzchp,0.419
xxjkybknbj,jvxajerygv,919,gyarjmewnx,-0.375
-0.015,cat,mzkjqnkaqw,-804,-616
CAT,DoG,714,cAT,unrnotmlrc
zxapwtwtht,caT,DoG,yykfqoeepn,lzbxppvfio
dOg,caT,zeidfoskmj,195,0.165
399,ncaqlkewyl,DOg,0.488,266
-775,hdrmdeuafm,ylqyzqbhre,yhlkmpcqiv,769
ifmqogjzwb,cat,-0.115,-874,732
0.3575,dog,nqsxrfwrcg,tvaxsygyld,-926
veebasvdss,dog,doG,DOG,264
fvydqonwfa,-0.302,398,-548,izdeaohnnp
gfngfkkyij,jccrbckuxl,pxinvwnzje,frmaxxxzuw,0.318
gnacmehevx,CAT,-0.1525,oqtsnkbtwi,552
-0.3775,dOg,0.4435,ncekinndbr,511
-731,0.3465,-0.1765,-0.1975,sircviexcc
Dog,-863,-576,-428,-415
0.4795,DoG,vpgrxbnuge,otdfzwrbpx,chctqfkxlf
wvrtdnshwu,caT,doG,DOg,dog
CaT,CaT,cAt,46,0.0515
76,dog,-0.238,0.1065,jqqxihehct
968,Cat,160,112,-0.188
-674,dOG,0.006,jqkqvyppew,ubgkfqtzqi
Cat,0.425,szgsncuxtr,-583,cAT
731,0.0095,-981,wgnxnqvhuk,ewvcupstlu
0.4715,-174,864,DOg,cwxmudubvl
dutdifmqip,CaT,pcgjazvpwz,DOG,-850
uzrtykaxoc,dOg,-328,-132,-0.409
-0.06,-856,dOG,618,tqlruyqykw
buaulakepi,Cat,412,0.038,xgoiggklmb
-0.469,-411,dtzaicpycw,294,-0.3465
-892,DoG,CAT,-511,-764
cat,dog,Dog,-56,pfqgygffny
sbgwqcassd,DoG,sodqksgncf,0.0385,okdfqsjeui
iekitolxkl,cAT,fzhyeyocva,0.2625,-313
