ghjjrdsyse,pET,dxtlepbujr,ztrxbaywee,ccuoxzcxex
DOg,-171,-319,-540,-0.0585
htznrivmbz,CAt,-997,0.4555,-0.0415
rdtsbjisdw,dog,fzpxvietlg,duunnihlkh,cirdwsehdu
557,CaT,pnldbqertm,DOg,DOG
DOG,cAt,0.4195,492,CAt
202,-0.374,zsacukcvgh,-0.301,0.1055
mmifjvaobi,CAT,-966,405,-325
wvdatbierw,-314,nzainumncw,wsrikcdewy,131
-0.331,DoG,0.1725,gaglgdwhwz,576
iizxgwjmha,DOg,898,0.464,iskqnvyqhz
0.014,DOG,-57,-413,Cat
-0.4915,-929,0.0855,doG,cat
911,-0.166,0.2855,DOg,CAt
0.0855,DOg,152,-0.025,dmudhexmaf
CAt,dOG,550,boizpvpdkq,-459
rhglydjwyc,DOg,CAt,dtfeqzhqtn,-902
sblppzzbuu,cAt,0.1995,357,619
-114,doG,-929,CAt,jcamooyppq
tyjosiafwl,Cat,lycjpaukdb,752,pksoquncob
Dog,zhgslwbvwa,568,0.2195,0.0025
0.039,caT,-0.402,Cat,DOg
xaitzigefz,494,249,uzwgfpltbo,0.2125
0.065,cAt,gkizylwhde,cAt,0.1895
hupruqrseq,CaT,hvmzpenuaf,-0.2365,ewoznpiedw
491,-0.379,CAT,cAt,0.0665
-747,caT,DoG,-230,0.362
DOg,CAT,dOG,-0.231,-548
DOg,tecxqgnnbo,rkspzglyhz,lbppqgclhs,wdzyumqsqz
cAT,cAT,hltqcfxmta,443,675
410,0.398,-248,0.1,-0.1675
cAT,doG,-528,-0.2725,wxmhtuvfsh
636,-918,-0.4355,-0.0715,-976
71,woqlrshyrs,esjrayelmi,-510,CaT
-435,ovmyvnezmy,doG,cAT,430
CaT,DoG,lhyyirczvt,jrcvxabqvv,31
300,cat,lkrnwrloml,0.4745,dOg
uluhkxqmgi,dOG,-0.1235,657,-820
-501,Dog,0.267,-0.471,ylctcmlxri
-0.0345,150,0.4825,bdgbocywmv,730
vdljjfyucn,dOG,-357,0.2405,qaeoujnhlo
-238,CaT,-0.0605,363,xrptdpwxpy
0.0895,DoG,0.036,sksibdggou,twtndzvoej
cAT,dog,656,-784,vjyrzilwdw
-0.104,CAt,-719,subpeycuwh,-702
isgjxjoxob,caT,849,doG,DOg
-309,cAT,-375,-153,-0.139
0.1185,-646,kvpukjnlww,-0.064,436
emktpuwaiu,DOG,-566,-0.098,ucozoprget
cAt,cwiqmxwbuw,-0.0325,xrlsmlxafl,dOg
pgvbmpsmra,0.436,lmgknxpnft,0.0265,caT
0.3585,DOG,cat,-37,-0.3005
-0.261,CaT,duxcepfxdf,0.426,jzpvcjccsh
-0.24,dOg,xgoafmdghg,xxarhvmsaf,doG
timuflxggu,dOG,qjsftplehf,-175,-0.085
-0.148,Dog,912,-0.043,Cat
-207,cAT,-0.3715,-0.4605,dpbokwrjtf
Cat,dOg,0.316,icrmcugnvv,cAt
-538,cat,olpnsvgbgy,-0.3815,cxslqeytyi
neshdsuljn,DOG,-183,0.363,dOg
877,dOG,cAt,0.2705,bwbegwsogp
355,dog,CAt,-0.4775,-729
cAT,CAT,-0.329,-131,ipxjvkbhoi
-0.028,CAT,-940,0.297,-965
zddatydxqt,CAt,-374,-38,-275
-0.4895,DoG,-588,-0.1455,-327
182,dOg,kwztlghxgc,-954,-0.4855
bjzccqgtdw,xzxbevcjzg,-0.19,dog,0.3545
jpfzkqfbya,CAT,uwngltvbvj,-0.1875,0.3155
ljcsfgxdsx,rpydhxnjva,tymirxvdhm,954,iyjbeucmvh
-795,-954,-0.091,754,lcgbtccqtd
0.1795,dog,0.008,aknexjjcdl,dOG
522,rngyjiinlh,cAt,-113,0.0055
hzmcqeiken,dOG,282,jyzcvzucwe,-181
0.4125,cAt,-505,igrxbwkxof,sfalhwolsu
774,dOg,nydlygltuu,-583,caT
mjxmgkqxdv,DOG,0.46,jetgkemwvz,-0.153
cat,-215,449,-602,434
-0.234,cat,228,Dog,-0.043
-474,lcifehhclx,0.3045,gvhumquhnc,128
kogxoudili,Dog,-683,uwppqqfcbb,ifffnwjbyt
-0.124,DOg,0.45,0.2525,203
doG,cAt,-0.232,xyftquhbqg,ismixlivdb
jxwkjfguwc,DoG,-0.0295,cAT,-0.4105
dog,doG,-0.2685,-27,fqhbkhirbf
zzgutorqjm,ydmoivcvvu,-149,-0.042,0.045
806,yafvcmfbpb,qaqtcgwoeg,liardohagm,CAt
dlbjivgizm,dog,cAt,-0.245,xmmioqjuls
0.2525,CaT,0.3865,-0.3905,cAT
932,DoG,dbjwocyxet,-553,0.4035
jzntyophos,CaT,-0.2195,-0.448,ntkfagnbhn
-0.019,549,fychxnxzsi,Cat,-396
tjwitcuzxy,dog,DOg,0.483,0.45
636,cAt,562,-0.0155,ayzyjefkpc
qlmvhltiax,dog,81,976,0.0975
866,Dog,dOG,0.176,-0.0515
0.166,Dog,-0.292,0.074,-0.457
464,akddqmiosj,zsutngmlwh,lkqjbqrwhy,547
dOG,okjhhyukhb,DoG,ruqhcfyszi,177
943,caT,-715,dog,rthuspaasa
0.443,524,teycuumpuh,-678,-487
