yreropwdtc,aspjvivljj,ttlxkampys,wphnmyybjx
Dog,679,CAt,-0.0685
-854,ermmqlfuaz,tmiaflaiwq,-537
-940,guzhbakklz,dog,955
0.473,ihdyzmpoin,ubglmspdcg,0.0765
402,pzzqaljdhn,sgjhoxpcah,-719
rtjndjxcrz,sjxlmjutok,0.2185,Dog
zufassnebc,DoG,-0.006,CAT
sehqeogbmu,181,-860,uycgueegjv
dOG,-0.4365,-0.3205,-941
-0.0125,fvjeckabrb,dOG,zptgdkccwy
612,evedtcvrau,416,DOG
DoG,-903,zzeudbkdit,0.001
-0.212,0.2165,Dog,-212
-0.216,njiyptlsfu,ouitkpskjk,559
mjsmpgsric,-0.1705,pgtlpsuxsv,Dog
810,-952,dOg,caT
ekhlxnlrdp,oswekanqbv,860,-0.331
0.092,fhpjuumkug,doG,-0.144
-223,CaT,pyfwwkbuqg,uccvotukmw
twnlzgpxmd,hpyolnewsm,-0.4455,852
-0.2055,0.1615,cAt,793
921,zyqybalpyg,-945,dOg
0.387,CaT,dog,-0.421
dOg,-428,DOG,0.094
-758,caT,-311,fhblaqydqe
dog,0.07,DOg,wzkveiylwe
gitvuyispg,118,-0.4985,981
Cat,tfddonvkdx,cbvmbpytme,0.4085
-0.057,txtmflbeyz,141,-719
qctiolgioh,zoyxzqsoga,880,cAT
-0.259,Cat,-216,-376
0.261,0.319,467,-0.4175
-688,tchtnqljru,0.442,486
-0.204,gnunkeybuk,pmkfyyxxom,0.2715
0.1005,cat,obowhdzqbb,0.0775
-388,338,CaT,0.049
bjguwlizil,avgboduhhj,pscxlqbocl,172
-237,-0.237,645,694
tcyfaeezwe,-853,0.412,-0.1295
xdvvavvkii,DOG,-0.428,782
-231,DOg,yphxptrhbw,owxoijclvy
jydsbligjl,fokclnaqcj,wvdhjexcni,-736
vzmbliibhc,hxyrrgvtco,0.3415,agkxskbimx
-0.3515,675,-109,791
CAt,dwsofpvahd,0.478,-85
uuinfljhpn,791,spuqaitiug,127
469,715,dOg,CAt
0.257,392,caT,0.27
-0.1095,-506,0.427,juqehthzhv
-666,jkcziiussv,-0.258,-351
-0.225,vnyrikhiob,-320,-0.3575
