mxtscwzpvl,iwoboyoczv,cojxwzsria,rouqwjftzg
0.262,doG,girztlhscg,szgctuijeu
vpvhnmamkm,984,doG,0.4845
tbdjpqilpb,ccfkxcuioz,634,0.4995
dOG,-0.1615,721,vlgszorynh
-0.1515,CaT,0.0885,dOg
rwrgzzyaph,0.441,-0.3405,0.268
cAt,168,dog,dOg
0.118,Dog,kedxelvyuz,-479
0.379,jkbxuaoqph,0.011,sqefrivmhq
-404,bclxmupfqw,-0.364,-546
0.23,-309,cat,184
DOG,-0.412,0.387,jthhcjragr
hhvumpjjgd,-978,gehesbggdc,-0.4425
-0.492,-0.294,itrzpnpumf,-0.1855
-0.2135,0.267,683,doG
cAT,wunixaykbu,xvdxtbamvs,duluperkpf
acrvyjaaqb,mlpacdyylm,uapxfshjvu,dOg
0.3955,-0.3865,732,wzbcicjjzs
jhwckhqcek,cveqoetowu,-104,308
631,-498,-0.2445,-0.249
-19,fceelayeln,-0.393,0.094
majrakbqkv,-0.414,0.395,DoG
667,-0.314,bxgdaxplva,fiqngokrvs
0.3675,nwuopzyhja,phxqqrfytv,lrirabisfg
DOg,0.4565,-590,-0.208
-0.4115,cdneoengvi,zpdeybadhg,DoG
-0.3905,-795,sicpmbfbbz,-750
ujuvcsmztq,xpjmxsgofc,dgjzivixht,0.1805
888,-0.1255,456,vsnvvqznos
DOg,-659,psmqemuzfs,0.045
-0.0445,kjofklymak,0.2865,nkudgscwxa
-624,-922,aneqarwhiq,qycslrqkag
Dog,-845,-40,635
917,-0.105,0.122,ubhtfctazh
-840,884,joqmiwfkxv,-0.122
-0.296,0.1855,lpvxsbggyv,DOG
0.298,yvyzlgnrwm,-0.1595,lzszanokqr
-0.243,929,-0.035,-303
dzirzxelex,-0.1485,-0.4135,kewfqllsrh
lslydncfxt,gqjunwkurp,dcvfzqtiot,361
sacrquykfz,222,-0.094,-0.295
DOg,-347,wztrsuymdb,0.472
cmfismmwgr,saghsscscf,dog,yukagpfqoc
dOg,0.221,tpjgypydvn,0.223
-0.1075,-0.29,doG,wadhqqdepv
CAt,-463,-846,Dog
rpupxfnwpq,0.116,935,0.325
-279,920,-730,-246
5,bejntrdzwo,-431,0.1675
sjuijqmbph,0.0045,yddkkeokep,tyimpzohhk
-257,cAT,668,-852
DOG,684,bacxsujslx,0.41
cjuumqvoja,0.0425,-0.1685,-0.232
490,-0.392,DOg,0.1855
wofkbjzicn,-951,314,-136
iybtagurhs,-0.0275,0.3395,939
kosrejaluq,0.082,ezwnvgtzrc,0.1805
0.0715,Dog,kibrjsrkgy,-111
ithzdyqoak,ucekoaaieh,doG,dblbqklwwo
dOg,433,803,831
844,0.463,-0.32,-0.003
0.067,-0.2495,CaT,0.4075
DOG,0.044,978,677
0.3085,285,-929,-0.412
-949,0.1385,-0.332,0.296
wclxrtvblt,cAT,7,0.288
enethapivy,-0.0805,mhtbykucjf,0.3675
dog,0.136,rzevkyxcdr,224
wvxaauwmhk,-255,dog,DoG
vuyyjmorro,884,-800,5
CaT,qpdvifgumj,DoG,-595
509,-732,992,DOg
0.1945,doG,989,gufoqzmibt
-646,CAT,209,0.475
-766,jwvcfzeeju,kjddqxmjcm,-0.084
-116,kukerzjpwf,xgkhtspsrr,-0.452
doG,0.149,ihrvedlnwe,Dog
-844,caT,doG,kukcdemjqx
0.3665,-31,0.101,519
0.072,Cat,ngaqtfxoku,0.1395
-351,-203,-354,caT
-586,0.043,-0.4535,tzrgmydfzu
cat,-0.286,caixzuespg,jnnvjyzlav
0.154,dOG,orofqfxxsr,CaT
dOG,0.327,0.4915,-828
479,uniqoxoxbx,-0.2515,CAT
-0.1775,-147,-0.1985,0.3995
