avwwxfwpdx,qiheitldop,ccxbvecpeq,pET,ulktrpchvp
775,caT,-0.3845,DOG,rfcbdvbuec
wmrevlfevd,0.197,dOG,CAT,236
diltqvqabj,805,245,ajnapqhntk,0.085
0.057,Cat,qekqmmqppk,cAt,-781
erugnyzuyx,-0.352,260,0.408,-0.192
-310,caT,0.073,cAT,0.004
-892,dOG,bdfrimyzfv,CaT,0.249
yrsbrqvxdn,-430,jsjqdzyggu,-0.4595,0.486
759,tndrlkcxeu,nkzdpqymno,DOG,118
fsojmcovxl,0.4505,0.498,0.227,-934
DoG,0.133,phxheynjwr,-0.4965,wakogxlbwu
0.493,947,0.3545,CaT,DoG
ygrqkzfuvr,nfyqzucfpe,kfiqyxfqry,CAT,-223
0.176,caT,dOg,676,axlwurodxb
gyrtwlhsis,doG,DOG,Dog,rcpxvqckhc
cAt,zimqymxvdu,hliknwrcbr,dog,416
xkbnmqqxut,dOg,833,doG,lpixvlfixs
0.3715,-0.197,-0.4525,DOg,zeknfqsgxz
0.2235,srdjpwutrd,784,caT,CAt
DoG,gohbwntdhe,pnzoptmcao,jydgdjwrno,-405
-0.308,CAT,0.051,DOg,-0.297
-95,eduyqcrllt,0.2585,CAT,fuawcivsbi
DoG,956,DOG,dOG,-126
DOG,361,0.116,CaT,-0.2935
-0.4355,uhnhwptafz,ktjyurarqy,doG,ygusoxwepz
-135,mdkvnodntp,cAt,DoG,bayypknltu
-0.089,sdfcayidhd,-0.3805,caT,bhxcdcwbkt
-144,-211,doG,DOg,cAT
niuldokbld,0.1845,-0.21,Dog,13
qgcnzfgbeb,diyvwxuxjc,-0.3635,Cat,-0.4775
966,302,243,CaT,-400
tpuuyeebhi,0.415,cibiirvyyv,dog,-597
dOG,-0.279,kfhyrhdtwa,dog,ipaccuyjrz
fpiebltxya,-0.2355,jxuzjlxgdk,dOG,DOG
doG,btziybhsoo,-946,hlpabdkzpe,0.2075
Cat,114,-61,dOG,0.1895
-0.3155,49,axwvmgdbgp,-402,CAt
-0.2055,iavvalzlog,qztpbnswwg,-758,CAT
-500,-369,DOg,doG,DOG
132,0.1055,Dog,dOg,0.2355
gpbkakmfgr,Cat,-576,969,CaT
dgwgiegies,bawgfcoaoe,-0.285,CAt,xfhulgopbp
exwppujztv,0.21,DoG,dOg,328
bchmhucssy,bgqhkdrekw,-364,DoG,-0.2945
wsdfkdbpmd,0.3345,786,0.072,-0.262
ntxutxqvkx,otwmzhgkbe,0.1715,DOG,rcvxtanhgl
nwtrsyunvq,-91,695,pidtlwkutr,-227
759,-0.239,0.0005,caT,-411
-539,498,-0.2725,fmhirwxdfq,bbpauryiwk
CaT,wsadbzpqdc,cAT,vwxgqevotr,-0.3505
iykecojrfu,Dog,CAT,DoG,-0.1185
0.115,-0.48,793,cAT,cbxfusytuc
155,dobzitdjrx,0.0725,-0.086,457
-8,-951,Dog,Cat,-0.4875
cat,0.2515,CAT,-490,vjwhzcdipp
758,0.066,105,CAt,-807
-0.123,0.0595,125,CAT,-0.1295
DoG,urgyqjhsob,wbafietcpz,DoG,dOg
-0.077,doG,vophfwuyxx,cAt,fsgcfwfuig
501,151,vqzvskaclh,0.1785,-0.4665
0.3595,ghfpvuqobl,-119,dOg,0.0055
zenydqruze,CAt,eviiisjfan,-595,929
-80,0.414,0.418,cAT,0.119
hhwkhiwajd,jwbuagdcro,maxezxvrau,382,dOG
bgzixaaggj,449,ethhlkhyjw,cAT,0.3285
-0.086,823,affinqdzly,DOg,675
767,508,0.363,fpazcqnxek,gorcffgisn
0.2485,-356,-0.3105,dOg,98
0.0925,-693,lcrtygeynl,cAT,-0.1895
-651,-0.355,cAt,-148,34
CaT,0.3565,Cat,DOg,itmesxzcza
0.0575,-886,-0.0525,caT,sqjqfelgmn
vhrtwojumc,0.021,ucblrymogt,Dog,sbgbqhccvj
-0.3985,-0.1455,rqeznkkllc,dOg,njjioncbyb
-0.134,-0.1255,arkrfuwula,Dog,-0.4815
777,cqrekjpifx,458,dOG,eoqpsfozdh
101,13,-631,DOG,-209
azmuxyrgfq,yluqzwfkzv,vfribmkbzt,lqkadwzkmz,-659
dvabxqmzcy,0.29,-0.4,-0.41,CAT
-248,135,0.015,DOG,-0.0465
20,dog,275,CAt,Cat
yjnyeqwggk,dOg,doeqhflell,DOG,0.271
cAt,mszrosfhkp,cAt,CAT,981
-0.3885,0.3495,mqkaiwxfmf,-0.099,plmpkstrtw
-463,zhbdrowefj,-0.1265,0.1065,-0.192
ypgcqjyvjc,upshovxjpd,0.2675,CAT,gdjxslxfmm
-672,-0.3205,-129,cAt,-142
CAt,0.109,-16,caT,pmtkoamvvz
dOg,-111,Dog,Cat,0.049
DoG,xdxnunaspv,CaT,542,-78
-647,611,vjpdcjovgo,DoG,1
0.044,kqxycxyjzp,gyeluhqcgu,oljskmhbhr,Cat
mtfbbznnot,0.46,-752,Cat,Dog
ponofmiabr,caT,-770,cAt,dvdirmcjlt
538,woaiiliyfa,CAT,0.029,CAT
drkeyqvvdd,-773,fpwuvpabon,-974,lpluratxqj
-0.369,tntlrhffqp,DoG,doG,-337
DOG,dOG,-774,dOg,902
