kjlcwxwpvq,hpnhjpfdsx,xlzhspzmdw,pepgqqubyf,wtkdzlcmnd,pEt,voqqwyzhny
Cat,wymlbhguag,984,-0.186,0.428,Cat,478
cAt,0.036,CaT,CAT,-708,-424,0.462
xkszcpbfbm,0.069,-0.299,wenwjuncas,dOg,CAT,-401
cAT,0.4175,bnooudpjbd,nrcuaiopeu,-0.229,-468,0.0445
dog,dOg,fbucsbaigq,-762,-701,Cat,-0.15
-0.1115,uaiejvrlif,ankhlwtfwt,-361,ufcsmsfrpz,Cat,796
-0.2525,-0.0085,0.3825,cAT,0.48,-214,DoG
-265,rqhrraewms,cAT,kgjdkikdtb,pcoscuhxlp,DoG,muvpoezwxn
rrlhsnrcpc,doG,-98,0.1625,opvhqbyaqy,DOG,679
0.3015,438,-0.0945,DoG,cat,-188,414
558,gzivngzxmi,761,xygxbvvnhr,hzdrfbrgfk,dOg,768
633,Cat,Cat,0.0175,-0.342,cAT,Dog
0.18,zznnssrjfs,crgzusposi,-0.424,DoG,CaT,xtnncsrxvb
nacjrimvmh,-0.4245,0.249,cat,CaT,CAT,292
-0.039,DOG,0.0395,iekgqpdami,120,caT,802
ggrbwcbtur,-0.4195,-205,-628,30,bvwcrbrwnp,-0.1825
CaT,-0.35,-0.071,0.0205,CaT,CAt,iefvubwzec
-0.223,dOg,-927,82,-0.251,DOG,-556
cAT,0.337,cat,732,caT,DOG,lskkicpvbh
DoG,ysxrlbpxby,dog,969,gcxbffntjg,cat,dOg
cytamyqwqi,-0.13,hcmzecblhb,CAt,444,CaT,dvzsrmcucr
uzzehatpfd,0.068,amytgjmbav,-646,-476,DoG,-0.077
-42,879,-180,-531,-50,cat,932
DOg,0.4085,caT,-0.0855,rarxmhlnot,cat,-15
dbpeyiikjt,xmaddmaxqf,906,-0.445,gonetwzofi,Dog,-273
0.098,-0.4415,-268,-0.34,zcnoldlhak,dOg,-0.2975
Cat,iblenpixkb,400,doG,-0.465,CaT,gzbjfrdecw
doG,DOG,-0.0335,gqtzyintcs,dog,dOG,esgtiyawkt
qvbkjpkgep,0.0505,473,0.165,508,cat,-109
mhgqzxnrph,0.373,-389,0.0345,msupclrjzn,CaT,0.4795
643,812,0.2095,-0.3795,pykxmgnlmm,DoG,-397
dog,DoG,0.442,0.361,cAt,dOG,anzdvqthcl
wwgqfgjyqn,-0.2015,-458,cpmikfhjsj,28,0.012,bcrehxlbyv
-0.2425,-521,440,gwkhthycgg,atrjkwoyzy,caT,591
Cat,501,cAT,dOg,oeyegtznih,0.4675,0.3785
-431,dOG,-0.4805,Dog,dog,DOg,cwumqhjvby
nfvaskjiwc,-0.4935,rzgcwfsvhx,-667,aufvswscbo,cAT,eczuarklji
-347,-0.267,dOG,0.3235,znmxdfdhcx,cat,-0.024
-626,90,823,vjgdktdzqv,0.333,cAT,-91
-0.401,70,0.0455,-474,dOG,DoG,630
xnjdmpoarl,ctnqvyjtqe,0.4855,317,Cat,DoG,dOg
ytedowvxcb,0.085,-929,yjqcgnmpge,DOg,0.121,-486
yazkskterz,nsbpvqmffl,0.094,-54,422,CaT,-99
bgxytcmzdc,323,dog,527,dOg,cAT,cAT
-0.1215,CaT,DOG,CAt,0.176,khhtrcwneh,0.3055
CaT,-600,Dog,-0.0755,-660,CAt,0.05
188,crefmrcwwi,-0.015,-0.302,0.4445,Dog,vcnwgoclrj
atvjnhbccf,cdvwfcswaj,-179,0.008,hbmpbcbsoe,caT,-0.1075
-0.262,-567,CAt,vtubggvnyp,dOg,wzhbfwwmkh,-261
-0.133,0.4825,tqspggdprn,ikskawtmok,-0.4085,CaT,-0.4005
