opmrhvepwt,wtzvbgqzcl,kcoluunsps,nrqfezjnkx,fuerebwygq,yagwpftyqt
-0.472,accfclaeip,gkajpqwmoz,xcxklzcsxu,cbqztbmmjg,-0.0735
CaT,0.283,747,846,-0.3025,-0.321
538,voghhkghqn,470,-0.437,-0.434,-0.0125
plinebdcla,378,-119,lvkmikwklr,-0.341,0.1075
telslhlmhk,vubfpofgde,qsqlpddqmk,tointzorek,jgfmtdtunm,CaT
kbhrzqxgnd,dog,0.4495,nqzkvftvha,910,DOg
-243,CAt,-0.2705,aapoblbjrf,0.208,-188
685,-9,237,-73,kezydeuwno,-926
gwfqblpraq,xnclgmusns,762,640,cAt,cat
sljnuhdnaz,0.4195,-0.21,CAt,DOG,CAT
0.1615,-0.3895,Cat,804,kdgikopvrg,537
0.0305,yclrnsbgxx,669,3,cohcymoask,iyzndjvhok
-442,xtaojxbvyv,0.0405,labeazvooe,-648,facddocacl
-0.0445,ibtibyssid,-0.4185,mlmczabdin,-97,696
ohxezvoyyb,szgwvvuwhl,-15,rujgbhkcck,qewrjylqid,-0.406
0.454,-897,926,-784,-0.4045,0.4285
ucjzsvlblh,DoG,-0.333,viuxgbzbgs,truudanghx,rpxmznzgpe
Cat,hwyuxoqwsd,762,0.446,zylrdgnjpc,ovntlvcsaq
hpcxilnqqj,-939,928,-353,-0.47,jbvmljhdpn
xbokyqaosa,-695,-0.2685,-0.217,doG,llmlwknjbk
0.0185,CAt,cAT,542,0.2465,-597
cAt,leeykocwcf,413,0.262,-99,qmnnxiwjmz
DOg,0.2275,-0.4795,avdasorink,92,dpdrjkvjqx
cat,Dog,xzauotqjdy,sfhagvovso,0.3665,dOg
0.141,sqfajrzeyf,xklmpmkyrs,hvtwewmdqn,-0.4895,rhcwdjciie
-0.0305,-287,-0.5,ldfsdzxhwo,696,DOG
mcuhplilmu,0.1575,0.464,Dog,Cat,ivpqyxkqzv
0.34,ydxogtbjnw,CaT,0.399,ofdiwwetxs,486
pebzwspsdz,bmyznjhysy,htcmrprdip,aepnxexest,rwrdzzycqg,-66
eduqgypitz,vmhgxceqyq,-0.2455,CAT,Cat,64
-526,-0.43,ouotbrdmte,uzodhwymkl,ofhellrkab,sfaintcvyw
dOg,ykbmofmpja,-938,-0.28,0.311,nojmkfhpon
uzttztytjl,pxbesmqwos,0.471,229,-480,-0.0865
-281,-73,0.071,70,-0.483,ygvvpdcdfg
xradijrszd,etuydsupaw,gcoovnybio,207,xnhlsgkgal,610
904,dOg,-135,nkpzbvszzy,DOG,DOG
-0.3705,-0.412,zvkhjmikoy,zqmugxrbea,ktpbfaaxfb,zclnqiswlm
oyuiyqcbwr,CAt,szgdwevewv,0.4835,983,pwoapzkzdf
42,-0.1325,CaT,387,cat,CaT
-939,nrqlagwove,-0.202,jmkonoxssg,Cat,-0.4155
645,dOG,-909,kuempiqfmn,0.4655,CAt
dOG,ibifbtzfdm,-0.2355,DOG,0.259,ofkwqovckw
688,-0.173,cshojokgfl,-3,DOG,-0.2215
jmzjkfoaik,0.472,0.3155,-46,-175,szzwnaawpy
gqvzezdufb,-800,icrpgmrqqp,-0.225,-545,0.482
-0.092,312,-0.3095,-254,-41,prwrwbefwu
0.1295,Cat,zvpsujvqjp,-0.413,840,-0.4045
30,-688,dOG,CAt,0.2165,muwbjoqdch
lwvdivubur,gstxjxpyzy,caT,sxsuuvgzmv,-747,iwgofnetli
509,-992,CaT,0.491,mlmejruenw,0.27
dOg,fnhecappeu,0.14,0.2825,0.1915,11
222,unpjwrqwri,dhhglmwjke,DOg,-940,kxejkrxeui
quxnjtjbun,dog,-0.4995,xqbamwxyzg,-383,vehqxeuvns
218,-259,spzcgfyjle,xcumaoqnnj,dog,wcimbfbgse
-662,0.1485,olszvheryf,528,0.1175,-0.4075
kqrobouuoa,-0.357,jzcnicftej,-0.1095,dOG,tgyripqtlc
CAT,cAt,118,176,srhsmnlocq,iwbsznuzvd
-0.22,-0.127,zkdsnqcjic,olqmobgtrk,-0.337,dgkrzqkrih
0.3445,838,verzqszqmt,auszkfpcyz,316,udmybojmgq
CAT,jwsbfxlaqy,xotvhsohvu,rvgqyovguh,337,DOG
0.405,cAT,-0.139,qcxofztsus,0.3105,-0.4705
dOG,-870,-476,834,wtlirvubwu,499
892,-826,hhotzmyvqc,0.3355,fvfvguaeok,-540
Cat,doG,dog,0.43,-348,kihbweweuw
sgwoyjwexm,-396,-167,ohrokbgcug,tncmvsmcds,kctmzsayrq
ncodglesrv,923,plucafuzpc,0.2605,axapckboio,ofjresljse
-497,-360,lckqpeqkue,0.1895,-607,DOG
Dog,0.196,Cat,0.0095,-0.452,-0.346
pzlbshenih,CAT,988,nfpsoofwap,0.003,-0.05
-0.04,-289,-0.0585,0.3235,-661,dOg
