pet,dsfkcwpegu,albbxusyfl
doG,dlvwifhidf,-0.332
CAT,baxariiexf,-0.1985
cAt,gwqaqupwuz,ckmohfrzlp
dOG,857,dOg
-0.0815,0.19,-829
-0.1315,xcppjwhkez,-0.344
dOG,-214,-0.037
575,18,dog
CAT,dOG,-0.083
cAT,DOg,-472
CaT,svntusqpgn,-0.2645
bwvxontdhl,qmematgpsq,bgbovmwxij
-0.4785,gkgdcjhurl,CAt
0.3465,mqjvetdrrm,-815
-721,edcxwbtyag,psvodbcdnu
CAt,-944,DOg
dOG,-207,55
CaT,-0.1545,gmjmmvntzp
caT,julqwpmgjc,-0.279
CAT,-164,caT
doG,0.408,-0.3445
0.3355,299,ulekbolzgn
CaT,yqsyvenxsx,ntvrvzeajm
DOg,nfsuedfccv,dpfysfiwwa
jhrbdbhhpd,-0.324,hculyvmmlz
cAT,cehdsvbaee,tjzypgscxy
dog,caT,cgylovbhpq
shdndfygci,842,inrkwepomw
cAt,caT,0.3985
CAT,ynhdpcokbz,991
dog,dOG,CAt
