hziusxvewr,hitrneasap,ktgouevbdt,hsttzruasd,olclysmsft
-0.1955,81,0.45,pycvwawesn,-93
579,wsjpdrzwdy,ssofmoswou,-0.363,0.227
dOG,cAt,0.34,0.0395,-215
-0.1815,232,Cat,626,-471
-0.3645,akhhafuwhf,-679,ngpfshpsie,htebjfsdir
989,0.1895,CAT,-0.0835,-0.339
obfqojjtuz,sfcurldenh,0.358,rvxlatcjde,-806
tbapnenhyx,112,-964,gxafqfptzd,46
547,636,eujiobxgxi,-0.0135,pyberkwpjv
bixastsyte,kcxbkcscls,cqbyvvcate,280,-0.0695
DOG,235,-0.187,sxxjepectl,0.249
0.404,0.0195,DOG,dog,0.469
628,0.2355,nliondqqyr,fjztykyjkz,0.3795
kxvsjchwlw,-678,zdggyyoaqr,0.0165,-455
doG,0.355,0.3325,ipbihksdkp,0.1305
CaT,cat,-587,pwnhkfqohh,dOG
bvcbzbwnoh,-96,fqvxgztzee,dsmtdjvpqj,-667
