fvzpwkhefm,jmqyhldlqz,tnlhlvbmdj,ifyvpcciew,azsbkfdmkj
-598,ipfxvdylmx,msgzmrutik,gubmvuwoqz,-0.233
745,143,744,ztkmaklzkr,0.038
0.3955,-0.2315,-826,-510,ztcjtlhcyy
-0.4825,doG,meydijhlim,kcqlhczarh,0.3145
caT,0.1945,256,914,0.4055
-0.208,xtthgeapjp,qyotesrcfw,637,Cat
zerlmvgauk,0.002,-357,0.418,-582
-292,-0.366,-0.1415,ltnesundjk,-0.43
dOG,DOg,DoG,noyithxodn,397
qdbymkmtof,CAt,688,-568,-520
ecxwaefdvp,CAT,-481,dOG,74
-672,dvqcangoie,-882,ynlzctqrgf,-207
298,513,ctllmpybdg,-925,azasolrrad
805,0.4015,-259,eosfhfgtlm,0.362
-892,CaT,cAt,-0.4575,Cat
-386,glyqorncei,0.218,cAT,gnngrivbhm
jxvwzeitwj,-299,fvauwnlhux,202,722
CaT,-174,0.4455,yujbjauohi,CaT
0.3685,-0.4095,ngzfpugsvv,zgmwwnqdbx,0.416
DoG,-163,ztobwwsxmm,caT,egtobpkaex
0.163,-953,-0.4415,CaT,916
-77,vmacpgqhgo,-0.479,tzkodmpgfs,0.4685
-928,-0.027,jeqngdnkxp,0.079,doG
-867,-724,dog,94,deygkobaek
fbuwsajpwd,mvbpbhevnm,0.4915,0.3315,oznszoypyy
0.0855,auwvzulfeu,0.203,CaT,437
rnzfiboluh,upgbyewdqm,-0.399,0.4065,cAT
546,aldhknlvus,0.0665,-0.045,Cat
-55,-0.2185,0.1885,-0.348,-117
-909,-298,849,0.238,doG
dOg,-0.0555,-695,0.3245,-481
225,cat,DoG,-117,592
pxnsafovss,CaT,0.472,209,jjrysrsjzf
-0.2495,tpbesafdzo,-172,gbbmakengx,iiuhfsanms
567,0.484,-511,-0.018,dOg
flujoxlkvl,878,-0.4485,yngrrtswrx,-74
0.385,gndxbyeduz,CAT,0.2755,dog
-494,-446,0.2135,-300,cAT
