kmppjoisgt,mvyqlzelhh,PET
dOG,phaoebneba,yjewrpfuhh
748,vzxlfwamvs,dOG
aqnwdfwcet,903,-0.363
DOg,CaT,cat
-0.287,0.1425,cat
janainloqu,DOG,DOG
-0.3605,dOG,caT
tsqgsethtl,-183,doG
126,jiatrmmjjp,doG
-373,-197,0.3305
-807,-0.1875,DOg
810,145,-0.3765
-54,0.136,ymitgbbxel
234,194,CAt
47,semzzxyfcb,-0.345
jhtdlopygu,0.417,Cat
-0.45,-129,dOG
-0.3155,339,DOG
cat,ecvpnpzeyh,CAt
-0.141,oeilxwjgby,dog
-264,-0.018,gtffuvifty
823,-11,cAT
-0.3055,0.0105,Dog
DoG,cat,0.485
crgtydiwte,-739,DOg
wmquoitfvv,cat,dOg
-563,-0.2245,dOG
dOG,0.162,cat
themryqqjc,heyebmdvlm,dOG
-0.172,0.014,dOg
-0.4205,DOG,DoG
nqrzkakexl,qpmlmfjlua,-0.2825
Dog,zyeqcgvmir,cAT
agjlakgysa,0.313,DOg
msexrdgjxu,-0.047,0.3925
0.453,-0.024,dOg
beajkwoaai,989,cAt
0.025,zseiatjvug,CAT
240,lfvtserpsu,DoG
zlsvosqtvy,hjryddpaap,dog
feowowqjwj,ukusachftt,dOG
kmbgbvnxwp,cat,DOG
dOG,Cat,caT
pvvlcqegax,-220,-0.2015
-132,0.047,CAt
cat,-0.2795,dbrfkiqvzx
-0.3895,DOG,774
xovixnnsfe,0.2615,CaT
